532904103110413; SERONIP; SERONIP; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 28; UCI
532907901115417; SIBUTRAN; SIBUTRAN; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS INC X 30 ; UCI
532908003110414; SINEDOL; SINEDOL; NOT FOUND; 100 MG COM AB RETARD CT 01 BL AL PLAS AMB X 10; UCI
532908002130411; SINEDOL; SINEDOL; NOT FOUND; 100 MG/ML SOL OR CT 01 FR PLAS OPC GOT X 10 ML; UCI
532908001118418; SINEDOL; SINEDOL; NOT FOUND; 50 MG CAP GEL DURA CT 01 BL AL PLAS AMB X 10; UCI
532904001113413; SECNIZOL; SECNIZOL; NOT FOUND; 1000 MG COM REV CT BL AL PLAS INC X 2; UCI
532904002111414; SECNIZOL; SECNIZOL; NOT FOUND; 1000 MG COM REV CT BL AL PLAS INC X 4; UCI
532904003132415; SECNIZOL; SECNIZOL; NOT FOUND; 30 MG/ML PO PREP EXTEMP CT FR VD AMB X 15 ML; UCI
532904006131411; SECNIZOL; SECNIZOL; NOT FOUND; 30 MG/ML PO P/PREP EXTEMP CT FR VD AMB X 30 ML; UCI
532904004112418; SECNIZOL; SECNIZOL; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 4; UCI
532904005119416; SECNIZOL; SECNIZOL; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 8; UCI
