529900901111116, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COMP C/ 3 BL X 10, RBY
529900902116111, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COMP C/ 3 BL X 10, RBY
529901002135411, BETACLAV BD, BETACLAV BD, NOT FOUND, 400 MG + 57 MG/5ML PO SUSP OR X 70 ML, RBY
529914801112110, BISSULFATO DE CLOPIDOGREL, BISSULFATO CLOPIDOGREL, BISSULFATO CLOPIDOGREL, 75 MG COM REV CT BL AL/AL X 14 , RBY
529914802119119, BISSULFATO DE CLOPIDOGREL, BISSULFATO CLOPIDOGREL, BISSULFATO CLOPIDOGREL, 75 MG COM REV CT BL AL/AL X 28, RBY
529914001116111, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 30, RBY
529900901111116, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COMP C/ 3 BL X 10, RBY
529900902116111, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COMP C/ 3 BL X 10, RBY
529901002135411, BETACLAV BD, BETACLAV BD, NOT FOUND, 400 MG + 57 MG/5ML PO SUSP OR X 70 ML, RBY
529914801112110, BISSULFATO DE CLOPIDOGREL, BISSULFATO CLOPIDOGREL, BISSULFATO CLOPIDOGREL, 75 MG COM REV CT BL AL/AL X 14 , RBY
529914802119119, BISSULFATO DE CLOPIDOGREL, BISSULFATO CLOPIDOGREL, BISSULFATO CLOPIDOGREL, 75 MG COM REV CT BL AL/AL X 28, RBY
529914001116111, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 30, RBY
529900901111116, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COMP C/ 3 BL X 10, RBY
529900902116111, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COMP C/ 3 BL X 10, RBY
529901002135411, BETACLAV BD, BETACLAV BD, NOT FOUND, 400 MG + 57 MG/5ML PO SUSP OR X 70 ML, RBY
529914801112110, BISSULFATO DE CLOPIDOGREL, BISSULFATO CLOPIDOGREL, BISSULFATO CLOPIDOGREL, 75 MG COM REV CT BL AL/AL X 14 , RBY
529914802119119, BISSULFATO DE CLOPIDOGREL, BISSULFATO CLOPIDOGREL, BISSULFATO CLOPIDOGREL, 75 MG COM REV CT BL AL/AL X 28, RBY
529914001116111, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 30, RBY
529900901111116, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COMP C/ 3 BL X 10, RBY
529900902116111, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COMP C/ 3 BL X 10, RBY
529901002135411, BETACLAV BD, BETACLAV BD, NOT FOUND, 400 MG + 57 MG/5ML PO SUSP OR X 70 ML, RBY
