529905102118110, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10 MG COMP C/3 STR X 10, RBY
529905104110117, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20 MG COMP C/3 STR X 10, RBY
529905106113113, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5 MG COMP C/3 STR X 10, RBY
529913901113110, MALEATO DE MIDAZOLAM, MALEATO MIDAZOLAM, MALEATO MIDAZOLAM, 15 MG COM REV CT 2 BL AL PLAS INC X 10, RBY
529913902111111, MALEATO DE MIDAZOLAM, MALEATO MIDAZOLAM, MALEATO MIDAZOLAM, 15 MG COM REV CT 3 BL AL PLAS INC X 10, RBY
529913903116117, MALEATO DE MIDAZOLAM, MALEATO MIDAZOLAM, MALEATO MIDAZOLAM, 7.5 MG COM REV CT 2 BL AL PLAS INC X 10, RBY
529913402117110, MELOXICAN, MELOXICAN, NOT FOUND, 15 MG COM CT BL AL AL X 10, RBY
529913401110112, MELOXICAN, MELOXICAN, NOT FOUND, 7.5 MG COM CT BL AL AL X 10, RBY
529913801119117, MESILATO DE DOXAZOSINA, MESILATO DOXAZOSINA, MESILATO DOXAZOSINA, 2 MG COM CT BL AL PLAS INC X 10, RBY
529913802115115, MESILATO DE DOXAZOSINA, MESILATO DOXAZOSINA, MESILATO DOXAZOSINA, 2 MG COM CT BL AL PLAS INC X 30, RBY
529905201116116, METILDOPA, METILDOPA, METILDOPA, 250MG COMP C/ 3 BL X 10, RBY
529905202112114, METILDOPA, METILDOPA, METILDOPA, 500MG COMP C/ 3 BL X 10, RBY
529905102118110, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10 MG COMP C/3 STR X 10, RBY
529905104110117, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20 MG COMP C/3 STR X 10, RBY
529905106113113, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5 MG COMP C/3 STR X 10, RBY
529913901113110, MALEATO DE MIDAZOLAM, MALEATO MIDAZOLAM, MALEATO MIDAZOLAM, 15 MG COM REV CT 2 BL AL PLAS INC X 10, RBY
529913902111111, MALEATO DE MIDAZOLAM, MALEATO MIDAZOLAM, MALEATO MIDAZOLAM, 15 MG COM REV CT 3 BL AL PLAS INC X 10, RBY
