529903701111117, DIAZEPAM, DIAZEPAM, DIAZEPAM, 10MG COMP C/ 2 BL X 10, RBY
529903702118115, DIAZEPAM, DIAZEPAM, DIAZEPAM, 5MG COMP C/ 2 BL X 10, RBY
529912901160129, DICLOFENACO DIETILAMÔNIO, DICLOFENACO DIETILAMONIO, DICLOFENACO DIETILAMONIO, 10 MG/G GEL CT BG AL REV X 60 G, RBY
529903802112119, DICLOFENACO POTÁSSICO, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, 50 MG DRG C/ 10 BL X 10, RBY
529903803119117, DICLOFENACO POTÁSSICO, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, 50 MG DRG C/ 2 BL X 10, RBY
529903901110114, DICLOFENACO SODICO, DICLOFENACO SODICO, DICLOFENACO SODICO, 100 MG COMP C/1 BL X 10, RBY
529903903113110, DICLOFENACO SODICO, DICLOFENACO SODICO, DICLOFENACO SODICO, 50 MG COMP C/ 1 BL X 10, RBY
529903902117112, DICLOFENACO SODICO, DICLOFENACO SODICO, DICLOFENACO SODICO, 50 MG COMP C/10 BL X 10, RBY
529903904111111, DICLOFENACO SODICO, DICLOFENACO SODICO, DICLOFENACO SODICO, 50 MG COMP C/2 BL X 10, RBY
529915001160119, DIPROPIONATO DE BETAMETASONA + SULFATO DE GENTAMICINA, DIPROPIONATO BETAMETASONA SULFATO GENTAMICINA, NOT FOUND, 0.5 MG/G + 1.0 MG/G CREM DERM CT BG AL REV X 30 G, RBY
529914502115118, DOMPERIDONA, DOMPERIDONA, DOMPERIDONA, 10 MG COM CT BL AL PLAS INC X 30, RBY
529914501119111, DOMPERIDONA, DOMPERIDONA, DOMPERIDONA, 10 MG COM CT BL AL PLAS INC X 60, RBY
529903701111117, DIAZEPAM, DIAZEPAM, DIAZEPAM, 10MG COMP C/ 2 BL X 10, RBY
529903702118115, DIAZEPAM, DIAZEPAM, DIAZEPAM, 5MG COMP C/ 2 BL X 10, RBY
529912901160129, DICLOFENACO DIETILAMÔNIO, DICLOFENACO DIETILAMONIO, DICLOFENACO DIETILAMONIO, 10 MG/G GEL CT BG AL REV X 60 G, RBY
529903802112119, DICLOFENACO POTÁSSICO, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, 50 MG DRG C/ 10 BL X 10, RBY
529903803119117, DICLOFENACO POTÁSSICO, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, 50 MG DRG C/ 2 BL X 10, RBY
529903901110114, DICLOFENACO SODICO, DICLOFENACO SODICO, DICLOFENACO SODICO, 100 MG COMP C/1 BL X 10, RBY
529903903113110, DICLOFENACO SODICO, DICLOFENACO SODICO, DICLOFENACO SODICO, 50 MG COMP C/ 1 BL X 10, RBY
529903902117112, DICLOFENACO SODICO, DICLOFENACO SODICO, DICLOFENACO SODICO, 50 MG COMP C/10 BL X 10, RBY
529903904111111, DICLOFENACO SODICO, DICLOFENACO SODICO, DICLOFENACO SODICO, 50 MG COMP C/2 BL X 10, RBY
529915001160119, DIPROPIONATO DE BETAMETASONA + SULFATO DE GENTAMICINA, DIPROPIONATO BETAMETASONA SULFATO GENTAMICINA, NOT FOUND, 0.5 MG/G + 1.0 MG/G CREM DERM CT BG AL REV X 30 G, RBY
529914502115118, DOMPERIDONA, DOMPERIDONA, DOMPERIDONA, 10 MG COM CT BL AL PLAS INC X 30, RBY
529914501119111, DOMPERIDONA, DOMPERIDONA, DOMPERIDONA, 10 MG COM CT BL AL PLAS INC X 60, RBY
529903701111117, DIAZEPAM, DIAZEPAM, DIAZEPAM, 10MG COMP C/ 2 BL X 10, RBY
529903702118115, DIAZEPAM, DIAZEPAM, DIAZEPAM, 5MG COMP C/ 2 BL X 10, RBY
529912901160129, DICLOFENACO DIETILAMÔNIO, DICLOFENACO DIETILAMONIO, DICLOFENACO DIETILAMONIO, 10 MG/G GEL CT BG AL REV X 60 G, RBY
529903802112119, DICLOFENACO POTÁSSICO, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, 50 MG DRG C/ 10 BL X 10, RBY
529903803119117, DICLOFENACO POTÁSSICO, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, 50 MG DRG C/ 2 BL X 10, RBY
529903901110114, DICLOFENACO SODICO, DICLOFENACO SODICO, DICLOFENACO SODICO, 100 MG COMP C/1 BL X 10, RBY
529903903113110, DICLOFENACO SODICO, DICLOFENACO SODICO, DICLOFENACO SODICO, 50 MG COMP C/ 1 BL X 10, RBY
529903902117112, DICLOFENACO SODICO, DICLOFENACO SODICO, DICLOFENACO SODICO, 50 MG COMP C/10 BL X 10, RBY
529903904111111, DICLOFENACO SODICO, DICLOFENACO SODICO, DICLOFENACO SODICO, 50 MG COMP C/2 BL X 10, RBY
