529901103111117, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 12.5 MG COMP C/2 BL X 15, RBY
529901104116112, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COMP C/4 BL X 4, RBY
529901105112110, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COMP C/7 BL X 4, RBY
529901108111115, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25.0 MG COM CT BL AL PLAS INC X 30, RBY
529901109118113, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25.0 MG COM CT BL AL PLAS INC X 60, RBY
529901106119119, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COMP C/4 BL X 4, RBY
529901107115117, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COMP C/7 BL X 4, RBY
529901110116110, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50.0 MG COM CT BL AL PLAS INC X 30, RBY
529901203165413, CECNOIN, CECNOIN, NOT FOUND, 0.50 MG/G GEL CT BG AL X 30 G, RBY
529901201111413, CECNOIN, CECNOIN, NOT FOUND, 10 MG CAPS C/ 3 BL X 10, RBY
529901202118411, CECNOIN, CECNOIN, NOT FOUND, 20 MG CAPS C/ 3 BL X 10, RBY
529901303119111, CEFACLOR, CEFACLOR, CEFACLOR, 500 MG CAPS C/1 BL X 10, RBY
529901501115112, CEFALEXINA, CEFALEXINA, CEFALEXINA, 500 MG COMP C/ 1 BL X 8, RBY
529901502111110, CEFALEXINA, CEFALEXINA, CEFALEXINA, 500 MG COMP C/ 2 BL X 10, RBY
529901503118119, CEFALEXINA, CEFALEXINA, CEFALEXINA, 500 MG COMP C/ 20 BL X 10, RBY
529914301152113, CEFAZOLINA SÓDICA, CEFAZOLINA SODICA, CEFAZOLINA SODICA, 1 G PO INJ CT 50 FR AMP VD INC X 10 ML (EMB HOSP), RBY
529901903116415, CELEN AF, CELEN AF, NOT FOUND, 750 MG COMP C/ 1 BL X 4, RBY
529901904112413, CELEN AF, CELEN AF, NOT FOUND, 750 MG COMP C/ 5 BL X 4, RBY
529902001116118, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, 200 MG COMP C/ 1 STR X 10, RBY
529902002112116, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, 200 MG COMP C/ 3 STR X 10, RBY
