1057101080017; CLIOTISONA; CLIOTISONA; NOT FOUND; (30+20) MG/G CRE DERM BG X 20 G; BLF
1057101080025; CLIOTISONA; CLIOTISONA; NOT FOUND; 30 MG/G + 10 MG/G CREM DERM BG AL X 20 G; BLF
1057101150023; CAPTOMIDO; CAPTOMIDO; NOT FOUND; 12.5 MG COM CT BL AL PLAS INC X 30; BLF
1057101150058; CAPTOMIDO; CAPTOMIDO; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; BLF
1057101150082; CAPTOMIDO; CAPTOMIDO; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 30; BLF
1057101490010; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG + 0.64 MG + 2.5 MG/G CREM DERM CT BG AL X 30 G ; BLF
1057101490029; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG + 0.64 MG + 2.5 MG/G CREM DERM CT 50 BG AL X 30 G (EMB HOSP); BLF
1057101490037; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG + 0.64 MG + 2.5 MG/G CREM DERM CT 100 BG AL X 30 G (EMB HOSP); BLF
1057100340010; CALCIOFAR; CALCIOFAR; NOT FOUND; FRS. C/100 SUSP.; BLF
1057100340023; CALCIOFAR; CALCIOFAR; NOT FOUND; (10MG + 3MCG + 24UI + 0.5MG)/ML SUS OR CT FR VD AMB X 250 ML; BLF
1057100190049; COLPADAK; COLPADAK; NOT FOUND; 20 MG / G PO TOP CT TB PLAS X 30 G; BLF
1057100190057; COLPADAK; COLPADAK; NOT FOUND; 20 MG/ ML LOC TOP  FR PLAS OPC X 30 ML; BLF
1057100190065; COLPADAK; COLPADAK; NOT FOUND; 20 MG /G CREM DERM CT BG AL X 28 G; BLF
1057100190072; COLPADAK; COLPADAK; NOT FOUND; 20 MG/G CREM VAG CT BG AL X 80 G + APLIC; BLF
