1057101250011; FLAGIMAX; FLAGIMAX; NOT FOUND; 40 MG/ML SUS OR CT FR VD AMB X 100 ML + COP MED ; BLF
1057101250028; FLAGIMAX; FLAGIMAX; NOT FOUND; 40 MG/ML SUS OR CT FR PLAS AMB X 100 ML + COP MED; BLF
1057101030036; FLAGIMAX; FLAGIMAX; NOT FOUND; 100 MG/G GEL CT BG AL X 50 G + 10 APLIC; BLF
1057101030011; FLAGIMAX; FLAGIMAX; NOT FOUND; 250 MG COM CT STR X 20; BLF
1057101030028; FLAGIMAX; FLAGIMAX; NOT FOUND; 400 MG COM CT  STR X 24; BLF
1057101140036; FENATEC; FENATEC; NOT FOUND; 5 MG/ML SOL OR CT FR VD CGT X 20 ML; BLF
1057100150016; FRUTOSE; FRUTOSE; FRUTOSE; CXS. C/50 AMP. X 20 ML.; BLF
1057100890015; FLATICONA; FLATICONA; NOT FOUND; 75 MG/ML SUS OR CT FR PLAS OPC GOT X 10 ML; BLF
1057100890023; FLATICONA; FLATICONA; NOT FOUND; 75 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML; BLF
1057100890031; FLATICONA; FLATICONA; NOT FOUND; 40 MG COM CT 2 BL AL PLAS INC X 10; BLF
1057100840034; FLUCOL; FLUCOL; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS AMB X 1; BLF
1057100840042; FLUCOL; FLUCOL; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS AMB X 2; BLF
1057100870014; FUROMIDA; FUROMIDA; NOT FOUND; 40 MG COM CT 2 BL AL PLAS INC X 10; BLF
1057100870022; FUROMIDA; FUROMIDA; NOT FOUND; 40 MG COM CT 2 BL AL PLAS AMB X 10; BLF
