1057100820017; BACINA; BACINA; NOT FOUND; 5 MG + 250 UI/G POM DERM CT BG AL X 15 G; BLF
1057100820025; BACINA; BACINA; NOT FOUND; 5 MG + 250 UI/G POM DERM CT BG AL X 10 G; BLF
1057100940012; BETACORTAZOL; BETACORTAZOL; NOT FOUND; 20MG+0.5MG+2.5MG CREM DERM CT BG AL X 30 G; BLF
1057100370011; BELPIDEX; BELPIDEX; NOT FOUND; 5 MG + 60 MG COM REV CT BL AL PLAS INC X 20; BLF
1057100930033; BELSCOPAN; BELSCOPAN; NOT FOUND; 10.0 MG COM REV CX 2 BL AL PLAS INC X 10; BLF
1057101070021; BELSPAN; BELSPAN; NOT FOUND; 333.4 MG + 6.67 MG / ML SOL OR CT FR VD CGT X 20 ML; BLF
1057101070089; BELSPAN; BELSPAN; NOT FOUND; 333.4 MG/ML + 6.67 MG/ML SOL OR CT FR GOT PLAS OPC X 20 ML; BLF
1057101070011; BELSPAN; BELSPAN; NOT FOUND; 250 MG + 10 MG COM REV CT BL AL PLAS INC X 20; BLF
1057101070070; BELSPAN; BELSPAN; NOT FOUND; 250 MG + 10 MG COM REV CT BL AL PLAS INC X 1000 (EMB MULT); BLF
1057101070062; BELSPAN; BELSPAN; NOT FOUND; 250 MG + 10 MG COM REV CT BL AL PLAS INC X 500 (EMB MULT); BLF
1057101070054; BELSPAN; BELSPAN; NOT FOUND; 250 MG + 10 MG COM REV CT BL AL PLAS INC X 200 (EMB MULT); BLF
1057101010043; BESODIN; BESODIN; NOT FOUND; 300MG + 50MG + 30MG/ML SOL OR CT FR VD AMB X 15 ML; BLF
1057101010019; BESODIN; BESODIN; NOT FOUND; 300MG + 30MG + 30MG DRG CT BL AL PLAS AMB X 200 ; BLF
1057101010027; BESODIN; BESODIN; NOT FOUND; 300MG + 30MG + 30MG DRG CT BL AL PLAS AMB X 20; BLF
1057101010061; BESODIN; BESODIN; NOT FOUND; 300MG + 30MG + 30MG DRG CT BL AL PLAS INC X 20; BLF
1057101010051; BESODIN; BESODIN; NOT FOUND; 300MG + 30MG + 30MG DRG CT BL AL PLAS INC X 200 ; BLF
1057100050020; BELCOMPLEX; BELCOMPLEX; NOT FOUND; FRS. C/100 XPE.; BLF
1057100050031; BELCOMPLEX; BELCOMPLEX; NOT FOUND; FRS. C/30 ML GOTAS; BLF
1057100050011; BELCOMPLEX; BELCOMPLEX; NOT FOUND; FRS. C/50 DRGS.; BLF
1057100230010; BELGLOS; BELGLOS; NOT FOUND; BGS. C/20 GRS. POM.; BLF
1057100010018; BRONXAZOL; BRONXAZOL; NOT FOUND; CXS. C/ 20 COMP.; BLF
1057101200012; BELFAREN; BELFAREN; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 20; BLF
1057100920011; BELDIGOX; BELDIGOX; NOT FOUND; CXS. C/20 COMP.; BLF
1057100320018; BELMIRAX; BELMIRAX; NOT FOUND; 20 MG/ML SUS OR CT FR VD AMB X 30 ML; BLF
1057100320030; BELMIRAX; BELMIRAX; NOT FOUND; 20 MG/ML SUS OR CT FR PLAS AMB X 30 ML; BLF
1057100320022; BELMIRAX; BELMIRAX; NOT FOUND; 100 MG COM CT BL AL PLAS AMB X 6; BLF
1057101000021; BEFLOX; BEFLOX; NOT FOUND; FRS. C/ 10 COMP. 15 MG; BLF
1057101000013; BEFLOX; BEFLOX; NOT FOUND; FRS. C/ 10 COMP. 7.5 MG; BLF
