1057100060047; DRENOGRIP; DRENOGRIP; NOT FOUND; 200MG + 15MG + 2MG DRG + 300MG DRG + DRG CX 25 BL AL PLAS INC X 4 (VERDE + AMARELA); BLF
1057100060071; DRENOGRIP; DRENOGRIP; NOT FOUND; 500MG+30MG+2MG COM REV CT BL AL PLAS INC X 60 AM + 60 VER (EMB MULT); BLF
1057100060063; DRENOGRIP; DRENOGRIP; NOT FOUND; 500MG+30MG+2MG COM REV CT BL AL PLAS INC X 6 AM + 6  VER; BLF
1057100970027; DERMOTRIZOL; DERMOTRIZOL; NOT FOUND; 10 MG/ML SOL TOP CT FR VD AMB SPRAY X 20 ML; BLF
1057100970019; DERMOTRIZOL; DERMOTRIZOL; NOT FOUND; 10 MG/G CREM DERM CT BG AL X 20 G; BLF
1057100970043; DERMOTRIZOL; DERMOTRIZOL; NOT FOUND; 10 MG/ML SOL TOP CT FR PLAS OPC GOT X 30 ML; BLF
1057100810021; DELTAPIL; DELTAPIL; NOT FOUND; CXS. C/70 GRS SAB.; BLF
1057100810038; DELTAPIL; DELTAPIL; NOT FOUND; 0.20 MG/ML LOC CT FR PLAS OPC X 100 ML; BLF
1057100810011; DELTAPIL; DELTAPIL; NOT FOUND; 0.20 MG/ML SHAMP CT FR PLAS OPC X 100 ML; BLF
1057100380025; DEXAGLOS; DEXAGLOS; NOT FOUND; 0.1 MG/ML ELX CT FR VD AMB X 100 ML; BLF
1057100380011; DEXAGLOS; DEXAGLOS; NOT FOUND; 1 MG/G CREM DERM CT BG AL X 15 G; BLF
1057100380033; DEXAGLOS; DEXAGLOS; NOT FOUND; 0.5 MG COM CX CT STR X 20; BLF
1057100280017; DIPIGINA; DIPIGINA; NOT FOUND; FRS. C/10 ML GOTAS; BLF
1057100280025; DIPIGINA; DIPIGINA; NOT FOUND; FRS. C/20 ML GOTAS; BLF
1057100280056; DIPIGINA; DIPIGINA; NOT FOUND; FRS. C/60 ML. SOL. ORAL.; BLF
1057100280041; DIPIGINA; DIPIGINA; NOT FOUND; CXS. C/20 COMP.; BLF
1057100280098; DIPIGINA; DIPIGINA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 10; BLF
1057100280101; DIPIGINA; DIPIGINA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 20; BLF
1057100280081; DIPIGINA; DIPIGINA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 280 ; BLF
1057100030032; DERMOLIMP; DERMOLIMP; NOT FOUND; 0.02 + 0.02 G/G CREM DERM CT BG AL X 30 G; BLF
