1057100860027; PLABEL; PLABEL; NOT FOUND; 4.0 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; BLF
1057100860019; PLABEL; PLABEL; NOT FOUND; 1.0 MG/ML SOL OR CT FR VD AMB X 100 ML + CP MED; BLF
1057100860035; PLABEL; PLABEL; NOT FOUND; 10 MG COM CT 2 BL AL PLAS INC X 10; BLF
1057101100018; PROMERGAN; PROMERGAN; NOT FOUND; 20 MG/G CREM DERM CT BG AL X 30 G; BLF
1057100910040; PARAMOL; PARAMOL; NOT FOUND; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; BLF
1057101480015; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ML  SOL OR CT FR PLAS OPC GOT X 15 ML ; BLF
1057101480023; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ML  SOL OR CT 50 FR PLAS OPC GOT X 15 ML (EMB HOSP); BLF
1057101480031; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ML  SOL OR CT 100 FR PLAS OPC GOT X 15 ML (EMB HOSP); BLF
1057100910016; PARAMOL; PARAMOL; NOT FOUND; 750 MG COM REV CT BL AL PLAS AMB X 12; BLF
1057100910024; PARAMOL; PARAMOL; NOT FOUND; 750 MG COM REV CT 50 BL AL PLAS AMB X 4 (EMB HOSP); BLF
1057100350010; PIOSAN; PIOSAN; NOT FOUND; 0.01 G/ML LOC CT FR PLAS OPC X 60 ML; BLF
1057101210026; PIROFLAM; PIROFLAM; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PLAS INC X 10; BLF
