69604; DERMITRAT ; DERMITRAT; NOT FOUND; CPR 200 MG x 10; VAP
69603; DERMITRAT ; DERMITRAT; NOT FOUND; CREME 20 MG 30 G x 1 (/G); VAP
73947; DERMITRAT ; DERMITRAT; NOT FOUND; CREME 20 MG 30 G x 50; VAP
69605; DERMITRAT SHAMPOO ; DERMITRAT SHAMPOO; NOT FOUND; SHAMPOO 20 MG 100 ML x 1 (/ML); VAP
57824; DERMONIL ; DERMONIL; NOT FOUND; CREME 1 MG 30 G x 1 (/G); VAP
57825; DERMONIL ; DERMONIL; NOT FOUND; POM. 1 MG 30 G x 1 (/G); VAP
57713; DEXAMEX ; DEXAMEX; NOT FOUND; CPR 0.50 MG x 20; VAP
55990; DEXAMEX ; DEXAMEX; NOT FOUND; CREME 0.10 % 10 G x 1; VAP
73959; DEXAMEX ; DEXAMEX; NOT FOUND; CREME 1 MG 10 G x 50 (/G); VAP
57714; DEXAMEX ; DEXAMEX; NOT FOUND; ELIXIR 0.10 MG 100 ML x 1 (/ML); VAP
59957; DIBETAM ; DIBETAM; NOT FOUND; AMP. 1 ML x 1; VAP
57718; DIGOXAN ; DIGOXAN; NOT FOUND; CPR 0.25 MG x 24; VAP
73520; DIGOXINA MG ; DIGOXINA; DIGOXINA; CPR 0.25 MG x 24; VAP
73521; DIGOXINA MG ; DIGOXINA; DIGOXINA; CPR 0.25 MG x 480; VAP
59959; DIMENIDRIN ; DIMENIDRIN; NOT FOUND; CPR x 100; VAP
59960; DIMENIDRIN ; DIMENIDRIN; NOT FOUND; GOTAS 20 ML x 1; VAP
65046; DIURECLOR ; DIURECLOR; NOT FOUND; CPR 50 MG x 20; VAP
55851; DORALEX ; DORALEX; NOT FOUND; CPR 500 MG x 100; VAP
68802; DORALEX ; DORALEX; NOT FOUND; CPR 500 MG x 200; VAP
67544; DORFENOL ; DORFENOL; NOT FOUND; CPR 750 MG x 200; VAP
72188; DORFENOL ; DORFENOL; NOT FOUND; GOTAS 200 MG 15 ML x 1 (/ML); VAP
59961; DOXILINA ; DOXILINA; NOT FOUND; CPR RECUB. 100 MG x 15; VAP
