62684, DAKNAX , DAKNAX, NOT FOUND, LOC. 20 MG 30 ML x 1, P7B
62506, DECNAZOL , DECNAZOL, NOT FOUND, CPR 1000 MG x 2, P7B
62685, DERMOVAT , DERMOVAT, NOT FOUND, CREME 1 MG 30 G x 1 (/G), P7B
62686, DERMOVAT , DERMOVAT, NOT FOUND, POM. 1 MG 30 G x 1 (/G), P7B
75709, DICLOFEN.DIETIL.MG , DICLOFEN DIETIL, DICLOFENACO DIETILAMONIO, GEL. 11.6 MG 60 G x 1 (/G), P7B
62125, DIGOX , DIGOX, NOT FOUND, CPR 0.25 MG x 20, P7B
75078, DIGOX , DIGOX, NOT FOUND, CPR 0.25 MG x 500, P7B
73255, DIGOXINA MG , DIGOXINA, DIGOXINA, CPR 0.25 MG x 20, P7B
83746, DIGOXINA MG , DIGOXINA, DIGOXINA, CPR 0.25 MG x 500, P7B
89148, DOXICLIN , DOXICLIN, NOT FOUND, CPR REVEST 100 MG x 15, P7B
89146, DOXICLIN , DOXICLIN, NOT FOUND, CPR REVEST 100 MG x 600, P7B
