76276, ANGILESS , ANGILESS, NOT FOUND, CPR 100 MG x 30, P7B
76277, ANGILESS , ANGILESS, NOT FOUND, CPR 25 MG x 30, P7B
76278, ANGILESS , ANGILESS, NOT FOUND, CPR 50 MG x 30, P7B
62667, ARTRITEC , ARTRITEC, NOT FOUND, CPR 15 MG x 10, P7B
112039, ARTRITEC , ARTRITEC, NOT FOUND, CPR 15 MG x 500, P7B
62666, ARTRITEC , ARTRITEC, NOT FOUND, CPR 7.50 MG x 10, P7B
61650, ASETISIN , ASETISIN, NOT FOUND, CPR 100 MG x 200 (INF), P7B
66296, ASETISIN , ASETISIN, NOT FOUND, CPR 100 MG x 500 (INF), P7B
61648, ASETISIN , ASETISIN, NOT FOUND, CPR 500 MG x 100 (ADLT), P7B
66295, ASETISIN , ASETISIN, NOT FOUND, CPR 500 MG x 500 (ADLT), P7B
76590, ATENOLOL MG , ATENOLOL, ATENOLOL, CPR 100 MG x 30, P7B
76591, ATENOLOL MG , ATENOLOL, ATENOLOL, CPR 25 MG x 30, P7B
76592, ATENOLOL MG , ATENOLOL, ATENOLOL, CPR 50 MG x 30, P7B
67527, AZITROPHAR , AZITROPHAR, NOT FOUND, CPR REVEST 500 MG x 3, P7B
89252, AZITROPHAR , AZITROPHAR, NOT FOUND, CPR REVEST 500 MG x 500, P7B
67525, AZITROPHAR , AZITROPHAR, NOT FOUND, PO P/SUSP 600 MG 15 ML x 1, P7B
161622, AZITROPHAR , AZITROPHAR, NOT FOUND, PO P/SUSP 600 MG 15 ML x 50, P7B
67526, AZITROPHAR , AZITROPHAR, NOT FOUND, PO P/SUSP 900 MG 22.5 ML x 1, P7B
