62676, CAPTOSEN , CAPTOSEN, NOT FOUND, CPR 25 MG x 30, P7B
65454, CAPTOSEN , CAPTOSEN, NOT FOUND, CPR 25 MG x 900, P7B
62678, CAPTOSEN , CAPTOSEN, NOT FOUND, CPR 50 MG x 30, P7B
150799, CAPTOSEN , CAPTOSEN, NOT FOUND, CPR REVEST 25 MG x 500, P7B
68724, CARIDERM , CARIDERM, NOT FOUND, POM. 45 G x 1, P7B
64370, CEDRILAX , CEDRILAX, NOT FOUND, CPR x 100, P7B
62679, CEDRILAX , CEDRILAX, NOT FOUND, CPR x 30, P7B
99513, CETOCONAZOL CPR MG , CETOCONAZOL CPR, NOT FOUND, CPR 200 MG x 10, P7B
75282, CETOCONAZOL CPR MG , CETOCONAZOL CPR, NOT FOUND, CPR 200 MG x 30, P7B
73056, CETOCONAZOL MG , CETOCONAZOL, CETOCONAZOL, CREME DERMAT 20 MG 30 G x 1 (/G), P7B
62723, CIPROFLONAX , CIPROFLONAX, NOT FOUND, CPR REVEST 500 MG x 14, P7B
76243, CLO PROPRANOLOL MG , CLO PROPRANOLOL, CLORIDRATO PROPRANOLOL, CPR 40 MG x 30, P7B
76244, CLO PROPRANOLOL MG , CLO PROPRANOLOL, CLORIDRATO PROPRANOLOL, CPR 80 MG x 30, P7B
62682, CLORTON , CLORTON, NOT FOUND, CPR 25 MG x 42, P7B
62683, CLORTON , CLORTON, NOT FOUND, CPR 50 MG x 28, P7B
71454, COENAPLEX , COENAPLEX, NOT FOUND, CPR 10 MG x 30 (/25), P7B
71455, COENAPLEX , COENAPLEX, NOT FOUND, CPR 12.5 MG x 30 (/20), P7B
62991, CORTIDEX , CORTIDEX, NOT FOUND, CREME 0.10 % 10 G x 1, P7B
