73676; CLO TICLOPIDINA; CLORIDRATO TICLOPIDINA; CPR REVEST 250 MG x 30; LG6;5,08026E+14; CLORIDRATO TICLOPIDINA; CLORIDRATO TICLOPIDINA; 250 MG COM REV CT BL AL PLAS INCX 30; EUF
66107; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 500 MG x 30; GM2;5,25304E+14; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT 3 BL AL PLAS INC X 10; NO_ACR
76468; CLO VENLAFAXINA; CLORIDRATO VENLAFAXINA; CAPS L.P. 150 MG x 14; E3S;5,08021E+14; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 150 MG CAP GEL DURA CT BL AL PLAS INC X 14; EUF
63843; NITRA MICONAZOL; NITRATO MICONAZOL; LOC. 20 MG 30 G x 1 (/G); E3S;5,28504E+14; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G LOC CT FR PLAST X 30 G (GENERICO); PZ8
67364; CLOR SERTRALINA; CLORIDRATO SERTRALINA; CPR REVEST 50 MG x 20; BF8;5,0461E+14; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS OPC X 20; BF8
58358; CARBOCISTEINA; CARBOCISTEINA; XAR. 50 MG 100 ML x 1 (/ML); MD7;5,26117E+14; CARBOCISTEINA; CARBOCISTEINA; 50MG/ML XPE AD 100 ML; GM2
76493; CLO VENLAFAXINA; CLORIDRATO VENLAFAXINA; CAPS L.P. 150 MG x 14; LG6;5,08021E+14; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 150 MG CAP GEL DURA CT BL AL PLAS INC X 14; EUF
66776; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 20 MG x 14; GM2;5,2501E+14; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT 2 BL AL PLAS INC X 7; MD7
79605; ATORVASTATINA; ATORVASTATINA; CPR REVEST 40 MG x 30; MD7;5,07743E+14; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 40 MG COM REV CT BL AL AL X 30; E3S
64491; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 60; SDZ;5,37101E+14; CAPTOPRIL; CAPTOPRIL; 25.00 MG COM CT BL AL PLAS INC X 60 (EMB FRAC); NO_ACR
73360; FUROAT MOMETASO; FUROATO MOMETASONA; CREME 1 MG 20 G x 1 (/G); MD7;5,07733E+14; FUROATO MOMETASONA; FUROATO MOMETASONA; 1 MG/G CREM DERM CT BG AL X 20 G; E3S
63615; NORFLOXACINO; NORFLOXACINO; CPR REVEST 400 MG x 6; BF8;5,33022E+14; NORFLOXACINO; NORFLOXACINO; 400 MG COMN STR AL X 6; U_Q
64639; DESONIDA; DESONIDA; CREME 0.50 MG 30 G x 1 (/G); MD7;5,31606E+14; DESONIDA; DESONIDA; 0.5 MG/G CREM CT BG AL X 30 G; NO_ACR
78003; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 50 MG x 8; SDZ;5,11517E+14; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM CT BL AL PLAS INC X 8; SDZ
63846; VALER BETAMETA; VALERATO BETAMETASONA; POM. 1 MG 30 G x 1 (/G); E3S;5,19017E+14; VALERATO BETAMETASONA; VALERATO BETAMETASONA; 1 MG/G CREM DERM CT BG AL X 30 G; N_Q
69701; OMEPRAZOL; OMEPRAZOL; CAPS GELATIN 20 MG x 60; E3S;5,07719E+14; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA MCGRAN CT BL AL PLAS INC X 60 (EMB FRAC); E3S
66737; LANSOPRAZOL; LANSOPRAZOL; CAPS 30 MG x 28; GM2;5,26119E+14; LANSOPRAZOL; LANSOPRAZOL; 30 MG 4BLT C/7 CAP; GM2
57646; NIMESULIDA; NIMESULIDA; GOTAS 50 MG 15 ML x 1 (/ML); MD7;5,25009E+14; NIMESULIDA; NIMESULIDA; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML; MD7
59100; OMEPRAZOL; OMEPRAZOL; CAPS 10 MG x 14; SDZ;5,25304E+14; OMEPRAZOL; OMEPRAZOL; 10 MG CAP GEL DURA C/ MCGRAN BL AL PLAS INC X 14 ; NO_ACR
