501100101135416; AD-TIL; AD TIL; NOT FOUND; 50.000 + 10.000 UI/ML SOL OR CT FR PLAS AMB GOT X 10 ML; TAK
501112030018803; AD-TIL; AD TIL; NOT FOUND; 50000 + 10000 UI/ML SOL OR CT FR PLAS AMB GOT X 20 ML; TAK
501105302112317; ALEKTOS; ALEKTOS; NOT FOUND; 20 MG COM CT BL AL/AL X 10; TAK
501105303119315; ALEKTOS; ALEKTOS; NOT FOUND; 20 MG COM CT BL AL/AL X 15; TAK
501105304115313; ALEKTOS; ALEKTOS; NOT FOUND; 20 MG COM CT BL AL/AL X 20; TAK
501105305111311; ALEKTOS; ALEKTOS; NOT FOUND; 20 MG COM CT BL AL/AL X 30; TAK
501105301116319; ALEKTOS; ALEKTOS; NOT FOUND; 20 MG COM CT BL AL/AL X 4; TAK
501105306118311; ALEKTOS; ALEKTOS; NOT FOUND; 20 MG COM CT BL AL/AL X 8; TAK
501103801170316; ALVESCO; ALVESCO; NOT FOUND; 0.10 MG/DOSE SOL INAL CT FR AL/VAL DOS X 120 DOSES; TAK
501103701176312; ALVESCO; ALVESCO; NOT FOUND; 0.10 MG/DOSE SOL INAL CT FR AL/VAL DOS X 60 DOSES; TAK
501103901175311; ALVESCO; ALVESCO; NOT FOUND; 0.20 MG/DOSE SOL INAL CT FR AL/VAL DOS X 120 DOSES; TAK
501104001178310; ALVESCO; ALVESCO; NOT FOUND; 0.20 MG/DOSE SOL INAL CT FR AL/VAL DOS X 60 DOSES; TAK
501100401163415; ALBOCRESIL; ALBOCRESIL; NOT FOUND; 18 MG/ML GEL CT BG AL X 50 G + APLIC; TAK
501100403174414; ALBOCRESIL; ALBOCRESIL; NOT FOUND; 360 MG/G SOL CONC CT FR VD AMB X 12 ML; TAK
501100402119411; ALBOCRESIL; ALBOCRESIL; NOT FOUND; 90 MG OVL CT ROT X 6; TAK
