1134300230016; FEBRILON; FEBRILON; NOT FOUND; 500MG/ML C/100 X5ML; HPO
1134300230024; FEBRILON; FEBRILON; NOT FOUND; 500MG/MLC/100X2ML; HPO
1134300230059; FEBRILON; FEBRILON; NOT FOUND; GOTAS CX200 FRASCO 10ML; HPO
1134300230016; FEBRILON; FEBRILON; NOT FOUND; 500MG CX C/200 CPR; HPO
1134300230040; FEBRILON; FEBRILON; NOT FOUND; 500MG CX C/500 CPR; HPO
1134301710011; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML SOL INJ CT 05 AMP VD INC X 5 ML; HPO
1134301710021; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML SOL INJ CX 100 AMP VD INC X 5 ML (EMB HOSP); HPO
1134301710038; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML SOL INJ CX 50 AMP VD INC X 5 ML (EMB HOSP); HPO
1134300640044; FLUXOZOL; FLUXOZOL; NOT FOUND; 2 MG/ML SOL INJ CX FA VD INC X 100 ML; HPO
1134301390017; FLUCONAZOL; FLUCONAZOL; FLUCONAZOL; 2 MG/ML SOL INJ IV CT FA VD AMB X 100 ML ; HPO
1134300640060; FLUXOZOL; FLUXOZOL; NOT FOUND; 150 MG CAP GEL DURA CT 100 BL AL PLAS INC X 1 ( EMB HOSP); HPO
1134300640052; FLUXOZOL; FLUXOZOL; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 1; HPO
1134300640028; FLUXOZOL; FLUXOZOL; NOT FOUND; 100 MG CAP GEL DURA CX BL AL/PLAS INC X 8; HPO
1134300640011; FLUXOZOL; FLUXOZOL; NOT FOUND; 50 MG CAP GEL DURA CX BL AL PLAS INC X 8; HPO
1134300640079; FLUXOZOL; FLUXOZOL; NOT FOUND; 100 MG CAP GEL DURA CX BL AL/PLAS INC X 400 (EMB HOSP); HPO
1134300720056; FOLINAC; FOLINAC; NOT FOUND; 3 MG/ML SOL INJ CX 100 AMP VD INC X 1 ML (EMB. HOSP.); HPO
1134300720013; FOLINAC; FOLINAC; NOT FOUND; 15 MG COM CX BL AL PLAS INC X 10; HPO
1134300720021; FOLINAC; FOLINAC; NOT FOUND; 15 MG COM CX 10 BL AL PLAS INC X 10 (EMB. HOSP.); HPO
1134300720031; FOLINAC; FOLINAC; NOT FOUND; 15 MG COM CX 50 BL AL PLAS INC X 10 (EMB. HOSP.); HPO
1134301030045; FOSFATO DE CLINDAMICINA; FOSFATO CLINDAMICINA; FOSFATO CLINDAMICINA; 150 MG/ML SOL INJ CX 100 AMP VD INC X 4 ML (EMB HOSP); HPO
1134301030029; FOSFATO DE CLINDAMICINA; FOSFATO CLINDAMICINA; FOSFATO CLINDAMICINA; 150 MG/ML SOL INJ CX 50 AMP VD INC X 2 ML; HPO
1134301030010; FOSFATO DE CLINDAMICINA; FOSFATO CLINDAMICINA; FOSFATO CLINDAMICINA; 150 MG/ML SOL INJ CX 100 AMP VD INC X 2 ML (EMB HOSP); HPO
1134301140010; FOSFATO DISSÓDICO DE DEXAMETASONA; FOSFATO DISSODICO DEXAMETASONA; NOT FOUND; 2 MG/ML SOL INJ CX 100 AMP VD INC X 1 ML (EMB HOSP); HPO
1134301140045; FOSFATO DISSÓDICO DE DEXAMETASONA; FOSFATO DISSODICO DEXAMETASONA; NOT FOUND; 4 MG/ML SOL INJ CX 100 EST AMP VD INC X 2.5 ML (EMB HOSP) ; HPO
1134301840012; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 3.0 MG/ML SOL OR CT FR PLAS AMB X 60 ML + COP; HPO
1134301840020; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 3.0 MG/ML SOL OR CT FR PLAS AMB X 120 ML + CP MED; HPO
1134301840039; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 3.0 MG/ML SOL OR CX 50 FR PLAS AMB X 60 ML + 50 CP MED (EMB HOSP) ; HPO
1134301840047; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 3.0 MG/ML SOL OR CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP); HPO
1134301460041; FUMARATO DE CETOTIFENO; FUMARATO CETOTIFENO; FUMARATO CETOTIFENO; 0.2 MG/ML XPE CX 50 FR VD AMB X 120 ML + 50 CP MED; HPO
1134301460031; FUMARATO DE CETOTIFENO; FUMARATO CETOTIFENO; FUMARATO CETOTIFENO; 0.2 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; HPO
1134301460023; FUMARATO DE CETOTIFENO; FUMARATO CETOTIFENO; FUMARATO CETOTIFENO; 0.2 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED; HPO
1134301460015; FUMARATO DE CETOTIFENO; FUMARATO CETOTIFENO; FUMARATO CETOTIFENO; 0.2 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED; HPO
