1134300220010; GERI-KAN; GERI KAN; NOT FOUND; CX50 CAPSULAS; HPO
1134301040016; GARAMOX; GARAMOX; NOT FOUND; 10 MG/ML SOL INJ CX 100 AMP VD INC X 1 ML (EMB HOSP); HPO
1134300400086; GARAMOX; GARAMOX; NOT FOUND; 20MG CX100 AMPOLAS X 1ML; HPO
1134300400108; GARAMOX; GARAMOX; NOT FOUND; 40MG CX100 AMPX1M; HPO
1134300400043; GARAMOX; GARAMOX; NOT FOUND; 60MG CX100 AMPX2ML; HPO
1134301040075; GARAMOX; GARAMOX; NOT FOUND; 80 MG/ML SOL INJ CX 100 AMP VD INC X 02 ML (EMB.HOSP); HPO
1134301040016; GARAMOX; GARAMOX; NOT FOUND; 10 MG/ML SOL INJ CX 100 AMP VD INC X 1 ML (EMB HOSP) ; HPO
1134301580010; GLICONATO DE CÁLCIO; GLICONATO CALCIO; GLICONATO CALCIO; 100 MG/ML SOL INJ CX 100 AMP VD INC X 10 ML; HPO
1134300060013; GLICOSE HIPERTONICA; GLICOSE HIPERTONICA; NOT FOUND; 25% CX100 AMPX10ML; HPO
1134300060021; GLICOSE HIPERTONICA; GLICOSE HIPERTONICA; NOT FOUND; 50% CX100 AMPX10ML; HPO
1134300820018; GLUCONATO DE CALCIO; GLUCONATO CALCIO; NOT FOUND; CX100 AMPX10ML; HPO
