1134300290027; LIVITAMIN; LIVITAMIN; NOT FOUND; VIDRO 120 ML; HPO
1134300490018; LASIOL; LASIOL; NOT FOUND; 20MG CX100 AMPX2ML; HPO
1134300490042; LASIOL; LASIOL; NOT FOUND;  40MG CX500 CPR; HPO
1134300490026; LASIOL; LASIOL; NOT FOUND; CX C/20 CPR; HPO
1134300850022; LIDOL; LIDOL; NOT FOUND; 2% S/V CX100 AMPX5ML; HPO
1134300430023; LIDOL; LIDOL; NOT FOUND; 2% S/V CX25 20ML; HPO
1134300510043; LIDOL; LIDOL; NOT FOUND; 1% S/V CX25 20ML; HPO
1134300850022; LIDOL; LIDOL; NOT FOUND; HIPERBARICA CX50 AMPX2ML; HPO
1134301750013; LIDOCAINA; LIDOCAINA; LIDOCAINA; 100 MG/ML SOL TOP CX 10 FR VD INC SPRAY X 50 ML; HPO
1134301750021; LIDOCAINA; LIDOCAINA; LIDOCAINA; 100 MG/ML SOL TOP CT FR VD INC SPRAY X 50 ML; HPO
1134300510042; LIDOL; LIDOL; NOT FOUND;  CX50 BISNAGAS 30G; HPO
1134300160018; LIDOL; LIDOL; NOT FOUND; 2% GELEIA 30GR; HPO
1134300160026; LIDOL; LIDOL; NOT FOUND; 5% POMADA 20GR; HPO
1134300290027; LINCOMICINA; LINCOMICINA; LINCOMICINA; CX50 AMP. X 1ML; HPO
1134300680062; LAPRITEC; LAPRITEC; NOT FOUND; 10MG COM CX  BL AL PLAS AMB X 500 (EMB HOSP); HPO
1134300680046; LAPRITEC; LAPRITEC; NOT FOUND; 10MG COM CX  BL AL PLAS AMB  X 30; HPO
1134300680070; LAPRITEC; LAPRITEC; NOT FOUND; 20MG COM CX  BL AL PLAS  AMB X 30 (EMB HOSP); HPO
1134300680097; LAPRITEC; LAPRITEC; NOT FOUND; 20MG COM CX  BL AL PLAS AMB X 500 (EMB HOSP); HPO
1134300680038; LAPRITEC; LAPRITEC; NOT FOUND; 5MG COM CX  BL AL PLAS AMB X 500 (EMB HOSP); HPO
1134300680011; LAPRITEC; LAPRITEC; NOT FOUND; 5 MG COM CX BL AL PLAS AMB X 30; HPO
