1134300790038; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 4MG C/100AMPX2.5ML; HPO
1134300790038; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 4MG/ML CX50 AMPX2.5ML; HPO
1134300940048; DEXCLORFENIRAMINA; DEXCLORFENIRAMINA; DEXCLORFENIRAMINA;  C/50VD 120ML; HPO
1134300940056; DEXCLORFENIRAMINA; DEXCLORFENIRAMINA; DEXCLORFENIRAMINA; XPE CART.C/1FR; HPO
1134301520018; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG/ML SOL INJ CX 100 AMP VD AMB X 2 ML (EMB HOSP); HPO
1134301520026; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG/ML SOL INJ CT AMP VD AMB X 2 ML; HPO
1134301520034; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML (EMB HOSP) ; HPO
1134300440053; DICLO SODICO; DICLO SODICO; NOT FOUND; POT.15MG/ML FR 15ML; HPO
1134300500080; DICLO SODICO; DICLO SODICO; NOT FOUND; POT.15MG/ML CX200 FR 15ML; HPO
1134300440029; DICLO SODICO; DICLO SODICO; NOT FOUND; 50MG CX20 DRAGEA; HPO
1134300440053; DICLO SODICO; DICLO SODICO; NOT FOUND; 50MG CX500 DRAGEA; HPO
1134301150024; DICLOFENACO POTÁSSICO; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; 25 MG/ML SOL INJ CT 100 AMP VD INC X 3 ML (EMB HOSP); HPO
1134301380021; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 25 MG/ML SOL INJ IM CX 100 AMP VD INC X 3 ML (EMB HOSP); HPO
1134301380011; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 25 MG/ML SOL INJ IM CT 03 AMP VD INC X 3 ML; HPO
1134300870015; DIMETICOLIN; DIMETICOLIN; NOT FOUND; GOTAS CX200 FR; HPO
1134300870023; DIMETICOLIN; DIMETICOLIN; NOT FOUND; 75 MG/ML EMU OR CT FR PLAS OPC GOT X 10 ML; HPO
1134301330014; DIMETICONA; DIMETICONA; DIMETICONA; 75 MG/ML EMU OR CT FR PLAS OPC GOT X 10 ML; HPO
1134301330030; DIMETICONA; DIMETICONA; DIMETICONA; 75 MG/ML EMU OR CX 200 FR PLAS OPC GOT X 10 ML (EMB HOSP); HPO
1134301330022; DIMETICONA; DIMETICONA; DIMETICONA; 75 MG/ML EMU OR CX 50 FR PLAS OPC GOT X 10 ML (EMB HOSP); HPO
1134301200021; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ ML  SOL INJ CX 100 AMP VD AMB X 2 ML (EMB HOSP); HPO
1134301370016; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ ML SOL OR CT FR PLAS OPC GOT X 10 ML; HPO
1134301370032; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ ML SOL OR CX 200 FR PLAS OPC GOT X 10 ML (EMB HOSP); HPO
1134301370024; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ ML SOL OR CX 50 FR PLAS OPC GOT X 10 ML (EMB HOSP); HPO
1134300740049; DOBUTAMOL; DOBUTAMOL; NOT FOUND; INJ CX10 AMPX2OML; HPO
1134300880037; DOPAMOL; DOPAMOL; NOT FOUND; 50MG CX100 AMPX10ML; HPO
