1134300690092; CARDIORON; CARDIORON; NOT FOUND; INJ.CX100 AMPX3ML; HPO
1134300690084; CARDIORON; CARDIORON; NOT FOUND; INJETAVELCX06AMPX3ML; HPO
1134300690068; CARDIORON; CARDIORON; NOT FOUND; 200MG CX500 CPR; HPO
1134300690041; CARDIORON; CARDIORON; NOT FOUND; 200MG CX20 CPR; HPO
1134301800045; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 20 MG/ML SUS OR CX 50 FR PLAS AMB X 100 ML + 50 CP MED (EMB HOSP); HPO
1134301800010; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 20 MG/ML SUS OR CT FR VD AMB X 100 ML + CP MED; HPO
1134301800037; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 20 MG/ML SUS OR CX 50 FR VD AMB X 100 ML + 50 CP MED (EMB HOSP); HPO
1134301800029; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 20 MG/ML SUS OR CT FR PLAS AMB X 100 ML + CP MED; HPO
1134301670011; CARBONATO DE LÍTIO; CARBONATO LITIO; NOT FOUND; 300 MG COM CT BL AL/PLAS TRANS X 25; HPO
1134301670028; CARBONATO DE LÍTIO; CARBONATO LITIO; NOT FOUND; 300 MG COM CT BL AL/PLAS TRANS X 50; HPO
1134301670044; CARBONATO DE LÍTIO; CARBONATO LITIO; NOT FOUND; 300 MG COM CT BL AL/PLAS TRANS X 500 (EMB HOSP); HPO
1134301670036; CARBONATO DE LÍTIO; CARBONATO LITIO; NOT FOUND; 300 MG COM CT BL AL/PLAS TRANS X 60; HPO
1134300960065; CEFALEXOL; CEFALEXOL; NOT FOUND; 50 MG/ML CT FR VD AMB X 100 ML; HPO
1134300960057; CEFALEXOL; CEFALEXOL; NOT FOUND; 50 MG/ML CT FR VD AMB X 60 ML; HPO
1134300960014; CEFALEXOL; CEFALEXOL; NOT FOUND; 500 MG DR CT BL AL PLAS INC X 4; HPO
1134300960022; CEFALEXOL; CEFALEXOL; NOT FOUND; 500 MG DR CT BL AL PLAS INC X 8; HPO
1134300700047; CETOCOL; CETOCOL; NOT FOUND; CREME CART.C/1BG; HPO
1134300700063; CETOCOL; CETOCOL; NOT FOUND; 20 MG/G CR DERM CX 100 BG AL X 30 G (EMB.HOSP); HPO
1134301310013; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G CREM DERM CT BG AL X 30 G ; HPO
1134301310031; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G CREM DERM CX 100 BG AL X 30 G (EMB HOSP) ; HPO
1134301310021; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G CREM DERM CX 50 BG AL X 30 G (EMB HOSP); HPO
1134300700039; CETOCOL; CETOCOL; NOT FOUND; 200 MG COM CT BL AL PVC INC X 500 (EMB HOSP); HPO
1134300700012; CETOCOL; CETOCOL; NOT FOUND; 200 MG COM CT BL AL PVC INC X 20; HPO
1134300700012; CETOCOL; CETOCOL; NOT FOUND; 200MG CX20 CPR; HPO
1134300700081; CETOCOL; CETOCOL; NOT FOUND; 200 MG COM CT BL AL PVC INC X 30; HPO
1134300770118; CIPROFLOXAN; CIPROFLOXAN; NOT FOUND; INJ.100ML CX20; HPO
