1134301820011; ADENOSINA; ADENOSINA; ADENOSINA; 3 MG/ML SOL INJ CT 2 AMP VD AMB X 2 ML (EMB HOSP); HPO
1134301820038; ADENOSINA; ADENOSINA; ADENOSINA; 3 MG/ML SOL INJ CX 100 AMP VD AMB X 2 ML (EMB HOSP); HPO
1134301820021; ADENOSINA; ADENOSINA; ADENOSINA; 3 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML (EMB HOSP); HPO
1134301000065; AMBROXOL; AMBROXOL; AMBROXOL; C/50VD120ML; HPO
1134301000057; AMBROXOL; AMBROXOL; AMBROXOL; CX50VD120ML; HPO
1134300080081; AMICAL; AMICAL; NOT FOUND; 1G CX50 AMPX4ML; HPO
1134300080064; AMICAL; AMICAL; NOT FOUND; 1OOMG CX5O AMPX2ML; HPO
1134300080028; AMICAL; AMICAL; NOT FOUND; 25OMG CX5O AMPX2ML; HPO
1134300080021; AMICAL; AMICAL; NOT FOUND; 5OOMG CX5O AMPX2ML; HPO
1134300020011; AMINOFILINA; AMINOFILINA; AMINOFILINA; 24MG/MLCX1OOAMPX1OML; HPO
1134301180020; AMINOFILINA; AMINOFILINA; AMINOFILINA; 24 MG/ML SOL INJ CX 100 EST AMP VD INC X 10 ML (EMB HOSP); HPO
1134301180012; AMINOFILINA; AMINOFILINA; AMINOFILINA; 24 MG/ML SOL INJ CX 100 AMP VD INC X 10 ML (EMB HOSP) ; HPO
1134300020119; AMINOFILINA; AMINOFILINA; AMINOFILINA; 100MG CX500 CPR; HPO
1134301650019; AMINOFILINA; AMINOFILINA; AMINOFILINA; 100 MG COM CT BL AL PLAS INC X 20  ; HPO
1134301650035; AMINOFILINA; AMINOFILINA; AMINOFILINA; 100 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); HPO
1134301650027; AMINOFILINA; AMINOFILINA; AMINOFILINA; 100 MG COM CX BL AL PLAS INC X 100 (EMB HOSP); HPO
1134300480012; ATROPINON; ATROPINON; NOT FOUND; 0.25 MG/ML SOL INJ CX 100 AMP VD INC X 1 ML (REST. HOSP.); HPO
1134300480020; ATROPINON; ATROPINON; NOT FOUND; 0.5OOMG CX1OO AMPX1ML; HPO
1134300010016; ADREN; ADREN; NOT FOUND; 1 MG/ML  SOL INJ CX 100 AMP VD AMB X 1 ML (EMB HOSP); HPO
1134300800033; ALDOTIL; ALDOTIL; NOT FOUND; 250MG CX500 CPR; HPO
1134300800025; ALDOTIL; ALDOTIL; NOT FOUND; 500MG CX C/30 CPR; HPO
1134300310052; ACETAM; ACETAM; NOT FOUND; 100MG CX200FR 10ML; HPO
1134300310079; ACETAM; ACETAM; NOT FOUND; 200MG/ML FR 15 ML; HPO
1134300310028; ACETAM; ACETAM; NOT FOUND; 500MG CX200 CPR; HPO
1134300310036; ACETAM; ACETAM; NOT FOUND; 750MG CX200 CPR; HPO
ISENTO; AGUA P/ INJECAO; AGUA P INJECAO; NOT FOUND;  CX C/1OOX1OML; HPO
ISENTO; AGUA P/ INJECAO; AGUA P INJECAO; NOT FOUND; CX.C/1OOX5ML; HPO
