505203901110410, GARGOCETIL, GARGOCETIL, NOT FOUND, CX 12 PAST, BNK
505203902133414, GARGOCETIL, GARGOCETIL, NOT FOUND, FR 100 ML LIQUIDO, BNK
505204001113411, GASTROFLAT, GASTROFLAT, NOT FOUND, CX 20 COMP REV, BNK
505204002136415, GASTROFLAT, GASTROFLAT, NOT FOUND, FR 10 ML GOTAS, BNK
505204101118415, GASTROFLAT MAX, GASTROFLAT MAX, NOT FOUND, CX. 1 BLISTER 10 CAPS. GEL, BNK
505204201163412, GELFLEX, GELFLEX, NOT FOUND, TB 45 G, BNK
505204301117412, GEROTREX H3, GEROTREX H3, NOT FOUND, FR 30 DRG, BNK
505204302113410, GEROTREX H3, GEROTREX H3, NOT FOUND, FR 50 DRG, BNK
505204501167413, GINOTARIN, GINOTARIN, NOT FOUND, (MICONAZOL) CREME DERMATOLOGICO TB 28 G, BNK
505204502171414, GINOTARIN, GINOTARIN, NOT FOUND, (MICONAZOL) LOCAO FR 30 ML, BNK
505204503178412, GINOTARIN, GINOTARIN, NOT FOUND, (MICONAZOL) PO FR 30 G, BNK
505204504166418, GINOTARIN, GINOTARIN, NOT FOUND, 20 MG/G CRE VAG CT BG AL X 50 G + APL, BNK
505210201110119, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 1 MG COM CT BL AL PLAS INC X 30, BNK
505210202117117, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 2 MG COM CT BL AL PLAS INC X 30, BNK
505210203113115, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 4 MG COM CT BL AL PLAS INC X 30, BNK
505204701115417, GRIPONIA, GRIPONIA, NOT FOUND, CX 20 DRG, BNK
505204801152411, GRIPONIA INJETÁVEL A & B, GRIPONIA INJETAVEL A B, NOT FOUND, CX 50 A & 50 B, BNK
505203901110410, GARGOCETIL, GARGOCETIL, NOT FOUND, CX 12 PAST, BNK
505203902133414, GARGOCETIL, GARGOCETIL, NOT FOUND, FR 100 ML LIQUIDO, BNK
505204001113411, GASTROFLAT, GASTROFLAT, NOT FOUND, CX 20 COMP REV, BNK
505204002136415, GASTROFLAT, GASTROFLAT, NOT FOUND, FR 10 ML GOTAS, BNK
505204101118415, GASTROFLAT MAX, GASTROFLAT MAX, NOT FOUND, CX. 1 BLISTER 10 CAPS. GEL, BNK
505204201163412, GELFLEX, GELFLEX, NOT FOUND, TB 45 G, BNK
505204501167413, GINOTARIN, GINOTARIN, NOT FOUND, (MICONAZOL) CREME DERMATOLOGICO TB 28 G, BNK
505204502171414, GINOTARIN, GINOTARIN, NOT FOUND, (MICONAZOL) LOCAO FR 30 ML, BNK
505204503178412, GINOTARIN, GINOTARIN, NOT FOUND, (MICONAZOL) PO FR 30 G, BNK
505204504166418, GINOTARIN, GINOTARIN, NOT FOUND, 20 MG/G CRE VAG CT BG AL X 50 G + APL, BNK
505210201110119, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 1 MG COM CT BL AL PLAS INC X 30, BNK
505210202117117, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 2 MG COM CT BL AL PLAS INC X 30, BNK
505210203113115, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 4 MG COM CT BL AL PLAS INC X 30, BNK
505204701115417, GRIPONIA, GRIPONIA, NOT FOUND, CX 20 DRG, BNK
505204801152411, GRIPONIA INJETÁVEL A & B, GRIPONIA INJETAVEL A B, NOT FOUND, CX 50 A & 50 B, BNK
505203901110410, GARGOCETIL, GARGOCETIL, NOT FOUND, CX 12 PAST, BNK
505203902133414, GARGOCETIL, GARGOCETIL, NOT FOUND, FR 100 ML LIQUIDO, BNK
505204001113411, GASTROFLAT, GASTROFLAT, NOT FOUND, CX 20 COMP REV, BNK
505204002136415, GASTROFLAT, GASTROFLAT, NOT FOUND, FR 10 ML GOTAS, BNK
505204101118415, GASTROFLAT MAX, GASTROFLAT MAX, NOT FOUND, CX. 1 BLISTER 10 CAPS. GEL, BNK
505204201163412, GELFLEX, GELFLEX, NOT FOUND, TB 45 G, BNK
505204501167413, GINOTARIN, GINOTARIN, NOT FOUND, (MICONAZOL) CREME DERMATOLOGICO TB 28 G, BNK
505204502171414, GINOTARIN, GINOTARIN, NOT FOUND, (MICONAZOL) LOCAO FR 30 ML, BNK
505204503178412, GINOTARIN, GINOTARIN, NOT FOUND, (MICONAZOL) PO FR 30 G, BNK
