505202401173415, DEOTRIN, DEOTRIN, NOT FOUND, FR 100 ML LOCAO, BNK
505202403176411, DEOTRIN, DEOTRIN, NOT FOUND, FR 100 ML SHAMPOO, BNK
505202402171416, DEOTRIN, DEOTRIN, NOT FOUND, SAB 100 G SABONETE, BNK
505202501178419, DERMICON, DERMICON, NOT FOUND, FR 60 ML, BNK
505202601164411, DERMIZAN, DERMIZAN, NOT FOUND, TB 30 G, BNK
505202702173414, DERMOSALIC, DERMOSALIC, NOT FOUND, FR 30 ML SOLUCAO TOPICA (DIPR.BETAMETASONA+AC.SA, BNK
505202701169413, DERMOSALIC, DERMOSALIC, NOT FOUND, TB 30 G POMADA (DIPR.BETAMETASONA+AC.SALICILICO, BNK
505202801163417, DERMOXIN, DERMOXIN, NOT FOUND, TB 10 G, BNK
505202902113415, DEXAZONA, DEXAZONA, NOT FOUND, CX 10 COMP, BNK
505202904132417, DEXAZONA, DEXAZONA, NOT FOUND, FR 100 ML ELIXIR, BNK
505202905155410, DEXAZONA, DEXAZONA, NOT FOUND, INJETAVEL 2 MG CX 2AMP / 1ML, BNK
505202901133412, DEXAZONA, DEXAZONA, NOT FOUND, SOL FR GOT X 5 ML, BNK
505202903160417, DEXAZONA, DEXAZONA, NOT FOUND, TB 15 G CREME, BNK
505209701131111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, BNK
505209702136117, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, BNK
505203001152419, DIPROBETA, DIPROBETA, NOT FOUND, CX 1 AMP / 1 ML, BNK
505203201119415, DORIDINA, DORIDINA, NOT FOUND, CX. 20 DRG, BNK
505203202131419, DORIDINA, DORIDINA, NOT FOUND, SOL ORAL FR X 15ML GOTAS, BNK
505202401173415, DEOTRIN, DEOTRIN, NOT FOUND, FR 100 ML LOCAO, BNK
505202403176411, DEOTRIN, DEOTRIN, NOT FOUND, FR 100 ML SHAMPOO, BNK
505202402171416, DEOTRIN, DEOTRIN, NOT FOUND, SAB 100 G SABONETE, BNK
505202501178419, DERMICON, DERMICON, NOT FOUND, FR 60 ML, BNK
505202601164411, DERMIZAN, DERMIZAN, NOT FOUND, TB 30 G, BNK
505202702173414, DERMOSALIC, DERMOSALIC, NOT FOUND, FR 30 ML SOLUCAO TOPICA (DIPR.BETAMETASONA+AC.SA, BNK
505202701169413, DERMOSALIC, DERMOSALIC, NOT FOUND, TB 30 G POMADA (DIPR.BETAMETASONA+AC.SALICILICO, BNK
505202801163417, DERMOXIN, DERMOXIN, NOT FOUND, TB 10 G, BNK
505202902113415, DEXAZONA, DEXAZONA, NOT FOUND, CX 10 COMP, BNK
505202904132417, DEXAZONA, DEXAZONA, NOT FOUND, FR 100 ML ELIXIR, BNK
505202905155410, DEXAZONA, DEXAZONA, NOT FOUND, INJETAVEL 2 MG CX 2AMP / 1ML, BNK
505202901133412, DEXAZONA, DEXAZONA, NOT FOUND, SOL FR GOT X 5 ML, BNK
505202903160417, DEXAZONA, DEXAZONA, NOT FOUND, TB 15 G CREME, BNK
505209701131111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, BNK
505209702136117, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, BNK
505203001152419, DIPROBETA, DIPROBETA, NOT FOUND, CX 1 AMP / 1 ML, BNK
505203201119415, DORIDINA, DORIDINA, NOT FOUND, CX. 20 DRG, BNK
505203202131419, DORIDINA, DORIDINA, NOT FOUND, SOL ORAL FR X 15ML GOTAS, BNK
505202401173415, DEOTRIN, DEOTRIN, NOT FOUND, FR 100 ML LOCAO, BNK
505202403176411, DEOTRIN, DEOTRIN, NOT FOUND, FR 100 ML SHAMPOO, BNK
505202402171416, DEOTRIN, DEOTRIN, NOT FOUND, SAB 100 G SABONETE, BNK
505202501178419, DERMICON, DERMICON, NOT FOUND, FR 60 ML, BNK
505202601164411, DERMIZAN, DERMIZAN, NOT FOUND, TB 30 G, BNK
505202702173414, DERMOSALIC, DERMOSALIC, NOT FOUND, FR 30 ML SOLUCAO TOPICA (DIPR.BETAMETASONA+AC.SA, BNK
505202701169413, DERMOSALIC, DERMOSALIC, NOT FOUND, TB 30 G POMADA (DIPR.BETAMETASONA+AC.SALICILICO, BNK
505202801163417, DERMOXIN, DERMOXIN, NOT FOUND, TB 10 G, BNK
505202902113415, DEXAZONA, DEXAZONA, NOT FOUND, CX 10 COMP, BNK
505202904132417, DEXAZONA, DEXAZONA, NOT FOUND, FR 100 ML ELIXIR, BNK
505202905155410, DEXAZONA, DEXAZONA, NOT FOUND, INJETAVEL 2 MG CX 2AMP / 1ML, BNK
505202901133412, DEXAZONA, DEXAZONA, NOT FOUND, SOL FR GOT X 5 ML, BNK
505202903160417, DEXAZONA, DEXAZONA, NOT FOUND, TB 15 G CREME, BNK
505209701131111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, BNK
505209702136117, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, BNK
505203001152419, DIPROBETA, DIPROBETA, NOT FOUND, CX 1 AMP / 1 ML, BNK
505203201119415, DORIDINA, DORIDINA, NOT FOUND, CX. 20 DRG, BNK
505203202131419, DORIDINA, DORIDINA, NOT FOUND, SOL ORAL FR X 15ML GOTAS, BNK
505202401173415, DEOTRIN, DEOTRIN, NOT FOUND, FR 100 ML LOCAO, BNK
505202403176411, DEOTRIN, DEOTRIN, NOT FOUND, FR 100 ML SHAMPOO, BNK
505202402171416, DEOTRIN, DEOTRIN, NOT FOUND, SAB 100 G SABONETE, BNK
505202501178419, DERMICON, DERMICON, NOT FOUND, FR 60 ML, BNK
