1438100140015; PARASIMED; PARASIMED; NOT FOUND; 250MG/ML LOC EMU TOP CT FR VD AMB X 60 ML; CM5
1438100140023; PARASIMED; PARASIMED; NOT FOUND; 100MG/G SAB CT FILME POLIPROPILENO X 60G; CM5
1438101540017; PLAVOM; PLAVOM; NOT FOUND; 4 MG/ML CT FR PLAS OPC GOT X 10 ML; CM5
1438100100048; PROBENXIL; PROBENXIL; NOT FOUND; 15MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML; CM5
1438100100056; PROBENXIL; PROBENXIL; NOT FOUND; 15MG/ML SUS ORAL CT 100 FR PLAS OPC GOT X 20 ML (EMB HOSP); CM5
1438100100013; PROBENXIL; PROBENXIL; NOT FOUND; 50 MG DRG CT BL AL PLAS INC X 10; CM5
1438100100031; PROBENXIL; PROBENXIL; NOT FOUND; 50 MG DRG CT BL AL PLAS INC X 20; CM5
1438100100064; PROBENXIL; PROBENXIL; NOT FOUND; 50 MG DRG CT BL AL PLAS INC X 1000 (EMB HOSP); CM5
1438100100072; PROBENXIL; PROBENXIL; NOT FOUND; 50MG DRG CT BL AL PLAS INC X 500 (EMB HOSP); CM5
1438101060015; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ML CT FR OPC GOT 15 X ML; CM5
1438101230018; PARACETAMOL; PARACETAMOL; PARACETAMOL; 100 MG/ML SUS OR CT FR PLAS OPC X 15 ML + SER DOSAD; CM5
1438101240013; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS LAR X 20; CM5
1438101240021; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS LAR X 200 (EMB MULT); CM5
1438100420069; PEDILETAN; PEDILETAN; NOT FOUND; 10 MG/ML LOC CT FR PLAS OPC X 60ML ; CM5
1438100420034; PEDILETAN; PEDILETAN; NOT FOUND; 10MG/ML CREME CT FR PLAST 60ML; CM5
1438101510010; PIROXICAM; PIROXICAM; PIROXICAM; 20 MG CAP GEL DURA CT BL AL PLAS INC X 10; CM5
1438101510029; PIROXICAM; PIROXICAM; PIROXICAM; 20 MG CAP GEL DURA CT BL AL PLAS INC X 15; CM5
1438100660027; PROPRAMED; PROPRAMED; NOT FOUND; 40 MG COM CT BL AL PLAS INC X 40; CM5
1438100660019; PROPRAMED; PROPRAMED; NOT FOUND; 40 MG COM CT BL AL PLAS INC X 20; CM5
1438100660043; PROPRAMED; PROPRAMED; NOT FOUND; 80 MG COM CT  BL AL PLAS INC X 20; CM5
1438100660035; PROPRAMED; PROPRAMED; NOT FOUND; 40 MG COM CT BL AL PLAS INC X 100 ( EMB HOSP); CM5
