1438101310011; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED; CM5
1438101310021; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED; CM5
1438101310046; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP); CM5
1438101310038; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP); CM5
1438101450018; ACETATO DE DEXAMETASONA; ACETATO DEXAMETASONA; ACETATO DEXAMETASONA; 1.0 MG/G CREM DERM CT BG AL X 10 G; CM5
1438100120014; AMPLAVIT; AMPLAVIT; NOT FOUND; 15MG + 5MG + 5MG DRG X 30; CM5
1438100230014; ACICLOMED; ACICLOMED; NOT FOUND; 50 MG/G CREM DERM CT BG X 10 G; CM5
1438100930016; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50 MG / G CREM DERM CT BG AL X 10 G; CM5
1438100160024; AMOXIMED; AMOXIMED; NOT FOUND; 250 MG/5 ML PO  SUS ORAL CT FR VD AMB X 150 ML; CM5
1438100160040; AMOXIMED; AMOXIMED; NOT FOUND; 500 MG/5 ML PO SUS OR CT FR X 150 ML; CM5
1438100160059; AMOXIMED; AMOXIMED; NOT FOUND; 250 MG/ 5 ML PO SUS ORAL CT 50 FR VD AMB X 150 ML (EMB HOSP); CM5
1438100160032; AMOXIMED; AMOXIMED; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; CM5
1438100160083; AMOXIMED; AMOXIMED; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 630 ( EMB.HOSP); CM5
1438101110012; AMOXICILINA; AMOXICILINA; AMOXICILINA; 50 MG/ML PO P/  SUS OR CT FR VD AMB X 60 ML + CP MED ; CM5
1438101110020; AMOXICILINA; AMOXICILINA; AMOXICILINA; 50 MG/ML PO P/  SUS OR CT FR VD AMB X 150 ML + CP MED; CM5
1438101110063; AMOXICILINA; AMOXICILINA; AMOXICILINA; 100 MG/ML PO P/ SUS OR CT FR VD AMB X 150 ML + CP MED ; CM5
1438101100025; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; CM5
1438100310107; AMBEZETAL; AMBEZETAL; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 6; CM5
1438100310115; AMBEZETAL; AMBEZETAL; NOT FOUND; 500 MG CAP GEL DURA CT 2 BL AL PLAS INC X 6; CM5
1438100720062; AZIMED; AZIMED; NOT FOUND; 900 MG PO SUS OR CT FR PLAS OPC; CM5
1438100720054; AZIMED; AZIMED; NOT FOUND; 600 MG PO SUS OR CT FR PLAS OPC; CM5
1438100720046; AZIMED; AZIMED; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 3; CM5
1438100720070; AZIMED; AZIMED; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 5; CM5
1438101630040; ALIVPRESS; ALIVPRESS; NOT FOUND; 5 MG COM CT BL AL PLAS OPC X 30; CM5
1438101630075; ALIVPRESS; ALIVPRESS; NOT FOUND; 10 MG COM CT BL AL PLAS OPC X 30; CM5
1438100480029; ALGEXIN; ALGEXIN; NOT FOUND; 6.67 MG/ML + 333.4 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML  ; CM5
1438100480010; ALGEXIN; ALGEXIN; NOT FOUND; 250 MG + 10 MG DRG CT X 10; CM5
1438100480061; ALGEXIN COMPOSTO; ALGEXIN COMPOSTO; NOT FOUND; 10 MG + 250 MG DRG CT BL AL PLAS INC X 10 ; CM5
1438100870021; AMBROXMED; AMBROXMED; NOT FOUND; XPE ADU CT FR X 100 ML; CM5
1438100870048; AMBROXMED; AMBROXMED; NOT FOUND; XPE INF CT FR X 100 ML; CM5
1438100870031; AMBROXMED; AMBROXMED; NOT FOUND; XPE INF CT FR X 120 ML; CM5
1438100870013; AMBROXMED; AMBROXMED; NOT FOUND; XPE ADU CT FR X 120 ML; CM5
1438100870110; AMBROXMEL; AMBROXMEL; NOT FOUND; 6 MG/ML XPE ADU CT FR PET AMB X 120 ML (SABOR MEL/EUCALIPTO); CM5
1438100870153; AMBROXMEL; AMBROXMEL; NOT FOUND; 3 MG/ML XPE INF CT FR PET AMB X 120 ML (SABOR MEL); CM5
1438100850020; APMED; APMED; NOT FOUND; XPE CT FR VD AMB X 240 ML; CM5
1438101490011; ALERGOMINE; ALERGOMINE; NOT FOUND; 0.4 MG/ML SOL OR CT FR PLAS AMB X 120 ML + CP MED; CM5
1438101490028; ALERGOMINE; ALERGOMINE; NOT FOUND; 10 MG/G CREM DERM CT BG AL X 30 G; CM5
1438101490036; ALERGOMINE; ALERGOMINE; NOT FOUND; 10 MG/G CREM DERM CT BG AL X 30 G ; CM5
1438100340014; ANSIOTEX; ANSIOTEX; NOT FOUND; 0.1MG XPE CT FR X 120 ML; CM5
ISENTO; ACNEZIL; ACNEZIL; NOT FOUND; 50 MG/ G GEL CT BG AL X 20 G.; CM5
9952626265455; ACNEZIL BASE; ACNEZIL BASE; NOT FOUND; 100 MG/G BG AL X 20 G; CM5
