1438100610011; CALAMED; CALAMED; NOT FOUND; 80 MG/ML + 10 MG/ML + 1 MG/ML LOCAO CT FR PLAS OPC X 100 ML; CM5
1438100610038; CALAMED; CALAMED; NOT FOUND; 80 MG/G + 10 MG/G + 0.9 MG/G SUS AEROSOL FR SPRAY AL OPC X 120 G; CM5
1438100610046; CALAMED; CALAMED; NOT FOUND; 80 MG/G + 10 MG/G + 1 MG/G CREME CT BG AL X 28 G; CM5
1438100130011; CAPTOMED; CAPTOMED; NOT FOUND; 12.5 MG COM CT BL AL PLAS INC X 20; CM5
1438100130036; CAPTOMED; CAPTOMED; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 20; CM5
1438100130052; CAPTOMED; CAPTOMED; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 20; CM5
1438100130117; CAPTOMED; CAPTOMED; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 60; CM5
1438100130028; CAPTOMED; CAPTOMED; NOT FOUND; 12.5 MG COM CT 50 BL AL PLAS INC X 20; CM5
1438100130087; CAPTOMED; CAPTOMED; NOT FOUND; 25 MG COM CT 25 BL AL PLAS INC X 20; CM5
1438100130060; CAPTOMED; CAPTOMED; NOT FOUND; 50 MG COM CT 50 BL AL PLAS INC X 20; CM5
1438101550020; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 30; CM5
1438101550039; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 60; CM5
1438100370029; CARBOCIN; CARBOCIN; NOT FOUND; 20 MG/ML XPE PED CT FR VD AMB; CM5
1438100370010; CARBOCIN; CARBOCIN; NOT FOUND; 50 MG/ML XPE ADULTO CT FR VD; CM5
1438100940011; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 20 MG/ML XPE CT FR VD AMB X 100 ML; CM5
1438100940021; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML XPE CT FR VD AMB X 100 ML; CM5
1438100940046; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML XPE CT FR PLAS AMB X 100 ML ; CM5
1438100940038; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 20 MG/ML XPE CT FR PLAS AMB X 100 ML ; CM5
1438100520012; COLUTOIDE; COLUTOIDE; NOT FOUND; 25 MG/ML + 15 MG/ML + 15 MG/ML SUS OR CT FR VD AMB X 20 ML; CM5
1438101180037; CEFALEXINA; CEFALEXINA; CEFALEXINA; 50 MG/ ML PO P/ SUS OR CT FR VD AMB X 100 ML + CP MED; CM5
1438101130013; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 8; CM5
1438100620017; CEFACIMED; CEFACIMED; NOT FOUND; 250 MG/5 ML PO PREP EXT CT FR VD AMB X 60 ML  ; CM5
1438100620084; CEFACIMED; CEFACIMED; NOT FOUND; 250 MG/5 ML PO PREP EXT CT FR VD AMB X 100 ML ; CM5
1438100620051; CEFACIMED; CEFACIMED; NOT FOUND; 500 MG CAP GEL DURA CT  BL AL PLAS INC X 8 ; CM5
1438100280046; CETOMED; CETOMED; NOT FOUND; 20MG/ML SHP CT FR PLAST X 100 ML; CM5
1438101050011; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/ ML SHAMP CT FR PLAS OPC X 100 ML; CM5
1438101020031; CLEARTOP; CLEARTOP; NOT FOUND; 20 MG/ ML XAMP CT FR PLAS OPC X 100 ML; CM5
1438100280038; CETOMED; CETOMED; NOT FOUND; 20MG/G CREM DERM CT BG X 30G; CM5
1438100830011; CIMECORT; CIMECORT; NOT FOUND; 20 MG /G + 0.64 MG / G + 2.5 MG /G CREM DERM CT BG AL X 30 G; CM5
1438100830038; CIMECORT; CIMECORT; NOT FOUND; 20 MG /G + 0.64 MG / G + 2.5 MG /G CREM DERM CT BG AL X 15 G; CM5
1438100970026; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G CREM DERM CT BG AL X 30 G; CM5
1438101020021; CLEARTOP; CLEARTOP; NOT FOUND; 20 MG/ G CREM CT BG AL X 30 G ; CM5
1438100280021; CETOMED; CETOMED; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 30; CM5
1438100280011; CETOMED; CETOMED; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 10; CM5
1438101420021; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG/G + 0.64 MG/G + 2.5 MG/G CREM DERM CT BG AL X 30 G; CM5
1438100380016; CIMETIDINA; CIMETIDINA; CIMETIDINA; 200 MG CT BL AL PLAST INC X 20; CM5
1438100890014; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CT FR VD AMB X 120 ML ; CM5
1438100890022; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CT FR VD AMB X 120 ML ; CM5
1438100890049; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED ; CM5
1438100890030; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED ; CM5
1438100460060; CIFLOGEX; CIFLOGEX; NOT FOUND; 1.5 MG/ML COLUT FR SPRAY 100 ML; CM5
1438100460109; CIFLOGEX; CIFLOGEX; NOT FOUND; 1.5 MG/ML COLUT FR SPRAY 100 ML-LARANJA; CM5
1438100460044; CIFLOGEX; CIFLOGEX; NOT FOUND; 1.5 MG/MLCOLUT CT FR VD X 100 ML; CM5
1438100460117; CIFLOGEX; CIFLOGEX; NOT FOUND; 1.5 MG/MLCOLUT CT FR VD X 100 ML- LARANJA; CM5
1438100800023; CIFLOGEX; CIFLOGEX; NOT FOUND; 1.5 MG/ML COLUT FR SPR PLAS OPC X 30 ML SABOR MENTA; CM5
1438100800031; CIFLOGEX; CIFLOGEX; NOT FOUND; 1.5 MG/ML COLUT FR SPR PLAS OPC X 30 ML SABOR MEL; CM5
1438100460036; CIFLOGEX; CIFLOGEX; NOT FOUND; 30 MG GEL TOP BG PLAST X 60 G; CM5
1438100460095; CIFLOGEX; CIFLOGEX; NOT FOUND; 3.0 MG PAST CT 3 STR X 12 LIMAO; CM5
1438100460079; CIFLOGEX; CIFLOGEX; NOT FOUND; 3.0 MG PAST CT 3 STR X 4 CEREJA; CM5
1438100460087; CIFLOGEX; CIFLOGEX; NOT FOUND; 3.0 MG PAST CT 3 STR X 4 LARANJA; CM5
1438100460052; CIFLOGEX; CIFLOGEX; NOT FOUND; 3.0 MG PAST CT STR X 12 MENTA; CM5
1438100800211; CIFLOGEX; CIFLOGEX; NOT FOUND; 3MG PAST CT STRIP AL X 12 - DIET; CM5
1438101220020; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 6; CM5
1438101220055; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 14; CM5
1438100960047; CIMEGRIPE DIA; CIMEGRIPE DIA; NOT FOUND; 400 MG COM CT BL PVC/PVDC AL X 12 (BRANCO) + 400 MG + 20 MG COM CT BL PVC/PVDC AL X 12 (AMARELO); CM5
1438100960081; CIMEGRIPE DIA; CIMEGRIPE DIA; NOT FOUND; 400 MG COM CT BL PVC/PVDC AL X 50 (BRANCO) + 400 MG + 20 MG COM CT BL PVC/PVDC AL X 50 (AMARELO); CM5
1438100960128; CIMEGRIPE DIA; CIMEGRIPE DIA; NOT FOUND; 400 MG COM CT BL PVC/PVDC AL X 10 (BRANCO) + 400 MG + 20 MG COM CT BL PVC/PVDC AL X 10 (AMARELO); CM5
1438101400010; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM CT BL AL PLAS INC X 30 ; CM5
1438101620010; CLORIDRATO DE METOCLOPRAMIDA; CLORIDRATO METOCLOPRAMIDA; NOT FOUND; 4 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; CM5
1438101360027; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 40 MG COM CT BL AL PLAS INC X 30; CM5
1438100500011; CIMECARD; CIMECARD; NOT FOUND; 0.25MG COM.CT BL PLAST; CM5
1438100020011; CALCIFLUOL; CALCIFLUOL; NOT FOUND; 6.66MG+10MG+0.166MG CT FR X 300ML; CM5
1438100820016; CELESTAMED; CELESTAMED; NOT FOUND; 0.05 MG + 0.4 MG/ML XPE CT 01 FR VD AMB X 120ML; CM5
1438100590037; CIMELIDE; CIMELIDE; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15; CM5
1438100590061; CIMELIDE; CIMELIDE; NOT FOUND; 20 MG/ G GEL CT BG AL X 40 G; CM5
1438100590053; CIMELIDE; CIMELIDE; NOT FOUND; 20 MG/G GEL CT BG AL X 30 G; CM5
1438100590010; CIMELIDE; CIMELIDE; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 12; CM5
1438100590045; CIMELIDE; CIMELIDE; NOT FOUND; 100 MG COM CX BL AL PLAS INC X 600; CM5
1438100210013; CICONAZOL; CICONAZOL; NOT FOUND; 20 MG/G LOC CT FR PLAS OPC X 30 ML; CM5
1438100210048; CICONAZOL; CICONAZOL; NOT FOUND; 20 MG/G CREM DERM CT BG AL X 28 G; CM5
1438100570044; CIMEGRIPE; CIMEGRIPE; NOT FOUND; 100MG/ML+2MG/ML+2MG/ML SOL OR FR PLAS OPC GOT X 20ML; CM5
1438100570036; CIMEGRIPE; CIMEGRIPE; NOT FOUND; 200MG/5ML+3MG/5ML+3MG/5ML SOL OR FR VD AMB X 100 ML; CM5
1438101090038; CIMEGRIPE 77 C; CIMEGRIPE 77 C; NOT FOUND; 100 MG/G PO PREP EXTEMP CT 50 ENV AL POLIET X 5 G ; CM5
1438101150014; CIMEGRIPE BEBÊ; CIMEGRIPE BEBE; NOT FOUND; 100 MG/ ML SUS OR CT FR PET OPC X 15 ML + SERINGA DOSADORA; CM5
1438101150022; CIMEGRIPE; CIMEGRIPE; NOT FOUND; 32 MG/ML SUS OR CT FR PLAS OPC X 60 ML + CP DOSAD; CM5
1438100570028; CIMEGRIPE; CIMEGRIPE; NOT FOUND; 400MG+4MG+4MG CAPS 10 X 10; CM5
1438100570011; CIMEGRIPE; CIMEGRIPE; NOT FOUND; 400MG+4MG+4MG CAPS X 20; CM5
