1438100040029; MEBENIX; MEBENIX; NOT FOUND; 40MG/ML SUS OR CT FR VD AMB X 10 ML ; CM5
1438100040045; MEBENIX; MEBENIX; NOT FOUND; 40MG/ML SUS OR CT FR PET AMB X 10 ML; CM5
1438100040010; MEBENIX; MEBENIX; NOT FOUND; 200 MG COM CT ENV AL X 2; CM5
1438100040037; MEBENIX; MEBENIX; NOT FOUND; 400 MG COM CT ENV AL X 1 ; CM5
1438100700010; METFORMED; METFORMED; NOT FOUND; 500 MG COM CT  BL AL PLAS INC X 30; CM5
1438100700029; METFORMED; METFORMED; NOT FOUND; 850 MG COM CT BL AL PLAS INC X 30; CM5
1438100700045; METFORMED; METFORMED; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 525; CM5
1438100700037; METFORMED; METFORMED; NOT FOUND; 850 MG COM CT BL AL PLAS INC X 450; CM5
1438100260010; MINAZOL; MINAZOL; NOT FOUND; 50 MG + 50 MG DRG CT BL X 20; CM5
1438100990027; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED; CM5
1438101300016; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CT FR PLAS AMB X 120 ML + CP MED; CM5
1438101500023; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 10 MG/G CREM DERM CT BG AL X 30 G; CM5
1438101440047; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COM CT STRIP AL X 30 ; CM5
1438101440012; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COM CT STRIP AL X 30 ; CM5
1438101070037; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CT FR PET AMB X 30 ML + CP MED; CM5
1438100980013; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 100 MG COM CT BL AL PLAS INC X 6; CM5
1438100980013; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 100 MG COM CT BL AL PLAS INC X 6; CM5
1438101340018; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 100 MG/G GEL CT BG AL X 50 G + 10 APLIC; CM5
