1438100820059; DEXMINE; DEXMINE; NOT FOUND; 0.05 MG/ML + 0.40 MG/ML XPE CT FR PET AMB X 120 ML; CM5
1438100820032; DEXMINE; DEXMINE; NOT FOUND; 0.25MG +2.0MG COM CT 01 BL AL PLAS INC X 20; CM5
1438101530011; DUCODIL; DUCODIL; NOT FOUND; 5 MG COM REV CT BL AL PLAS INC X 20; CM5
1438101000012; DICLOFENACO DIETILAMÔNIO; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; 10 MG/G GEL CT BG AL X 60 G; CM5
1438101580019; DICLOFENACO RESINATO; DICLOFENACO RESINATO; NOT FOUND; 15 MG/ML SUS OR CT FR GOT PLAS OPC X 20 ML; CM5
1438100300047; DIPIMAX; DIPIMAX; NOT FOUND; 500 MG/ML FR PLAST C/ 10ML; CM5
1438100300063; DIPIMAX; DIPIMAX; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; CM5
1438100300012; DIPIMAX; DIPIMAX; NOT FOUND; 500 MG CPR DISPLAY 25X4; CM5
1438101170041; DIPROZIL; DIPROZIL; NOT FOUND; 0.5 MG/G + 1.0 MG/ G CREM DERM CT BG AL X 30 G  ; CM5
1438101270028; DIPROPIONATO DE BETAMETASONA + SULFATO DE GENTAMICINA; DIPROPIONATO BETAMETASONA SULFATO GENTAMICINA; NOT FOUND; 0.5 MG/G + 1.0 MG/G CREM DERM CT BG AL X 30 G; CM5
1438100880019; DIAD; DIAD; NOT FOUND; 0.75 MG COM CT BL AL PLAS INC X 2; CM5
1438100030015; DILTIN; DILTIN; NOT FOUND; 7.5 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; CM5
