1438100220027; EPATIVAN B6; EPATIVAN B6; NOT FOUND; SOL OR CX 10 FLAC PLAS INC X 10 ML; CM5
1438100220051; EPATIVAN B6; EPATIVAN B6; NOT FOUND; SOL OR CT 60 FLAC PLAS INC X 10 ML; CM5
1438100220043; EPATIVAN B6; EPATIVAN B6; NOT FOUND; SOL OR CT 01 FR VD AMB X 240 ML; CM5
1438100220124; EPATIVAN; EPATIVAN; NOT FOUND; 100MG/ML + 50MG/ML + 10MG/ML SOL OR CT 48 FLAC PLAS INC X 10 ML ; CM5
1438100580023; ENALAMED; ENALAMED; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 30; CM5
1438100580031; ENALAMED; ENALAMED; NOT FOUND; 20 MG COM CT BL AL PLAS INC X 30; CM5
1438100580015; ENALAMED; ENALAMED; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 30; CM5
1438100580082; ENALAMED; ENALAMED; NOT FOUND; 10 MG COM CT STRIP AL X 900 (EMB HOSP); CM5
1438100580090; ENALAMED; ENALAMED; NOT FOUND; 20 MG COM CT STRIP AL X 900 (EMB HOSP); CM5
1438100580244; ENALAMED; ENALAMED; NOT FOUND; 20 MG COM CT STRIP AL X 60; CM5
1438100580058; ENALAMED; ENALAMED; NOT FOUND; 10 MG COM CT STRIP AL X 30; CM5
1438100580066; ENALAMED; ENALAMED; NOT FOUND; 20 MG COM CT STRIP AL X 30; CM5
1438100580198; ENALAMED; ENALAMED; NOT FOUND; 20 MG COM CT BL PVC/PVDC AL X 500 (EMB HOSP); CM5
1438100580171; ENALAMED; ENALAMED; NOT FOUND; 10 MG COM CT BL PVC/PVDC AL X 500 (EMB HOSP); CM5
1438100580279; ENALAMED; ENALAMED; NOT FOUND; 5 MG COM CT BL PVC/PVDC AL X 500 (EMB HOSP); CM5
