1438100860018; NEBACIMED; NEBACIMED; NOT FOUND; (5 MG + 250 UI)/G POM DERM CT BG AL X 15 G ; CM5
1438100510068; NEVRALGEX; NEVRALGEX; NOT FOUND; 300 MG + 50 MG + 35 MG COM CT BL AL PLAS AMB X 30; CM5
1438100510076; NEVRALGEX; NEVRALGEX; NOT FOUND; 300 MG + 50 MG + 35 MG COM CT BL AL PLAS AMB X 100; CM5
1438100510017; NEVRALGEX; NEVRALGEX; NOT FOUND; 300 MG + 50 MG + 35 MG COM CT BL AL PLAS INC X 12   ; CM5
1438100510025; NEVRALGEX; NEVRALGEX; NOT FOUND; 300 MG + 50 MG + 35 MG COM CT BL AL PLAS INC X 120 ; CM5
1438100510033; NEVRALGEX; NEVRALGEX; NOT FOUND; 300 MG + 50 MG + 35 MG COM CT BL AL PLAS INC X 100 (EMB HOSP); CM5
1438100510041; NEVRALGEX; NEVRALGEX; NOT FOUND; 300 MG + 50 MG + 35 MG COM CT BL AL PLAS INC X 30; CM5
1438100240011; NARIX; NARIX; NOT FOUND; 0.5 MG/ML SOL NASAL ADULTO CT FR PLAS OPC GOT X 15 ML; CM5
1438100550019; NARIX; NARIX; NOT FOUND; INFANTIL - 9 MG/ML SOL NASAL CT FR PLAS OPC GOT X 30 ML; CM5
1438100240028; NARIX; NARIX; NOT FOUND; 0.5 MG/ML SOL NASAL ADULTO CT FR PLAS OPC GOT X 30 ML ; CM5
1438101520016; NIMESULIDA; NIMESULIDA; NIMESULIDA; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML; CM5
1438101390015; NIMESULIDA; NIMESULIDA; NIMESULIDA; 20 MG/G GEL CT BG AL X 30G ; CM5
1438101010018; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/ G LOCAO CT FR PLAS OPC X 30 ML; CM5
1438101120034; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G CREM DERM CT BG AL X 28 G; CM5
1438100730017; NORFLOXMED; NORFLOXMED; NOT FOUND; 400 MG COM REV CT BL AL PLAS INC X 14; CM5
