508708601161116, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1MG/G + 10MG/G + 10MG/G CREM DERM CT BG AL X 20G, FAS
508708602166111, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1MG/G + 10MG/G + 10MG/G POM DERM CT BG AL X 20G, FAS
508707002114414, VICTRIX, VICTRIX, NOT FOUND, 20MG FR 14 CAPS, FAS
508707004151414, VICTRIX, VICTRIX, NOT FOUND, 40 MG PO LIOF INJ CT FR AMP VD AMB + DIL X 10 ML, FAS
508707302150319, VISIPAQUE, VISIPAQUE, NOT FOUND, 270 MG/ML SOL INJ CT FA VD INC X 100 ML, FAS
508707301154310, VISIPAQUE, VISIPAQUE, NOT FOUND, 270 MG/ML SOL INJ CT FA VD INC X 50 ML, FAS
508707303157317, VISIPAQUE, VISIPAQUE, NOT FOUND, 320 MG/ML SOL INJ CT FA VD INC X 100 ML, FAS
508707304153315, VISIPAQUE, VISIPAQUE, NOT FOUND, 320 MG/ML SOL INJ CT FA VD INC X 50 ML, FAS
508707101171416, VISODIN, VISODIN, NOT FOUND, FR 24 ML, FAS
508708601161116, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1MG/G + 10MG/G + 10MG/G CREM DERM CT BG AL X 20G, FAS
508708602166111, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1MG/G + 10MG/G + 10MG/G POM DERM CT BG AL X 20G, FAS
508707002114414, VICTRIX, VICTRIX, NOT FOUND, 20MG FR 14 CAPS, FAS
508707004151414, VICTRIX, VICTRIX, NOT FOUND, 40 MG PO LIOF INJ CT FR AMP VD AMB + DIL X 10 ML, FAS
508707302150319, VISIPAQUE, VISIPAQUE, NOT FOUND, 270 MG/ML SOL INJ CT FA VD INC X 100 ML, FAS
508707301154310, VISIPAQUE, VISIPAQUE, NOT FOUND, 270 MG/ML SOL INJ CT FA VD INC X 50 ML, FAS
508707303157317, VISIPAQUE, VISIPAQUE, NOT FOUND, 320 MG/ML SOL INJ CT FA VD INC X 100 ML, FAS
508707304153315, VISIPAQUE, VISIPAQUE, NOT FOUND, 320 MG/ML SOL INJ CT FA VD INC X 50 ML, FAS
508707101171416, VISODIN, VISODIN, NOT FOUND, FR 24 ML, FAS
508708601161116, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1MG/G + 10MG/G + 10MG/G CREM DERM CT BG AL X 20G, FAS
508708602166111, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1MG/G + 10MG/G + 10MG/G POM DERM CT BG AL X 20G, FAS
508707002114414, VICTRIX, VICTRIX, NOT FOUND, 20MG FR 14 CAPS, FAS
508707004151414, VICTRIX, VICTRIX, NOT FOUND, 40 MG PO LIOF INJ CT FR AMP VD AMB + DIL X 10 ML, FAS
508707302150319, VISIPAQUE, VISIPAQUE, NOT FOUND, 270 MG/ML SOL INJ CT FA VD INC X 100 ML, FAS
508707301154310, VISIPAQUE, VISIPAQUE, NOT FOUND, 270 MG/ML SOL INJ CT FA VD INC X 50 ML, FAS
508707303157317, VISIPAQUE, VISIPAQUE, NOT FOUND, 320 MG/ML SOL INJ CT FA VD INC X 100 ML, FAS
508707304153315, VISIPAQUE, VISIPAQUE, NOT FOUND, 320 MG/ML SOL INJ CT FA VD INC X 50 ML, FAS
508707101171416, VISODIN, VISODIN, NOT FOUND, FR 24 ML, FAS
508708601161116, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1MG/G + 10MG/G + 10MG/G CREM DERM CT BG AL X 20G, FAS
508708602166111, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1MG/G + 10MG/G + 10MG/G POM DERM CT BG AL X 20G, FAS
508707002114414, VICTRIX, VICTRIX, NOT FOUND, 20MG FR 14 CAPS, FAS
508707004151414, VICTRIX, VICTRIX, NOT FOUND, 40 MG PO LIOF INJ CT FR AMP VD AMB + DIL X 10 ML, FAS
508707302150319, VISIPAQUE, VISIPAQUE, NOT FOUND, 270 MG/ML SOL INJ CT FA VD INC X 100 ML, FAS
508707301154310, VISIPAQUE, VISIPAQUE, NOT FOUND, 270 MG/ML SOL INJ CT FA VD INC X 50 ML, FAS
508707303157317, VISIPAQUE, VISIPAQUE, NOT FOUND, 320 MG/ML SOL INJ CT FA VD INC X 100 ML, FAS
508707304153315, VISIPAQUE, VISIPAQUE, NOT FOUND, 320 MG/ML SOL INJ CT FA VD INC X 50 ML, FAS
508707101171416, VISODIN, VISODIN, NOT FOUND, FR 24 ML, FAS
508708601161116, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1MG/G + 10MG/G + 10MG/G CREM DERM CT BG AL X 20G, FAS
508708602166111, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1MG/G + 10MG/G + 10MG/G POM DERM CT BG AL X 20G, FAS
508707002114414, VICTRIX, VICTRIX, NOT FOUND, 20MG FR 14 CAPS, FAS
508707004151414, VICTRIX, VICTRIX, NOT FOUND, 40 MG PO LIOF INJ CT FR AMP VD AMB + DIL X 10 ML, FAS
508707302150319, VISIPAQUE, VISIPAQUE, NOT FOUND, 270 MG/ML SOL INJ CT FA VD INC X 100 ML, FAS
508707301154310, VISIPAQUE, VISIPAQUE, NOT FOUND, 270 MG/ML SOL INJ CT FA VD INC X 50 ML, FAS
