508709501134115, MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA, MALEATO DEXCLORFENIRAMINA BETAMETASONA, NOT FOUND, 0.4 MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, FAS
508708101116111, MALEATO DE MIDAZOLAM, MALEATO MIDAZOLAM, MALEATO MIDAZOLAM, 15 MG COM REV CT BL AL PLAS INC X 20, FAS
508708102112111, MALEATO DE MIDAZOLAM, MALEATO MIDAZOLAM, MALEATO MIDAZOLAM, 15 MG COM REV CT BL AL PLAS INC X 30, FAS
508708701113318, MAXSULID, MAXSULID, NOT FOUND, 400 MG COM CT BL AL PLAS INC X 10 , FAS
508708201153116, MELOXICAM, MELOXICAM, MELOXICAM, 10 MG/ML SOL INJ CT 5 AMP VD INC X 1.5 ML, FAS
508704301137411, METIOCOLIN, METIOCOLIN, NOT FOUND, 10MG + 50MG + 10MG + 0.5MCG SOL OR CX 100 FLAC X 1, FAS
508704302133411, METIOCOLIN, METIOCOLIN, NOT FOUND, 10MG + 50MG + 10MG + 0.5MCG SOL OR CX 12 FLAC X 10, FAS
508704201116412, METIOCOLIN B 12, METIOCOLIN B 12, NOT FOUND, 100MG + 25MG + 50MG + 2MCG DRG CT 2 BL AL PLAST IN, FAS
508704401115411, MIOFLEX, MIOFLEX, NOT FOUND, 150MG + 300MG + 82.50MG COMP CT 2 BL PAPEL PLAST A, FAS
508704501111416, MIOFLEX A, MIOFLEX A, NOT FOUND, 500MG + 300MG+125MG+30MG COM CT BL AL PLAS INC X 1, FAS
508710401156315, MYOVIEW, MYOVIEW, NOT FOUND, 0.23 MG PO LIOF INJ IV CX 5 FA VD INC 10 ML + 5 SWAB, FAS
508709501134115, MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA, MALEATO DEXCLORFENIRAMINA BETAMETASONA, NOT FOUND, 0.4 MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, FAS
508708101116111, MALEATO DE MIDAZOLAM, MALEATO MIDAZOLAM, MALEATO MIDAZOLAM, 15 MG COM REV CT BL AL PLAS INC X 20, FAS
508708102112111, MALEATO DE MIDAZOLAM, MALEATO MIDAZOLAM, MALEATO MIDAZOLAM, 15 MG COM REV CT BL AL PLAS INC X 30, FAS
508708701113318, MAXSULID, MAXSULID, NOT FOUND, 400 MG COM CT BL AL PLAS INC X 10 , FAS
508708201153116, MELOXICAM, MELOXICAM, MELOXICAM, 10 MG/ML SOL INJ CT 5 AMP VD INC X 1.5 ML, FAS
508704301137411, METIOCOLIN, METIOCOLIN, NOT FOUND, 10MG + 50MG + 10MG + 0.5MCG SOL OR CX 100 FLAC X 1, FAS
508704302133411, METIOCOLIN, METIOCOLIN, NOT FOUND, 10MG + 50MG + 10MG + 0.5MCG SOL OR CX 12 FLAC X 10, FAS
508704201116412, METIOCOLIN B 12, METIOCOLIN B 12, NOT FOUND, 100MG + 25MG + 50MG + 2MCG DRG CT 2 BL AL PLAST IN, FAS
508704401115411, MIOFLEX, MIOFLEX, NOT FOUND, 150MG + 300MG + 82.50MG COMP CT 2 BL PAPEL PLAST A, FAS
508704501111416, MIOFLEX A, MIOFLEX A, NOT FOUND, 500MG + 300MG+125MG+30MG COM CT BL AL PLAS INC X 1, FAS
508710401156315, MYOVIEW, MYOVIEW, NOT FOUND, 0.23 MG PO LIOF INJ IV CX 5 FA VD INC 10 ML + 5 SWAB, FAS
508709501134115, MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA, MALEATO DEXCLORFENIRAMINA BETAMETASONA, NOT FOUND, 0.4 MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, FAS
508708101116111, MALEATO DE MIDAZOLAM, MALEATO MIDAZOLAM, MALEATO MIDAZOLAM, 15 MG COM REV CT BL AL PLAS INC X 20, FAS
508708102112111, MALEATO DE MIDAZOLAM, MALEATO MIDAZOLAM, MALEATO MIDAZOLAM, 15 MG COM REV CT BL AL PLAS INC X 30, FAS
