511205401152113, CEFALOTINA SÓDICA, CEFALOTINA SODICA, CEFALOTINA SODICA, 1 G PO P/ SOL INJ CT 10 FA VD INC + 10 BOLS PP TRANS SIST FECH X 100 ML + CONECTOR (EMB HOSP), H_I
511205402159111, CEFALOTINA SÓDICA, CEFALOTINA SODICA, CEFALOTINA SODICA, 1 G PO P/SOL INJ CT 50 FA VD INC (EMB HOSP) , H_I
511205403155111, CEFALOTINA SÓDICA, CEFALOTINA SODICA, CEFALOTINA SODICA, 1 G PO P/SOL INJ CT 50 FA VD INC + 50 DIL AMP X 10 ML (EMB HOSP), H_I
511205404151118, CEFALOTINA SÓDICA, CEFALOTINA SODICA, CEFALOTINA SODICA, 1 G PO P/SOL INJ CT 50 FA VD INC + 50 DIL AMP X 5 ML (EMB HOSP), H_I
511205405158116, CEFALOTINA SÓDICA, CEFALOTINA SODICA, CEFALOTINA SODICA, 1 G PO P/ SOL INJ CT 10 FA VD INC + 10 BOLS PVC TRANS SIST FECH X 100 ML + CONECTOR (EMB HOSP), H_I
511206901159115, CEFAZOLINA SÓDICA, CEFAZOLINA SODICA, CEFAZOLINA SODICA, 1 G PO INJ CT 50 FA VD INC + 50 AMP DIL X 3 ML (EMB HOSP), H_I
511206902155113, CEFAZOLINA SÓDICA, CEFAZOLINA SODICA, CEFAZOLINA SODICA, 1 G PO INJ CT 10 FA VD INC + 10 BOLS PP TRANS SIST FECH X 100 ML + CONECTOR (EMB HOSP), H_I
511206903151111, CEFAZOLINA SÓDICA, CEFAZOLINA SODICA, CEFAZOLINA SODICA, 1 G PO INJ CT 10 FA VD INC + 10 BOLS PVC TRANS SIST FECH X 100 ML + CONECTOR (EMB HOSP), H_I
511206904158111, CEFAZOLINA SÓDICA, CEFAZOLINA SODICA, CEFAZOLINA SODICA, 1 G PO INJ CT 50 FA VD INC (EMB HOSP), H_I
511206905154118, CEFAZOLINA SÓDICA, CEFAZOLINA SODICA, CEFAZOLINA SODICA, 1 G PO INJ CT 50 FA VD INC + 50 AMP DIL X 10 ML (EMB HOSP), H_I
511206801154111, CEFTAZIDIMA PENTAIDRATADA, CEFTAZIDIMA PENTAIDRATADA, CEFTAZIDIMA PENTAIDRATADA, 1 G PO P SOL INJ IV CT 10 FA VD INC + 10 BOLS PVC TRANS SIST FECH X 100 ML COM CONECTOR (EM HOSP), H_I
511206802150111, CEFTAZIDIMA PENTAIDRATADA, CEFTAZIDIMA PENTAIDRATADA, CEFTAZIDIMA PENTAIDRATADA, 1 G PO P SOL INJ CT 50 FA VD INC + 50 DIL AMP PLAS TRANS X 10 ML (EM HOSP), H_I
511206803157118, CEFTAZIDIMA PENTAIDRATADA, CEFTAZIDIMA PENTAIDRATADA, CEFTAZIDIMA PENTAIDRATADA, 1 G PO P SOL INJ CT 50 FA VD INC + 50 DIL AMP PLAS TRANS X 3 ML (EM HOSP), H_I
511206804153116, CEFTAZIDIMA PENTAIDRATADA, CEFTAZIDIMA PENTAIDRATADA, CEFTAZIDIMA PENTAIDRATADA, 1 G PO P SOL INJ CT 50 FA VD INC (EM HOSP), H_I
511206805151117, CEFTAZIDIMA PENTAIDRATADA, CEFTAZIDIMA PENTAIDRATADA, CEFTAZIDIMA PENTAIDRATADA, 1 G PO P SOL INJ IV CT 10 FA VD INC + 10 BOLS TRILAMINADA PP TRANS SIST FECH X 100ML COM CONECTOR (EM HOSP), H_I
511204701152110, CIPROFLOXACINO, CIPROFLOXACINO, CIPROFLOXACINO, 2 MG/ML SOL INJ IV CT BOLS PVC TRANS X 100 ML (SIST FECH), H_I
511204702159119, CIPROFLOXACINO, CIPROFLOXACINO, CIPROFLOXACINO, 2 MG/ML SOL INJ IV CT BOLS PVC TRANS X 200 ML (SIST FECH), H_I
511200904156411, CLORETO DE POTASSIO HALEX ISTAR, CLORETO POTASSIO HALEX ISTAR, NOT FOUND, 0.10 G/ML SOL INJ IV CX 200 AMP PLAS TRANS X 10 ML, H_I
511212080022903, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 100 MG/ML SOL INJ IV CX 200 AMP PLAS TRANS X 10 ML , H_I
511201001151419, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, AMP 10ML 0.9%, H_I
511201002156414, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, AMP 20ML 0.9%, H_I
511201012151415, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, AMP 10ML 20%, H_I
511201013158413, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, AMP 20ML 20%, H_I
511201014154411, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ IV CX 60 BOLS PVC TRANS SIST FECH X 100 ML + CONECTOR, H_I
511201015150411, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ IV CX 60 BOLS PP TRANS SIST FECH X 100 ML + CONECTOR, H_I
511201102150418, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ IV CX 60 BOLS PVC TRANS SIST FECH X 100 ML, H_I
511205501157419, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ IV CX 60 BOLS PE TRANS SIST FECH X 100 ML  , H_I
511205509158414, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ IV CX 60 BOLS PP TRANS SIST FECH X 100 ML, H_I
511212080023403, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ IV CX 80 BOLS PVC TRANS SIST FECH  X 100 ML (EMB HOSP)  , H_I
511212080023503, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ IV CX 80 BOLS PP TRANS SIST FECH X 100 ML (EMB HOSP)  , H_I
511212080023603, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ IV CX 80 BOLS PE TRANS SIST FECH X 100 ML (EMB HOSP)   , H_I
511214090027503, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 100 ML, H_I
511214090027603, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ IV BOLS PE TRANS SIST FECH X 100 ML, H_I
511214090027703, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ IV BOLS PVC TRANS SIST FECH X 100 ML , H_I
511201101154411, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ IV CX 10 BOLS PVC TRANS SIST FECH X 1000 ML, H_I
