511203502156411, PLASMIN 450/0,7, PLASMIN 450 0 7, NOT FOUND, 60 MG/ML SOL INJ IV CT BOLS PP TRANS SIST FECH X 500ML, H_I
511203501151414, PLASMIN 450/0,7, PLASMIN 450 0 7, NOT FOUND, BOLSA 500ML, H_I
511203602150413, POLISOCEL, POLISOCEL, NOT FOUND, (35 + 8.50 + 0.38 + 0.70)MG/ML SOL INJ IV CT BOLS PLAS TRANS SIST FECH X 500ML, H_I
511203601154415, POLISOCEL, POLISOCEL, NOT FOUND, (35 + 8.50 + 0.38 + 0.70)MG/ML SOL INJ IV CX BOLS PLAS INC X 500ML + EQUIP INFU , H_I
511203603157411, POLISOCEL, POLISOCEL, NOT FOUND, 35 + 8.50 + 0.38 + 0.70)MG/ML SOL INJ IV CT BOLS PLAS TRANS SIST FECH X 500ML + EQUIP INFU, H_I
511203502156411, PLASMIN 450/0,7, PLASMIN 450 0 7, NOT FOUND, 60 MG/ML SOL INJ IV CT BOLS PP TRANS SIST FECH X 500ML, H_I
511203501151414, PLASMIN 450/0,7, PLASMIN 450 0 7, NOT FOUND, BOLSA 500ML, H_I
511203602150413, POLISOCEL, POLISOCEL, NOT FOUND, (35 + 8.50 + 0.38 + 0.70)MG/ML SOL INJ IV CT BOLS PLAS TRANS SIST FECH X 500ML, H_I
511203601154415, POLISOCEL, POLISOCEL, NOT FOUND, (35 + 8.50 + 0.38 + 0.70)MG/ML SOL INJ IV CX BOLS PLAS INC X 500ML + EQUIP INFU , H_I
511203603157411, POLISOCEL, POLISOCEL, NOT FOUND, 35 + 8.50 + 0.38 + 0.70)MG/ML SOL INJ IV CT BOLS PLAS TRANS SIST FECH X 500ML + EQUIP INFU, H_I
511203502156411, PLASMIN 450/0,7, PLASMIN 450 0 7, NOT FOUND, 60 MG/ML SOL INJ IV CT BOLS PP TRANS SIST FECH X 500ML, H_I
511203501151414, PLASMIN 450/0,7, PLASMIN 450 0 7, NOT FOUND, BOLSA 500ML, H_I
511203602150413, POLISOCEL, POLISOCEL, NOT FOUND, (35 + 8.50 + 0.38 + 0.70)MG/ML SOL INJ IV CT BOLS PLAS TRANS SIST FECH X 500ML, H_I
511203601154415, POLISOCEL, POLISOCEL, NOT FOUND, (35 + 8.50 + 0.38 + 0.70)MG/ML SOL INJ IV CX BOLS PLAS INC X 500ML + EQUIP INFU , H_I
511203603157411, POLISOCEL, POLISOCEL, NOT FOUND, 35 + 8.50 + 0.38 + 0.70)MG/ML SOL INJ IV CT BOLS PLAS TRANS SIST FECH X 500ML + EQUIP INFU, H_I
511203502156411, PLASMIN 450/0,7, PLASMIN 450 0 7, NOT FOUND, 60 MG/ML SOL INJ IV CT BOLS PP TRANS SIST FECH X 500ML, H_I
511203501151414, PLASMIN 450/0,7, PLASMIN 450 0 7, NOT FOUND, BOLSA 500ML, H_I
511203602150413, POLISOCEL, POLISOCEL, NOT FOUND, (35 + 8.50 + 0.38 + 0.70)MG/ML SOL INJ IV CT BOLS PLAS TRANS SIST FECH X 500ML, H_I
511203601154415, POLISOCEL, POLISOCEL, NOT FOUND, (35 + 8.50 + 0.38 + 0.70)MG/ML SOL INJ IV CX BOLS PLAS INC X 500ML + EQUIP INFU , H_I
511203603157411, POLISOCEL, POLISOCEL, NOT FOUND, 35 + 8.50 + 0.38 + 0.70)MG/ML SOL INJ IV CT BOLS PLAS TRANS SIST FECH X 500ML + EQUIP INFU, H_I
511203502156411, PLASMIN 450/0,7, PLASMIN 450 0 7, NOT FOUND, 60 MG/ML SOL INJ IV CT BOLS PP TRANS SIST FECH X 500ML, H_I
511203501151414, PLASMIN 450/0,7, PLASMIN 450 0 7, NOT FOUND, BOLSA 500ML, H_I
511203602150413, POLISOCEL, POLISOCEL, NOT FOUND, (35 + 8.50 + 0.38 + 0.70)MG/ML SOL INJ IV CT BOLS PLAS TRANS SIST FECH X 500ML, H_I
511203601154415, POLISOCEL, POLISOCEL, NOT FOUND, (35 + 8.50 + 0.38 + 0.70)MG/ML SOL INJ IV CX BOLS PLAS INC X 500ML + EQUIP INFU , H_I
511203603157411, POLISOCEL, POLISOCEL, NOT FOUND, 35 + 8.50 + 0.38 + 0.70)MG/ML SOL INJ IV CT BOLS PLAS TRANS SIST FECH X 500ML + EQUIP INFU, H_I
511203502156411, PLASMIN 450/0,7, PLASMIN 450 0 7, NOT FOUND, 60 MG/ML SOL INJ IV CT BOLS PP TRANS SIST FECH X 500ML, H_I
511203501151414, PLASMIN 450/0,7, PLASMIN 450 0 7, NOT FOUND, BOLSA 500ML, H_I
511203602150413, POLISOCEL, POLISOCEL, NOT FOUND, (35 + 8.50 + 0.38 + 0.70)MG/ML SOL INJ IV CT BOLS PLAS TRANS SIST FECH X 500ML, H_I
511203601154415, POLISOCEL, POLISOCEL, NOT FOUND, (35 + 8.50 + 0.38 + 0.70)MG/ML SOL INJ IV CX BOLS PLAS INC X 500ML + EQUIP INFU , H_I
511203603157411, POLISOCEL, POLISOCEL, NOT FOUND, 35 + 8.50 + 0.38 + 0.70)MG/ML SOL INJ IV CT BOLS PLAS TRANS SIST FECH X 500ML + EQUIP INFU, H_I
511203502156411, PLASMIN 450/0,7, PLASMIN 450 0 7, NOT FOUND, 60 MG/ML SOL INJ IV CT BOLS PP TRANS SIST FECH X 500ML, H_I
511203501151414, PLASMIN 450/0,7, PLASMIN 450 0 7, NOT FOUND, BOLSA 500ML, H_I
511203602150413, POLISOCEL, POLISOCEL, NOT FOUND, (35 + 8.50 + 0.38 + 0.70)MG/ML SOL INJ IV CT BOLS PLAS TRANS SIST FECH X 500ML, H_I
511203601154415, POLISOCEL, POLISOCEL, NOT FOUND, (35 + 8.50 + 0.38 + 0.70)MG/ML SOL INJ IV CX BOLS PLAS INC X 500ML + EQUIP INFU , H_I
511203603157411, POLISOCEL, POLISOCEL, NOT FOUND, 35 + 8.50 + 0.38 + 0.70)MG/ML SOL INJ IV CT BOLS PLAS TRANS SIST FECH X 500ML + EQUIP INFU, H_I
511203502156411, PLASMIN 450/0,7, PLASMIN 450 0 7, NOT FOUND, 60 MG/ML SOL INJ IV CT BOLS PP TRANS SIST FECH X 500ML, H_I
511203501151414, PLASMIN 450/0,7, PLASMIN 450 0 7, NOT FOUND, BOLSA 500ML, H_I
511203602150413, POLISOCEL, POLISOCEL, NOT FOUND, (35 + 8.50 + 0.38 + 0.70)MG/ML SOL INJ IV CT BOLS PLAS TRANS SIST FECH X 500ML, H_I
511203601154415, POLISOCEL, POLISOCEL, NOT FOUND, (35 + 8.50 + 0.38 + 0.70)MG/ML SOL INJ IV CX BOLS PLAS INC X 500ML + EQUIP INFU , H_I
511203603157411, POLISOCEL, POLISOCEL, NOT FOUND, 35 + 8.50 + 0.38 + 0.70)MG/ML SOL INJ IV CT BOLS PLAS TRANS SIST FECH X 500ML + EQUIP INFU, H_I
511203502156411, PLASMIN 450/0,7, PLASMIN 450 0 7, NOT FOUND, 60 MG/ML SOL INJ IV CT BOLS PP TRANS SIST FECH X 500ML, H_I
511203501151414, PLASMIN 450/0,7, PLASMIN 450 0 7, NOT FOUND, BOLSA 500ML, H_I
511203602150413, POLISOCEL, POLISOCEL, NOT FOUND, (35 + 8.50 + 0.38 + 0.70)MG/ML SOL INJ IV CT BOLS PLAS TRANS SIST FECH X 500ML, H_I
511203601154415, POLISOCEL, POLISOCEL, NOT FOUND, (35 + 8.50 + 0.38 + 0.70)MG/ML SOL INJ IV CX BOLS PLAS INC X 500ML + EQUIP INFU , H_I
511203603157411, POLISOCEL, POLISOCEL, NOT FOUND, 35 + 8.50 + 0.38 + 0.70)MG/ML SOL INJ IV CT BOLS PLAS TRANS SIST FECH X 500ML + EQUIP INFU, H_I
511203602150413, POLISOCEL, POLISOCEL, NOT FOUND, (35 + 8.50 + 0.38 + 0.70)MG/ML SOL INJ IV CT BOLS PLAS TRANS SIST FECH X 500ML, H_I
511203601154415, POLISOCEL, POLISOCEL, NOT FOUND, (35 + 8.50 + 0.38 + 0.70)MG/ML SOL INJ IV CX BOLS PLAS INC X 500ML + EQUIP INFU , H_I
511203603157411, POLISOCEL, POLISOCEL, NOT FOUND, 35 + 8.50 + 0.38 + 0.70)MG/ML SOL INJ IV CT BOLS PLAS TRANS SIST FECH X 500ML + EQUIP INFU, H_I
511203502156411, PLASMIN 450/0,7, PLASMIN 450 0 7, NOT FOUND, 60 MG/ML SOL INJ IV CT BOLS PP TRANS SIST FECH X 500ML, H_I
511203501151414, PLASMIN 450/0,7, PLASMIN 450 0 7, NOT FOUND, BOLSA 500ML, H_I
