503905501116411, RABIODINA, RABIODINA, NOT FOUND, 150MG VER CT 2 BL X 10, BFR
503905502112411, RABIODINA, RABIODINA, NOT FOUND, 300MG VER CT 1 BL X 8, BFR
503903701134417, RIFACIN, RIFACIN, NOT FOUND, 20MG/MLSUSP FR.50ML, BFR
503903702114411, RIFACIN, RIFACIN, NOT FOUND, 300 MG CX 10 CAPS, BFR
503905501116411, RABIODINA, RABIODINA, NOT FOUND, 150MG VER CT 2 BL X 10, BFR
503905502112411, RABIODINA, RABIODINA, NOT FOUND, 300MG VER CT 1 BL X 8, BFR
503903701134417, RIFACIN, RIFACIN, NOT FOUND, 20MG/MLSUSP FR.50ML, BFR
503903702114411, RIFACIN, RIFACIN, NOT FOUND, 300 MG CX 10 CAPS, BFR
503905501116411, RABIODINA, RABIODINA, NOT FOUND, 150MG VER CT 2 BL X 10, BFR
503905502112411, RABIODINA, RABIODINA, NOT FOUND, 300MG VER CT 1 BL X 8, BFR
503903701134417, RIFACIN, RIFACIN, NOT FOUND, 20MG/MLSUSP FR.50ML, BFR
503903702114411, RIFACIN, RIFACIN, NOT FOUND, 300 MG CX 10 CAPS, BFR
503905501116411, RABIODINA, RABIODINA, NOT FOUND, 150MG VER CT 2 BL X 10, BFR
503905502112411, RABIODINA, RABIODINA, NOT FOUND, 300MG VER CT 1 BL X 8, BFR
503903701134417, RIFACIN, RIFACIN, NOT FOUND, 20MG/MLSUSP FR.50ML, BFR
503903702114411, RIFACIN, RIFACIN, NOT FOUND, 300 MG CX 10 CAPS, BFR
503905501116411, RABIODINA, RABIODINA, NOT FOUND, 150MG VER CT 2 BL X 10, BFR
503905502112411, RABIODINA, RABIODINA, NOT FOUND, 300MG VER CT 1 BL X 8, BFR
503903701134417, RIFACIN, RIFACIN, NOT FOUND, 20MG/MLSUSP FR.50ML, BFR
503903702114411, RIFACIN, RIFACIN, NOT FOUND, 300 MG CX 10 CAPS, BFR
503905501116411, RABIODINA, RABIODINA, NOT FOUND, 150MG VER CT 2 BL X 10, BFR
503905502112411, RABIODINA, RABIODINA, NOT FOUND, 300MG VER CT 1 BL X 8, BFR
503903701134417, RIFACIN, RIFACIN, NOT FOUND, 20MG/MLSUSP FR.50ML, BFR
503903702114411, RIFACIN, RIFACIN, NOT FOUND, 300 MG CX 10 CAPS, BFR
503905501116411, RABIODINA, RABIODINA, NOT FOUND, 150MG VER CT 2 BL X 10, BFR
503905502112411, RABIODINA, RABIODINA, NOT FOUND, 300MG VER CT 1 BL X 8, BFR
503903701134417, RIFACIN, RIFACIN, NOT FOUND, 20MG/MLSUSP FR.50ML, BFR
503903702114411, RIFACIN, RIFACIN, NOT FOUND, 300 MG CX 10 CAPS, BFR
503905501116411, RABIODINA, RABIODINA, NOT FOUND, 150MG VER CT 2 BL X 10, BFR
503905502112411, RABIODINA, RABIODINA, NOT FOUND, 300MG VER CT 1 BL X 8, BFR
503903701134417, RIFACIN, RIFACIN, NOT FOUND, 20MG/MLSUSP FR.50ML, BFR
503903702114411, RIFACIN, RIFACIN, NOT FOUND, 300 MG CX 10 CAPS, BFR
503905501116411, RABIODINA, RABIODINA, NOT FOUND, 150MG VER CT 2 BL X 10, BFR
503905502112411, RABIODINA, RABIODINA, NOT FOUND, 300MG VER CT 1 BL X 8, BFR
503903701134417, RIFACIN, RIFACIN, NOT FOUND, 20MG/MLSUSP FR.50ML, BFR
503903702114411, RIFACIN, RIFACIN, NOT FOUND, 300 MG CX 10 CAPS, BFR
503905501116411, RABIODINA, RABIODINA, NOT FOUND, 150 MG VER CT 2 BL X 10, BFR
503905502112411, RABIODINA, RABIODINA, NOT FOUND, 300 MG VER CT 1 BL X 8, BFR
503903701134417, RIFACIN, RIFACIN, NOT FOUND, 20MG/MLSUSP FR.50ML, BFR
503903702114411, RIFACIN, RIFACIN, NOT FOUND, 300 MG CX 10 CAPS, BFR
503905501116411, RABIODINA, RABIODINA, NOT FOUND, 150 MG VER CT 2 BL X 10, BFR
503905502112411, RABIODINA, RABIODINA, NOT FOUND, 300 MG VER CT 1 BL X 8, BFR
503903701134417, RIFACIN, RIFACIN, NOT FOUND, 20MG/MLSUSP FR.50ML, BFR
503903702114411, RIFACIN, RIFACIN, NOT FOUND, 300 MG CX 10 CAPS, BFR
