503900402136413, BIMOXIN, BIMOXIN, NOT FOUND, 250 MG/5ML PO PREP EXTEMP CT FR VD AMB X 150 ML, BFR
503900401131418, BIMOXIN, BIMOXIN, NOT FOUND, 250 MG/5ML PO PREP EXTEMP CT FR VD AMB X 60 ML, BFR
503900403116416, BIMOXIN, BIMOXIN, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 15, BFR
503900404112414, BIMOXIN, BIMOXIN, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 21, BFR
503905001113413, BIOTENOR, BIOTENOR, NOT FOUND, 100 MG COM CT 2 BL AL PLAS INC X 14, BFR
503905003116411, BIOTENOR, BIOTENOR, NOT FOUND, 25 MG COM CT 2 BL AL PLAS INC X 14, BFR
503905002111414, BIOTENOR, BIOTENOR, NOT FOUND, 50 MG COM CT 2 BL AL PLAS INC X 14, BFR
503905101134412, BIOZITROM, BIOZITROM, NOT FOUND, 200 MG/5 ML PO PREP EXT SUS OR CT FR PLAS OPC X 20 ML + DIL FLAC X 9 ML + SER , BFR
503905102130410, BIOZITROM, BIOZITROM, NOT FOUND, 200 MG/5 ML PO PREP EXT SUS OR CT FR PLAS OPC X 30 ML + DIL FLAC X 12 ML + SER, BFR
503905104117411, BIOZITROM, BIOZITROM, NOT FOUND, 500 MG COM REV CT BL AL PVC X 2 , BFR
503905103110413, BIOZITROM, BIOZITROM, NOT FOUND, 500 MG COM REV CT BL AL PVC X 3 , BFR
503900301178412, BENZOLINA, BENZOLINA, NOT FOUND, 100 MG/G SAB CT 1 UNID X 60 G, BFR
503900302174410, BENZOLINA, BENZOLINA, NOT FOUND, 250 MG/ML  EMU TOP CT FR VD AMB X 100 ML, BFR
503900304177417, BENZOLINA, BENZOLINA, NOT FOUND, 250 MG/ML  EMU TOP CT FR VD AMB X 120 ML, BFR
503900303170419, BENZOLINA, BENZOLINA, NOT FOUND, 250 MG/ML  EMU TOP CT FR VD AMB X 60 ML, BFR
503905901165428, BIOGLOS, BIOGLOS, NOT FOUND, 5000UI/G+900UI/G+150MG/GPOMX40G, BFR
503905902161426, BIOGLOS, BIOGLOS, NOT FOUND, 5000UI/G+900UI/G+150MG/GPOM50CX.40G, BFR
503904701138410, BIOCRIN, BIOCRIN, NOT FOUND, SOL ORAL 15ML, BFR
503904901110412, BIOSEMIDE, BIOSEMIDE, NOT FOUND, 40 MG COM CT 2BL AL PVC X 10, BFR
503900501118413, BIODROX, BIODROX, NOT FOUND, 230 MG COM MAST CT 10 STR AL X 10, BFR
503900502130417, BIODROX, BIODROX, NOT FOUND, 230 MG/05 ML SUS OR CT FR VD AMB X 120 ML 01, BFR
503900503137415, BIODROX, BIODROX, NOT FOUND, 230 MG/05 ML SUS OR CT FR VD AMB X 240 ML, BFR
503900701117410, BIOTRAZOL, BIOTRAZOL, NOT FOUND, 100 MG CAP GEL DURA CT BL AL PLAS INC X 10, BFR
503900702113419, BIOTRAZOL, BIOTRAZOL, NOT FOUND, 100 MG CAP GEL DURA CT BL AL PLAS INC X 15 , BFR
503900703111411, BIOTRAZOL, BIOTRAZOL, NOT FOUND, 100 MG CAP GEL DURA CT BL AL PLAS INC X 4, BFR
503904802163410, BIODOL, BIODOL, NOT FOUND, 20 MG CREME DERM X 20G, BFR
503904801167412, BIODOL, BIODOL, NOT FOUND, 20 MG CREME DERM X 28G, BFR
