503904101114413, TELEXIN, TELEXIN, NOT FOUND, 250 MG CAP GEL DURA CX CT 10 BL AL PLAS INC X 10, BFR
503904102110411, TELEXIN, TELEXIN, NOT FOUND, 500 MG CAP GEL DURA CX CT 10 BL AL PLAS INC X 10, BFR
503904201161413, TIZONIL M, TIZONIL M, NOT FOUND, 30 MG + 20 MG/G CREM VAG CT BG AL X 45 G + 7 APLIC, BFR
503904203162417, TIZONIL M, TIZONIL M, NOT FOUND, 30 MG + 20 MG/G CREM VAG CT BG AL X 80 G + 14 APLIC, BFR
503904202166419, TIZONIL M, TIZONIL M, NOT FOUND, 30 MG + 20 MG/G CREM VAG CT BG AL X 40 G + 7 APLIC, BFR
503904302136414, TRIMEZOL, TRIMEZOL, NOT FOUND, 40+8MG/MLSUSFR100ML, BFR
503904303116417, TRIMEZOL, TRIMEZOL, NOT FOUND, 400 MG + 80 MG COM CT 2 BL AL PVC X 10 , BFR
503904301131419, TRIMEZOL, TRIMEZOL, NOT FOUND, 40 MG/ML + 8 MG/ML SUS OR CT FR VD AMB X 50 ML , BFR
503905801111415, TENOBIO, TENOBIO, NOT FOUND, 20 MG COM CT BL AL PLAS INC X 10, BFR
503905802159411, TENOBIO, TENOBIO, NOT FOUND, 20 MG PO LIOF INJ CT 5 FR AMP VD INC + DIL X 2 ML, BFR
503905803155411, TENOBIO, TENOBIO, NOT FOUND, 40 MG PO LIOF INJ CT 5 FR AMP VD INC + DIL X 2 ML, BFR
