503905201112410, CABIOTEN, CABIOTEN, NOT FOUND, 12.5MG CX. C/ 3 BL 10 COMP, BFR
503905204111415, CABIOTEN, CABIOTEN, NOT FOUND, 25MG CX. C/ 16 COMP, BFR
503905202119419, CABIOTEN, CABIOTEN, NOT FOUND, 25MG CX. C/ 28 COMP, BFR
503905203115417, CABIOTEN, CABIOTEN, NOT FOUND, 50MG CX. C/ 28 COMP, BFR
503900901116418, CETOZAZ, CETOZAZ, NOT FOUND, 200MGCOMP 1BLX 10, BFR
503900902112416, CETOZAZ, CETOZAZ, NOT FOUND, 200MGCOMP 3 BL X 10, BFR
503900903119414, CETOZAZ, CETOZAZ, NOT FOUND, 200MGCOMP 50 BL X 10, BFR
503900904166416, CETOZAZ, CETOZAZ, NOT FOUND, 20MG/GCR 50BISNX30G, BFR
503900905162414, CETOZAZ, CETOZAZ, NOT FOUND, 20MG/GCREM BISNX30G, BFR
503901001119419, CIMETETAX, CIMETETAX, NOT FOUND, 200MG COMP 1BLX10, BFR
503901002115417, CIMETETAX, CIMETETAX, NOT FOUND, 200MG COMP 4 BLX10, BFR
503901003111415, CIMETETAX, CIMETETAX, NOT FOUND, 400 MG COMP BL X 16, BFR
503901004118413, CIMETETAX, CIMETETAX, NOT FOUND, 800 MG COMP BL X 8, BFR
503901101113412, CINARIVERT, CINARIVERT, NOT FOUND, 25 MG COMP 3 BLX30, BFR
503901102111413, CINARIVERT, CINARIVERT, NOT FOUND, 25 MG COMP BL X 30, BFR
503901103116419, CINARIVERT, CINARIVERT, NOT FOUND, 75 MG COMP BL X 30, BFR
503901104139412, CINARIVERT, CINARIVERT, NOT FOUND, 75MG/ML SUSP FR15 ML, BFR
503901201118416, CIPROMIZIN, CIPROMIZIN, NOT FOUND, 250MG COMP 1 BLX6, BFR
503901202114414, CIPROMIZIN, CIPROMIZIN, NOT FOUND, 250MG COMP 2 BLX7, BFR
503901203110412, CIPROMIZIN, CIPROMIZIN, NOT FOUND, 500MG COMP 1BL X 6, BFR
503901204117410, CIPROMIZIN, CIPROMIZIN, NOT FOUND, 500MGCOMP 2 BL X 7, BFR
503901301139415, CLABIOSIN, CLABIOSIN, NOT FOUND, 125MG PO P/SUSP OR FR 60ML, BFR
503901302119418, CLABIOSIN, CLABIOSIN, NOT FOUND, 250MG CAIXA 30 COMPRIM, BFR
503901401133419, CLARICINA, CLARICINA, NOT FOUND, 125MG PO FR X 60 ML, BFR
503901402113411, CLARICINA, CLARICINA, NOT FOUND, 250 MG COMP 3BL X10, BFR
503901501138412, CLAV-AIR, CLAV AIR, NOT FOUND, 125+31.25MG FR.75ML, BFR
503901502134410, CLAV-AIR, CLAV AIR, NOT FOUND, 250+62.5MG FR 75 ML, BFR
503901503114413, CLAV-AIR, CLAV AIR, NOT FOUND, 500+125MGCX12COMP, BFR
503901504110411, CLAV-AIR, CLAV AIR, NOT FOUND, 500+125MGCX18COMP, BFR
503901601116410, CLORPROMINI, CLORPROMINI, NOT FOUND, 250 MG COMP 3BL X10, BFR
503901602112419, CLORPROMINI, CLORPROMINI, NOT FOUND, 250MG COMP 10BL X10, BFR
503901701110414, COMBULCER, COMBULCER, NOT FOUND, 20MG 1BLIST X 7 COMP, BFR
503901702117412, COMBULCER, COMBULCER, NOT FOUND, 20MG 2BLIST X 7 COMP, BFR
503901703113410, COMBULCER, COMBULCER, NOT FOUND, 40MG 1BLIST X 7 COMP, BFR
503901704111411, COMBULCER, COMBULCER, NOT FOUND, 40MG 2BLIST X 7 COMP, BFR
503905201112410, CABIOTEN, CABIOTEN, NOT FOUND, 12.5MG CX. C/ 3 BL 10 COMP, BFR
503905204111415, CABIOTEN, CABIOTEN, NOT FOUND, 25MG CX. C/ 16 COMP, BFR
503905202119419, CABIOTEN, CABIOTEN, NOT FOUND, 25MG CX. C/ 28 COMP, BFR
503905203115417, CABIOTEN, CABIOTEN, NOT FOUND, 50MG CX. C/ 28 COMP, BFR
503900901116418, CETOZAZ, CETOZAZ, NOT FOUND, 200MGCOMP 1BLX 10, BFR
503900902112416, CETOZAZ, CETOZAZ, NOT FOUND, 200MGCOMP 3 BL X 10, BFR
503900903119414, CETOZAZ, CETOZAZ, NOT FOUND, 200MGCOMP 50 BL X 10, BFR
503900904166416, CETOZAZ, CETOZAZ, NOT FOUND, 20MG/GCR 50BISNX30G, BFR
503900905162414, CETOZAZ, CETOZAZ, NOT FOUND, 20MG/GCREM BISNX30G, BFR
503901001119419, CIMETETAX, CIMETETAX, NOT FOUND, 200MG COMP 1BLX10, BFR
503901002115417, CIMETETAX, CIMETETAX, NOT FOUND, 200MG COMP 4 BLX10, BFR
503901003111415, CIMETETAX, CIMETETAX, NOT FOUND, 400 MG COMP BL X 16, BFR
503901004118413, CIMETETAX, CIMETETAX, NOT FOUND, 800 MG COMP BL X 8, BFR
503901101113412, CINARIVERT, CINARIVERT, NOT FOUND, 25 MG COMP 3 BLX30, BFR
503901102111413, CINARIVERT, CINARIVERT, NOT FOUND, 25 MG COMP BL X 30, BFR
503901103116419, CINARIVERT, CINARIVERT, NOT FOUND, 75 MG COMP BL X 30, BFR
503901104139412, CINARIVERT, CINARIVERT, NOT FOUND, 75MG/ML SUSP FR15 ML, BFR
503901201118416, CIPROMIZIN, CIPROMIZIN, NOT FOUND, 250MG COMP 1 BLX6, BFR
503901202114414, CIPROMIZIN, CIPROMIZIN, NOT FOUND, 250MG COMP 2 BLX7, BFR
503901203110412, CIPROMIZIN, CIPROMIZIN, NOT FOUND, 500MG COMP 1BL X 6, BFR
503901204117410, CIPROMIZIN, CIPROMIZIN, NOT FOUND, 500MGCOMP 2 BL X 7, BFR
503901301139415, CLABIOSIN, CLABIOSIN, NOT FOUND, 125MG PO P/SUSP OR FR 60ML, BFR
503901302119418, CLABIOSIN, CLABIOSIN, NOT FOUND, 250MG CAIXA 30 COMPRIM, BFR
503901401133419, CLARICINA, CLARICINA, NOT FOUND, 125MG PO FR X 60 ML, BFR
503901402113411, CLARICINA, CLARICINA, NOT FOUND, 250 MG COMP 3BL X10, BFR
503901501138412, CLAV-AIR, CLAV AIR, NOT FOUND, 125+31.25MG FR.75ML, BFR
503901502134410, CLAV-AIR, CLAV AIR, NOT FOUND, 250+62.5MG FR 75 ML, BFR
503901503114413, CLAV-AIR, CLAV AIR, NOT FOUND, 500+125MGCX12COMP, BFR
503901504110411, CLAV-AIR, CLAV AIR, NOT FOUND, 500+125MGCX18COMP, BFR
503901601116410, CLORPROMINI, CLORPROMINI, NOT FOUND, 250 MG COMP 3BL X10, BFR
503901602112419, CLORPROMINI, CLORPROMINI, NOT FOUND, 250MG COMP 10BL X10, BFR
503901701110414, COMBULCER, COMBULCER, NOT FOUND, 20MG 1BLIST X 7 COMP, BFR
503901702117412, COMBULCER, COMBULCER, NOT FOUND, 20MG 2BLIST X 7 COMP, BFR
503901703113410, COMBULCER, COMBULCER, NOT FOUND, 40MG 1BLIST X 7 COMP, BFR
503901704111411, COMBULCER, COMBULCER, NOT FOUND, 40MG 2BLIST X 7 COMP, BFR
503905201112410, CABIOTEN, CABIOTEN, NOT FOUND, 12.5MG CX. C/ 3 BL 10 COMP, BFR
503905204111415, CABIOTEN, CABIOTEN, NOT FOUND, 25MG CX. C/ 16 COMP, BFR
503905202119419, CABIOTEN, CABIOTEN, NOT FOUND, 25MG CX. C/ 28 COMP, BFR
503905203115417, CABIOTEN, CABIOTEN, NOT FOUND, 50MG CX. C/ 28 COMP, BFR
503900901116418, CETOZAZ, CETOZAZ, NOT FOUND, 200MGCOMP 1BLX 10, BFR
503900902112416, CETOZAZ, CETOZAZ, NOT FOUND, 200MGCOMP 3 BL X 10, BFR
503900903119414, CETOZAZ, CETOZAZ, NOT FOUND, 200MGCOMP 50 BL X 10, BFR
503900904166416, CETOZAZ, CETOZAZ, NOT FOUND, 20MG/GCR 50BISNX30G, BFR
503900905162414, CETOZAZ, CETOZAZ, NOT FOUND, 20MG/GCREM BISNX30G, BFR
503901001119419, CIMETETAX, CIMETETAX, NOT FOUND, 200MG COMP 1BLX10, BFR
503901002115417, CIMETETAX, CIMETETAX, NOT FOUND, 200MG COMP 4 BLX10, BFR
503901003111415, CIMETETAX, CIMETETAX, NOT FOUND, 400 MG COMP BL X 16, BFR
503901004118413, CIMETETAX, CIMETETAX, NOT FOUND, 800 MG COMP BL X 8, BFR
503901101113412, CINARIVERT, CINARIVERT, NOT FOUND, 25 MG COMP 3 BLX30, BFR
503901102111413, CINARIVERT, CINARIVERT, NOT FOUND, 25 MG COMP BL X 30, BFR
503901103116419, CINARIVERT, CINARIVERT, NOT FOUND, 75 MG COMP BL X 30, BFR
503901104139412, CINARIVERT, CINARIVERT, NOT FOUND, 75MG/ML SUSP FR15 ML, BFR
503901201118416, CIPROMIZIN, CIPROMIZIN, NOT FOUND, 250MG COMP 1 BLX6, BFR
503901202114414, CIPROMIZIN, CIPROMIZIN, NOT FOUND, 250MG COMP 2 BLX7, BFR
503901203110412, CIPROMIZIN, CIPROMIZIN, NOT FOUND, 500MG COMP 1BL X 6, BFR
503901204117410, CIPROMIZIN, CIPROMIZIN, NOT FOUND, 500MGCOMP 2 BL X 7, BFR
503901301139415, CLABIOSIN, CLABIOSIN, NOT FOUND, 125MG PO P/SUSP OR FR 60ML, BFR
503901302119418, CLABIOSIN, CLABIOSIN, NOT FOUND, 250MG CAIXA 30 COMPRIM, BFR
503901401133419, CLARICINA, CLARICINA, NOT FOUND, 125MG PO FR X 60 ML, BFR
503901402113411, CLARICINA, CLARICINA, NOT FOUND, 250 MG COMP 3BL X10, BFR
503901501138412, CLAV-AIR, CLAV AIR, NOT FOUND, 125+31.25MG FR.75ML, BFR
503901502134410, CLAV-AIR, CLAV AIR, NOT FOUND, 250+62.5MG FR 75 ML, BFR
503901503114413, CLAV-AIR, CLAV AIR, NOT FOUND, 500+125MGCX12COMP, BFR
503901504110411, CLAV-AIR, CLAV AIR, NOT FOUND, 500+125MGCX18COMP, BFR
503901601116410, CLORPROMINI, CLORPROMINI, NOT FOUND, 250 MG COMP 3BL X10, BFR
503901602112419, CLORPROMINI, CLORPROMINI, NOT FOUND, 250MG COMP 10BL X10, BFR
503901701110414, COMBULCER, COMBULCER, NOT FOUND, 20MG 1BLIST X 7 COMP, BFR
503901702117412, COMBULCER, COMBULCER, NOT FOUND, 20MG 2BLIST X 7 COMP, BFR
503901703113410, COMBULCER, COMBULCER, NOT FOUND, 40MG 1BLIST X 7 COMP, BFR
503901704111411, COMBULCER, COMBULCER, NOT FOUND, 40MG 2BLIST X 7 COMP, BFR
503905201112410, CABIOTEN, CABIOTEN, NOT FOUND, 12.5MG CX. C/ 3 BL 10 COMP, BFR
503905204111415, CABIOTEN, CABIOTEN, NOT FOUND, 25MG CX. C/ 16 COMP, BFR
503905202119419, CABIOTEN, CABIOTEN, NOT FOUND, 25MG CX. C/ 28 COMP, BFR
503905203115417, CABIOTEN, CABIOTEN, NOT FOUND, 50MG CX. C/ 28 COMP, BFR
503900901116418, CETOZAZ, CETOZAZ, NOT FOUND, 200MGCOMP 1BLX 10, BFR
503900902112416, CETOZAZ, CETOZAZ, NOT FOUND, 200MGCOMP 3 BL X 10, BFR
503900903119414, CETOZAZ, CETOZAZ, NOT FOUND, 200MGCOMP 50 BL X 10, BFR
503900904166416, CETOZAZ, CETOZAZ, NOT FOUND, 20MG/GCR 50BISNX30G, BFR
503900905162414, CETOZAZ, CETOZAZ, NOT FOUND, 20MG/GCREM BISNX30G, BFR
503901001119419, CIMETETAX, CIMETETAX, NOT FOUND, 200MG COMP 1BLX10, BFR
503901002115417, CIMETETAX, CIMETETAX, NOT FOUND, 200MG COMP 4 BLX10, BFR
503901003111415, CIMETETAX, CIMETETAX, NOT FOUND, 400 MG COMP BL X 16, BFR
503901004118413, CIMETETAX, CIMETETAX, NOT FOUND, 800 MG COMP BL X 8, BFR
503901101113412, CINARIVERT, CINARIVERT, NOT FOUND, 25 MG COMP 3 BLX30, BFR
503901102111413, CINARIVERT, CINARIVERT, NOT FOUND, 25 MG COMP BL X 30, BFR
503901103116419, CINARIVERT, CINARIVERT, NOT FOUND, 75 MG COMP BL X 30, BFR
503901104139412, CINARIVERT, CINARIVERT, NOT FOUND, 75MG/ML SUSP FR15 ML, BFR
503901201118416, CIPROMIZIN, CIPROMIZIN, NOT FOUND, 250MG COMP 1 BLX6, BFR
503901202114414, CIPROMIZIN, CIPROMIZIN, NOT FOUND, 250MG COMP 2 BLX7, BFR
503901203110412, CIPROMIZIN, CIPROMIZIN, NOT FOUND, 500MG COMP 1BL X 6, BFR
503901204117410, CIPROMIZIN, CIPROMIZIN, NOT FOUND, 500MGCOMP 2 BL X 7, BFR
503901301139415, CLABIOSIN, CLABIOSIN, NOT FOUND, 125MG PO P/SUSP OR FR 60ML, BFR
503901302119418, CLABIOSIN, CLABIOSIN, NOT FOUND, 250MG CAIXA 30 COMPRIM, BFR
503901401133419, CLARICINA, CLARICINA, NOT FOUND, 125MG PO FR X 60 ML, BFR
503901402113411, CLARICINA, CLARICINA, NOT FOUND, 250 MG COMP 3BL X10, BFR
503901501138412, CLAV-AIR, CLAV AIR, NOT FOUND, 125+31.25MG FR.75ML, BFR
