503202102153411, HEPATASOL 8% SOLUÇÃO DE AMINOACIDO P/ HEPATOPATIAS 500 ML, HEPATASOL 8 SOLUCAO AMINOACIDO P HEPATOPATIAS 500 ML, NOT FOUND, 8 PCC SOL INJ BOLS PLAS INC X 500 ML, BAX
503202101157413, HEPATASOL 8% SOLUÇÃO DE AMINOACIDO P/ HEPATOPATIAS 500 ML, HEPATASOL 8 SOLUCAO AMINOACIDO P HEPATOPATIAS 500 ML, NOT FOUND, 8 PCC SOL INJ CT FR VD INC X 500 ML (REST HOSP), BAX
503205302153411, HOLOXANE, HOLOXANE, NOT FOUND, 1 G PO PREP EXTEMP INJ CX 10 FA VD INC X 30 ML (REST HOSP), BAX
503205303151410, HOLOXANE, HOLOXANE, NOT FOUND, 2 G PO PREP EXTEMP INJ CX 10 FA VD INC X 50 ML (REST HOSP), BAX
503205301157411, HOLOXANE, HOLOXANE, NOT FOUND, 500 MG PO PREP EXTEMP INJ CX 10 FA VD INC X 20 ML (REST HOSP), BAX
503202102153411, HEPATASOL 8% SOLUÇÃO DE AMINOACIDO P/ HEPATOPATIAS 500 ML, HEPATASOL 8 SOLUCAO AMINOACIDO P HEPATOPATIAS 500 ML, NOT FOUND, 8 PCC SOL INJ BOLS PLAS INC X 500 ML, BAX
503202101157413, HEPATASOL 8% SOLUÇÃO DE AMINOACIDO P/ HEPATOPATIAS 500 ML, HEPATASOL 8 SOLUCAO AMINOACIDO P HEPATOPATIAS 500 ML, NOT FOUND, 8 PCC SOL INJ CT FR VD INC X 500 ML (REST HOSP), BAX
503205302153411, HOLOXANE, HOLOXANE, NOT FOUND, 1 G PO PREP EXTEMP INJ CX 10 FA VD INC X 30 ML (REST HOSP), BAX
503205303151410, HOLOXANE, HOLOXANE, NOT FOUND, 2 G PO PREP EXTEMP INJ CX 10 FA VD INC X 50 ML (REST HOSP), BAX
503205301157411, HOLOXANE, HOLOXANE, NOT FOUND, 500 MG PO PREP EXTEMP INJ CX 10 FA VD INC X 20 ML (REST HOSP), BAX
503202102153411, HEPATASOL 8% SOLUÇÃO DE AMINOACIDO P/ HEPATOPATIAS 500 ML, HEPATASOL 8 SOLUCAO AMINOACIDO P HEPATOPATIAS 500 ML, NOT FOUND, 8 PCC SOL INJ BOLS PLAS INC X 500 ML, BAX
503202101157413, HEPATASOL 8% SOLUÇÃO DE AMINOACIDO P/ HEPATOPATIAS 500 ML, HEPATASOL 8 SOLUCAO AMINOACIDO P HEPATOPATIAS 500 ML, NOT FOUND, 8 PCC SOL INJ CT FR VD INC X 500 ML (REST HOSP), BAX
503205302153411, HOLOXANE, HOLOXANE, NOT FOUND, 1 G PO PREP EXTEMP INJ CX 10 FA VD INC X 30 ML (REST HOSP), BAX
503205303151410, HOLOXANE, HOLOXANE, NOT FOUND, 2 G PO PREP EXTEMP INJ CX 10 FA VD INC X 50 ML (REST HOSP), BAX
503205301157411, HOLOXANE, HOLOXANE, NOT FOUND, 500 MG PO PREP EXTEMP INJ CX 10 FA VD INC X 20 ML (REST HOSP), BAX
503202102153411, HEPATASOL 8% SOLUÇÃO DE AMINOACIDO P/ HEPATOPATIAS 500 ML, HEPATASOL 8 SOLUCAO AMINOACIDO P HEPATOPATIAS 500 ML, NOT FOUND, 8 PCC SOL INJ BOLS PLAS INC X 500 ML, BAX
503202101157413, HEPATASOL 8% SOLUÇÃO DE AMINOACIDO P/ HEPATOPATIAS 500 ML, HEPATASOL 8 SOLUCAO AMINOACIDO P HEPATOPATIAS 500 ML, NOT FOUND, 8 PCC SOL INJ CT FR VD INC X 500 ML (REST HOSP), BAX
503205302153411, HOLOXANE, HOLOXANE, NOT FOUND, 1 G PO PREP EXTEMP INJ CX 10 FA VD INC X 30 ML (REST HOSP), BAX
503205303151410, HOLOXANE, HOLOXANE, NOT FOUND, 2 G PO PREP EXTEMP INJ CX 10 FA VD INC X 50 ML (REST HOSP), BAX
503205301157411, HOLOXANE, HOLOXANE, NOT FOUND, 500 MG PO PREP EXTEMP INJ CX 10 FA VD INC X 20 ML (REST HOSP), BAX
503202102153411, HEPATASOL 8% SOLUÇÃO DE AMINOACIDO P/ HEPATOPATIAS 500 ML, HEPATASOL 8 SOLUCAO AMINOACIDO P HEPATOPATIAS 500 ML, NOT FOUND, 8 PCC SOL INJ BOLS PLAS INC X 500 ML, BAX
503202101157413, HEPATASOL 8% SOLUÇÃO DE AMINOACIDO P/ HEPATOPATIAS 500 ML, HEPATASOL 8 SOLUCAO AMINOACIDO P HEPATOPATIAS 500 ML, NOT FOUND, 8 PCC SOL INJ CT FR VD INC X 500 ML (REST HOSP), BAX
503205302153411, HOLOXANE, HOLOXANE, NOT FOUND, 1 G PO PREP EXTEMP INJ CX 10 FA VD INC X 30 ML (REST HOSP), BAX
503205303151410, HOLOXANE, HOLOXANE, NOT FOUND, 2 G PO PREP EXTEMP INJ CX 10 FA VD INC X 50 ML (REST HOSP), BAX
503205301157411, HOLOXANE, HOLOXANE, NOT FOUND, 500 MG PO PREP EXTEMP INJ CX 10 FA VD INC X 20 ML (REST HOSP), BAX
503205302153411, HOLOXANE, HOLOXANE, NOT FOUND, 1 G PO PREP EXTEMP INJ CX 10 FA VD INC X 30 ML (REST HOSP), BAX
503205303151410, HOLOXANE, HOLOXANE, NOT FOUND, 2 G PO PREP EXTEMP INJ CX 10 FA VD INC X 50 ML (REST HOSP), BAX
503205301157411, HOLOXANE, HOLOXANE, NOT FOUND, 500 MG PO PREP EXTEMP INJ CX 10 FA VD INC X 20 ML (REST HOSP), BAX
503205302153411, HOLOXANE, HOLOXANE, NOT FOUND, 1 G PO PREP EXTEMP INJ CX 10 FA VD INC X 30 ML (REST HOSP), BAX
503205303151410, HOLOXANE, HOLOXANE, NOT FOUND, 2 G PO PREP EXTEMP INJ CX 10 FA VD INC X 50 ML (REST HOSP), BAX
503205301157411, HOLOXANE, HOLOXANE, NOT FOUND, 500 MG PO PREP EXTEMP INJ CX 10 FA VD INC X 20 ML (REST HOSP), BAX
503205302153411, HOLOXANE, HOLOXANE, NOT FOUND, 1 G PO PREP EXTEMP INJ CX 10 FA VD INC X 30 ML (REST HOSP), BAX
503205303151410, HOLOXANE, HOLOXANE, NOT FOUND, 2 G PO PREP EXTEMP INJ CX 10 FA VD INC X 50 ML (REST HOSP), BAX
503205301157411, HOLOXANE, HOLOXANE, NOT FOUND, 500 MG PO PREP EXTEMP INJ CX 10 FA VD INC X 20 ML (REST HOSP), BAX
503205302153411, HOLOXANE, HOLOXANE, NOT FOUND, 1 G PO PREP EXTEMP INJ CX 10 FA VD INC X 30 ML (REST HOSP), BAX
503205303151410, HOLOXANE, HOLOXANE, NOT FOUND, 2 G PO PREP EXTEMP INJ CX 10 FA VD INC X 50 ML (REST HOSP), BAX
503205301157411, HOLOXANE, HOLOXANE, NOT FOUND, 500 MG PO PREP EXTEMP INJ CX 10 FA VD INC X 20 ML (REST HOSP), BAX
503207002157416, HEMOFIL M , HEMOFIL M, NOT FOUND, 1000 UI SOL INJ CT FA VD INC + SOL DIL FA VD INC X 10 ML + CONJ REC E INJ, BAX
503207001150418, HEMOFIL M , HEMOFIL M, NOT FOUND, 250 UI SOL INJ CT FA VD INC+ SOL DIL FA VD INC X 10 ML + CONJ REC E INJ, BAX
503207003153414, HEMOFIL M , HEMOFIL M, NOT FOUND, 500 UI SOL INJ CT FA VD INC + SOL DIL FA VD INC X 10 ML + CONJ REC E INJ, BAX
503205302153411, HOLOXANE, HOLOXANE, NOT FOUND, 1 G PO PREP EXTEMP INJ CX 10 FA VD INC X 30 ML, BAX
503205303151410, HOLOXANE, HOLOXANE, NOT FOUND, 2 G PO PREP EXTEMP INJ CX 10 FA VD INC X 50 ML, BAX
503205301157411, HOLOXANE, HOLOXANE, NOT FOUND, 500 MG PO PREP EXTEMP INJ CX 10 FA VD INC X 20 ML, BAX
503207002157416, HEMOFIL M , HEMOFIL M, NOT FOUND, 1000 UI SOL INJ CT FA VD INC + SOL DIL FA VD INC X 10 ML + CONJ REC E INJ, BAX
503207001150418, HEMOFIL M , HEMOFIL M, NOT FOUND, 250 UI SOL INJ CT FA VD INC+ SOL DIL FA VD INC X 10 ML + CONJ REC E INJ, BAX
503207003153414, HEMOFIL M , HEMOFIL M, NOT FOUND, 500 UI SOL INJ CT FA VD INC + SOL DIL FA VD INC X 10 ML + CONJ REC E INJ, BAX
503205302153411, HOLOXANE, HOLOXANE, NOT FOUND, 1 G PO PREP EXTEMP INJ CX 10 FA VD INC X 30 ML, BAX
503205303151410, HOLOXANE, HOLOXANE, NOT FOUND, 2 G PO PREP EXTEMP INJ CX 10 FA VD INC X 50 ML, BAX
503205301157411, HOLOXANE, HOLOXANE, NOT FOUND, 500 MG PO PREP EXTEMP INJ CX 10 FA VD INC X 20 ML, BAX
