503205201152418, GENUXAL, GENUXAL, NOT FOUND, 1000 MG PO PREP EXTEMP INJ CX 10 FA VD INC X 75 ML (REST HOSP), BAX
503205202159416, GENUXAL, GENUXAL, NOT FOUND, 200 MG PO PREP EXTEMP INJ CX 10 FA VD INC X 20 ML (REST HOSP), BAX
503201901151411, GLICINA, GLICINA, GLICINA, 1.5 PCC SOL IRRIG CX BOLSA PLAS INC X 3000 ML, BAX
503205501113418, GYNODAL, GYNODAL, NOT FOUND, 160 MG COM CT BL AL PLAS INC X 30, BAX
503205201152418, GENUXAL, GENUXAL, NOT FOUND, 1000 MG PO PREP EXTEMP INJ CX 10 FA VD INC X 75 ML (REST HOSP), BAX
503205202159416, GENUXAL, GENUXAL, NOT FOUND, 200 MG PO PREP EXTEMP INJ CX 10 FA VD INC X 20 ML (REST HOSP), BAX
503201901151411, GLICINA, GLICINA, GLICINA, 1.5 PCC SOL IRRIG CX BOLSA PLAS INC X 3000 ML, BAX
503205501113418, GYNODAL, GYNODAL, NOT FOUND, 160 MG COM CT BL AL PLAS INC X 30, BAX
503205201152418, GENUXAL, GENUXAL, NOT FOUND, 1000 MG PO PREP EXTEMP INJ CX 10 FA VD INC X 75 ML (REST HOSP), BAX
503205202159416, GENUXAL, GENUXAL, NOT FOUND, 200 MG PO PREP EXTEMP INJ CX 10 FA VD INC X 20 ML (REST HOSP), BAX
503201901151411, GLICINA, GLICINA, GLICINA, 1.5 PCC SOL IRRIG CX BOLSA PLAS INC X 3000 ML, BAX
503205501113418, GYNODAL, GYNODAL, NOT FOUND, 160 MG COM CT BL AL PLAS INC X 30, BAX
503205201152418, GENUXAL, GENUXAL, NOT FOUND, 1000 MG PO PREP EXTEMP INJ CX 10 FA VD INC X 75 ML (REST HOSP), BAX
503205202159416, GENUXAL, GENUXAL, NOT FOUND, 200 MG PO PREP EXTEMP INJ CX 10 FA VD INC X 20 ML (REST HOSP), BAX
503201901151411, GLICINA, GLICINA, GLICINA, 1.5 PCC SOL IRRIG CX BOLSA PLAS INC X 3000 ML, BAX
503205501113418, GYNODAL, GYNODAL, NOT FOUND, 160 MG COM CT BL AL PLAS INC X 30, BAX
503205201152418, GENUXAL, GENUXAL, NOT FOUND, 1000 MG PO PREP EXTEMP INJ CX 10 FA VD INC X 75 ML (REST HOSP), BAX
503205202159416, GENUXAL, GENUXAL, NOT FOUND, 200 MG PO PREP EXTEMP INJ CX 10 FA VD INC X 20 ML (REST HOSP), BAX
503201901151411, GLICINA, GLICINA, GLICINA, 1.5 PCC SOL IRRIG CX BOLSA PLAS INC X 3000 ML, BAX
503205501113418, GYNODAL, GYNODAL, NOT FOUND, 160 MG COM CT BL AL PLAS INC X 30, BAX
503205201152418, GENUXAL, GENUXAL, NOT FOUND, 1000 MG PO PREP EXTEMP INJ CX 10 FA VD INC X 75 ML (REST HOSP), BAX
503205202159416, GENUXAL, GENUXAL, NOT FOUND, 200 MG PO PREP EXTEMP INJ CX 10 FA VD INC X 20 ML (REST HOSP), BAX
503201901151411, GLICINA, GLICINA, GLICINA, 1.5 PCC SOL IRRIG CX BOLSA PLAS INC X 3000 ML, BAX
503205501113418, GYNODAL, GYNODAL, NOT FOUND, 160 MG COM CT BL AL PLAS INC X 30, BAX
503205201152418, GENUXAL, GENUXAL, NOT FOUND, 1000 MG PO PREP EXTEMP INJ CX 10 FA VD INC X 75 ML (REST HOSP), BAX
503205202159416, GENUXAL, GENUXAL, NOT FOUND, 200 MG PO PREP EXTEMP INJ CX 10 FA VD INC X 20 ML (REST HOSP), BAX
503201901151411, GLICINA, GLICINA, GLICINA, 1.5 PCC SOL IRRIG CX BOLSA PLAS INC X 3000 ML, BAX
503205501113418, GYNODAL, GYNODAL, NOT FOUND, 160 MG COM CT BL AL PLAS INC X 30, BAX
503205201152418, GENUXAL, GENUXAL, NOT FOUND, 1000 MG PO PREP EXTEMP INJ CX 10 FA VD INC X 75 ML (REST HOSP), BAX
503205202159416, GENUXAL, GENUXAL, NOT FOUND, 200 MG PO PREP EXTEMP INJ CX 10 FA VD INC X 20 ML (REST HOSP), BAX
503201901151411, GLICINA, GLICINA, GLICINA, 1.5 PCC SOL IRRIG CX BOLSA PLAS INC X 3000 ML, BAX
503205501113418, GYNODAL, GYNODAL, NOT FOUND, 160 MG COM CT BL AL PLAS INC X 30, BAX
503205201152418, GENUXAL, GENUXAL, NOT FOUND, 1000 MG PO PREP EXTEMP INJ CX 10 FA VD INC X 75 ML (REST HOSP), BAX
503205202159416, GENUXAL, GENUXAL, NOT FOUND, 200 MG PO PREP EXTEMP INJ CX 10 FA VD INC X 20 ML (REST HOSP), BAX
503201901151411, GLICINA, GLICINA, GLICINA, 1.5 PCC SOL IRRIG CX BOLSA PLAS INC X 3000 ML, BAX
503205501113418, GYNODAL, GYNODAL, NOT FOUND, 160 MG COM CT BL AL PLAS INC X 30, BAX
503205201152418, GENUXAL, GENUXAL, NOT FOUND, 1000 MG PO PREP EXTEMP INJ CX 10 FA VD INC X 75 ML (REST HOSP), BAX
503205202159416, GENUXAL, GENUXAL, NOT FOUND, 200 MG PO PREP EXTEMP INJ CX 10 FA VD INC X 20 ML (REST HOSP), BAX
503205201152418, GENUXAL, GENUXAL, NOT FOUND, 1000 MG PO PREP EXTEMP INJ CX 10 FA VD INC X 75 ML (REST HOSP), BAX
503205202159416, GENUXAL, GENUXAL, NOT FOUND, 200 MG PO PREP EXTEMP INJ CX 10 FA VD INC X 20 ML (REST HOSP), BAX
