503200501158313, CLINOLEIC, CLINOLEIC, NOT FOUND, 20% EMUL INJ CX FR VD INC 100 ML, BAX
503200502154311, CLINOLEIC, CLINOLEIC, NOT FOUND, 20% EMUL INJ CX FR VD INC 1000 ML, BAX
503200503150311, CLINOLEIC, CLINOLEIC, NOT FOUND, 20% EMUL INJ CX FR VD INC 250 ML, BAX
503200504157318, CLINOLEIC, CLINOLEIC, NOT FOUND, 20% EMUL INJ CX FR VD INC 500 ML, BAX
503200505153316, CLINOLEIC, CLINOLEIC, NOT FOUND, 200 MG/ML EMU INJ IV CX BOLS PLAS INC X 100 ML , BAX
503200506151317, CLINOLEIC, CLINOLEIC, NOT FOUND, 200 MG/ML EMU INJ IV CX BOLS PLAS INC X 1000 ML , BAX
503200507156312, CLINOLEIC, CLINOLEIC, NOT FOUND, 200 MG/ML EMU INJ IV CX BOLS PLAS INC X 250 ML , BAX
503200508152310, CLINOLEIC, CLINOLEIC, NOT FOUND, 200 MG/ML EMU INJ IV CX BOLS PLAS INC X 500 ML , BAX
503205806151410, CLORETO DE SÓDIO - BAXTER, CLORETO SODIO BAXTER, NOT FOUND, 9 MG/ML SOL INJ BOLS PVC INC SIST FECH X 100 ML + CONECTOR, BAX
503205807158419, CLORETO DE SÓDIO - BAXTER, CLORETO SODIO BAXTER, NOT FOUND, 9 MG/ML SOL INJ BOLS PVC INC SIST FECH X 11O ML + CONECTOR, BAX
503205801151412, CLORETO DE SÓDIO - BAXTER, CLORETO SODIO BAXTER, NOT FOUND, 9 MG/ML SOL INJ IV BOLS PVC INC SIST FECH X 100 ML, BAX
503205802156418, CLORETO DE SÓDIO - BAXTER, CLORETO SODIO BAXTER, NOT FOUND, 9 MG/ML SOL INJ IV BOLS PVC INC SIST FECH X 1000 ML, BAX
503205803152416, CLORETO DE SÓDIO - BAXTER, CLORETO SODIO BAXTER, NOT FOUND, 9 MG/ML SOL INJ IV BOLS PVC INC SIST FECH X 250 ML, BAX
503205804159414, CLORETO DE SÓDIO - BAXTER, CLORETO SODIO BAXTER, NOT FOUND, 9 MG/ML SOL INJ IV BOLS PVC INC SIST FECH X 50 ML, BAX
503205805155412, CLORETO DE SÓDIO - BAXTER, CLORETO SODIO BAXTER, NOT FOUND, 9 MG/ML SOL INJ IV BOLS PVC INC SIST FECH X 500 ML, BAX
503200501158313, CLINOLEIC, CLINOLEIC, NOT FOUND, 20% EMUL INJ CX FR VD INC 100 ML, BAX
503200502154311, CLINOLEIC, CLINOLEIC, NOT FOUND, 20% EMUL INJ CX FR VD INC 1000 ML, BAX
503200503150311, CLINOLEIC, CLINOLEIC, NOT FOUND, 20% EMUL INJ CX FR VD INC 250 ML, BAX
503200504157318, CLINOLEIC, CLINOLEIC, NOT FOUND, 20% EMUL INJ CX FR VD INC 500 ML, BAX
503200505153316, CLINOLEIC, CLINOLEIC, NOT FOUND, 200 MG/ML EMU INJ IV CX BOLS PLAS INC X 100 ML , BAX
503200506151317, CLINOLEIC, CLINOLEIC, NOT FOUND, 200 MG/ML EMU INJ IV CX BOLS PLAS INC X 1000 ML , BAX
503200507156312, CLINOLEIC, CLINOLEIC, NOT FOUND, 200 MG/ML EMU INJ IV CX BOLS PLAS INC X 250 ML , BAX
503200508152310, CLINOLEIC, CLINOLEIC, NOT FOUND, 200 MG/ML EMU INJ IV CX BOLS PLAS INC X 500 ML , BAX
503205806151410, CLORETO DE SÓDIO - BAXTER, CLORETO SODIO BAXTER, NOT FOUND, 9 MG/ML SOL INJ BOLS PVC INC SIST FECH X 100 ML + CONECTOR, BAX
503205807158419, CLORETO DE SÓDIO - BAXTER, CLORETO SODIO BAXTER, NOT FOUND, 9 MG/ML SOL INJ BOLS PVC INC SIST FECH X 11O ML + CONECTOR, BAX
