47562, PANTEVIT , PANTEVIT, NOT FOUND, SOLN 150 ML x 1, E3S
70011, PANTEVIT , PANTEVIT, NOT FOUND, SH.NORMAIS 200 ML x 1, E3S
70012, PANTEVIT , PANTEVIT, NOT FOUND, SH.SECOS 200 ML x 1, E3S
70013, PANTEVIT , PANTEVIT, NOT FOUND, SH.OLEOSOS 200 ML x 1, E3S
63784, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 40 MG x 28, E3S
63785, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 20 MG x 28, E3S
144132, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 40 MG x 42, E3S
140253, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 20 MG x 42, E3S
62272, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 40 MG x 14, E3S
62271, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 20 MG x 14, E3S
63162, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 40 MG x 7, E3S
63163, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 20 MG x 7, E3S
69704, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 40 MG x 60, E3S
73574, PARACET+CAFEINA MG , PARACET CAFEINA, NOT FOUND, CPR REVEST x 20, E3S
73130, PARACETA+PSEUDO MG , PARACETA PSEUDO, NOT FOUND, CPR REVEST 500 MG x 24 (/30), E3S
58773, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 750 MG x 20, E3S
59104, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 750 MG x 200, E3S
57160, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, GOTAS 200 MG 15 ML x 1 (/ML), E3S
71478, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, GOTAS BEBE 100 MG 15 ML x 1 (/ML), E3S
69785, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR REVEST 500 MG x 200, E3S
69784, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR REVEST 500 MG x 100, E3S
67986, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, SACH.MEL/LIM 5 G x 50, E3S
71479, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, SACH.MEL/LIM 500 MG 5 G x 25, E3S
70877, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, SUSP CRIANCA 32 MG 60 ML x 1 (/ML), E3S
105446, PATZ SL , PATZ SL, NOT FOUND, CPR SL 5 MG x 30, E3S
92358, PATZ SL , PATZ SL, NOT FOUND, CPR SL 5 MG x 20, E3S
70618, PENTOXIFILINA MG , PENTOXIFILINA, PENTOXIFILINA, CPR REVEST 400 MG x 30, E3S
57786, PENTOXIFILINA MG , PENTOXIFILINA, PENTOXIFILINA, CPR REVEST 400 MG x 20, E3S
71582, PENTOXIFILINA MG , PENTOXIFILINA, PENTOXIFILINA, CPR REVEST 400 MG x 60, E3S
55391, PENVIR , PENVIR, NOT FOUND, CPR REVEST 125 MG x 10, E3S
58040, PENVIR , PENVIR, NOT FOUND, CPR REVEST 500 MG x 14, E3S
56753, PENVIR , PENVIR, NOT FOUND, CPR REVEST 500 MG x 21, E3S
56752, PENVIR LABIA , PENVIR LABIA, NOT FOUND, CREME 5 G x 1, E3S
56751, PENVIR LABIA , PENVIR LABIA, NOT FOUND, CREME 2 G x 1, E3S
108720, PHASTER , PHASTER, NOT FOUND, GEL CREME 11.6 MG 60 G x 1 (/G), E3S
92360, PHASTER , PHASTER, NOT FOUND, AERO 11.6 MG 60 G x 1 (/G), E3S
67996, PIROXICAM GEL MG , PIROXICAM GEL, NOT FOUND, GEL. 5 MG 30 G x 1 (/G), E3S
57164, PIROXICAM MG , PIROXICAM, PIROXICAM, CAPS 20 MG x 15, E3S
57429, PIROXICAM MG , PIROXICAM, PIROXICAM, CAPS 20 MG x 10, E3S
70487, PIROXICAM MG , PIROXICAM, PIROXICAM, CAPS 20 MG x 60, E3S
82908, PLAQUEVIX , PLAQUEVIX, NOT FOUND, CPR REV . 75 MG x 28, E3S
82906, PLAQUEVIX , PLAQUEVIX, NOT FOUND, CPR REV . 75 MG x 14, E3S
60461, POLICLAVUMOXIL , POLICLAVUMOXIL, NOT FOUND, SUSP 250 MG 75 ML x 1 (/5ML), E3S
60459, POLICLAVUMOXIL , POLICLAVUMOXIL, NOT FOUND, CPR 500 MG x 12, E3S
60460, POLICLAVUMOXIL , POLICLAVUMOXIL, NOT FOUND, CPR 500 MG x 18, E3S
60857, POLICLAVUMOXIL BD , POLICLAVUMOXIL BD, NOT FOUND, SUSP 400 MG 70 ML x 1 (/5ML), E3S
