45456; A.SAUDE DA MULHER ; A SAUDE MULHER; NOT FOUND; SOLN 150 ML x 1; E3S
72906; AC DEXAMETASONA MG ; AC DEXAMETASONA; ACETATO DEXAMETASONA; CREME DERMAT 1 MG 10 G x 1 (/G); E3S
77678; AC FUSI+VAL BET MG ; AC FUSI VAL BET; NOT FOUND; CREME DERM 15 G x 1; E3S
64554; AC TR+S.N+GR+NI.MG ; AC TR S N GR NI; NOT FOUND; CREME 30 G x 1; E3S
64555; AC TR+S.N+GR+NI.MG ; AC TR S N GR NI; NOT FOUND; POM. 30 G x 1; E3S
78654; AC TRANEXAMICO MG ; AC TRANEXAMICO; ACIDO TRANEXAMICO; CPR 250 MG x 12; E3S
77187; AC.ACET.SAL 300 MG ; AC ACET SAL 300; NOT FOUND; CPR 300 MG x 30; E3S
66673; AC.ACETIL-SALIC MG ; AC ACETIL SALIC; NOT FOUND; CPR 100 MG x 100; E3S
66084; AC.ACETIL-SALIC MG ; AC ACETIL SALIC; NOT FOUND; CPR 100 MG x 200; E3S
66116; AC.ACETIL-SALIC MG ; AC ACETIL SALIC; NOT FOUND; CPR 100 MG x 30; E3S
58349; AC.ACETIL-SALIC MG ; AC ACETIL SALIC; NOT FOUND; CPR 500 MG x 200; E3S
64286; ACEBROFILINA MG ; ACEBROFILINA; ACEBROFILINA; XAR. AD 50 MG 120 ML x 1 (/5ML); E3S
64285; ACEBROFILINA MG ; ACEBROFILINA; ACEBROFILINA; XAR. PED. 25 MG 120 ML x 1 (/5ML); E3S
93531; ACECLOFENACO CP MG ; ACECLOFENACO CP; NOT FOUND; CPR REVEST 100 MG x 12; E3S
72097; ACECLOFENACO MG ; ACECLOFENACO; ACECLOFENACO; CREME DERMAT 15 MG 30 G x 1 (/G); E3S
71534; ACETILCISTEINA MG ; ACETILCISTEINA; ACETILCISTEINA; GRAN ENVELO. 100 MG 5 G x 10; E3S
69243; ACETILCISTEINA MG ; ACETILCISTEINA; ACETILCISTEINA; GRAN ENVELO. 100 MG 5 G x 16; E3S
71535; ACETILCISTEINA MG ; ACETILCISTEINA; ACETILCISTEINA; GRAN ENVELO. 200 MG 5 G x 10; E3S
64288; ACETILCISTEINA MG ; ACETILCISTEINA; ACETILCISTEINA; GRAN ENVELO. 200 MG 5 G x 16; E3S
71537; ACETILCISTEINA MG ; ACETILCISTEINA; ACETILCISTEINA; GRAN ENVELO. 600 MG 5 G x 10; E3S
67922; ACETILCISTEINA MG ; ACETILCISTEINA; ACETILCISTEINA; GRAN ENVELO. 600 MG 5 G x 16; E3S
64287; ACETILCISTEINA MG ; ACETILCISTEINA; ACETILCISTEINA; XPE ADLT 20 MG 100 ML x 1 (/ML); E3S
67926; ACETILCISTEINA MG ; ACETILCISTEINA; ACETILCISTEINA; XPE ADLT 40 MG 120 ML x 1 (/ML); E3S
67924; ACETILCISTEINA MG ; ACETILCISTEINA; ACETILCISTEINA; XPE INF. 20 MG 120 ML x 1 (/ML); E3S
70263; ACETOFLUX ; ACETOFLUX; NOT FOUND; CPR 10 MG x 14; E3S
59430; ACETOFLUX ; ACETOFLUX; NOT FOUND; CPR 10 MG x 5; E3S
66526; ACETON.TRIANCIN.MG ; ACETON TRIANCIN; NOT FOUND; POM.BUCAL 1 MG 10 G x 1 (/G); E3S
56543; ACICLOVIR MG ; ACICLOVIR; ACICLOVIR; CREME 10 G x 1; E3S
75522; ACID.MEFENAMICO MG ; ACID MEFENAMICO; ACIDO MEFENAMICO; CPR 500 MG x 24; E3S
67436; ADAPALENO MG ; ADAPALENO; ADAPALENO; CREME 1 MG 30 G x 1 (/G); E3S
67435; ADAPALENO MG ; ADAPALENO; ADAPALENO; GEL. 1 MG 30 G x 1 (/G); E3S
60060; ADEDERME ; ADEDERME; NOT FOUND; POM. 45 G x 1; E3S
62815; AFBM ; AFBM; NOT FOUND; CAPS GELATIN x 30; E3S
80377; AGLITIL ; AGLITIL; NOT FOUND; CPR 15 MG x 15; E3S
80374; AGLITIL ; AGLITIL; NOT FOUND; CPR 30 MG x 15; E3S
80371; AGLITIL ; AGLITIL; NOT FOUND; CPR 30 MG x 30; E3S
80376; AGLITIL ; AGLITIL; NOT FOUND; CPR 45 MG x 15; E3S
68875; AGLUCOSE ; AGLUCOSE; NOT FOUND; CPR 100 MG x 30; E3S
68876; AGLUCOSE ; AGLUCOSE; NOT FOUND; CPR 50 MG x 30; E3S
71660; AGRYLIN ; AGRYLIN; NOT FOUND; CAPS GEL 0.50 MG x 100; E3S
68150; ALBENDAZOL MG ; ALBENDAZOL; ALBENDAZOL; CPR MASC 200 MG x 2; E3S
63983; ALBENDAZOL MG ; ALBENDAZOL; ALBENDAZOL; CPR MASC 400 MG x 1; E3S
58344; ALBENDAZOL SUSP MG ; ALBENDAZOL SUSP; NOT FOUND; SUSP 40 MG 10 ML x 1 (/ML); E3S
101629; ALENDOSSEO ; ALENDOSSEO; NOT FOUND; CPR 70 MG x 4; E3S
67929; ALENDRONATO SOD.MG ; ALENDRONATO SOD; NOT FOUND; CPR 70 MG x 2; E3S
67931; ALENDRONATO SOD.MG ; ALENDRONATO SOD; NOT FOUND; CPR 70 MG x 4; E3S
64477; ALEXA ; ALEXA; NOT FOUND; CPR REVEST x 24; E3S
72309; ALFRON ; ALFRON; NOT FOUND; CPR 0.25 MG x 20; E3S
72310; ALFRON ; ALFRON; NOT FOUND; CPR 0.25 MG x 30; E3S
72312; ALFRON ; ALFRON; NOT FOUND; CPR 0.50 MG x 30; E3S
72313; ALFRON ; ALFRON; NOT FOUND; CPR 1 MG x 20; E3S
72314; ALFRON ; ALFRON; NOT FOUND; CPR 1 MG x 30; E3S
72315; ALFRON ; ALFRON; NOT FOUND; CPR 2 MG x 20; E3S
72316; ALFRON ; ALFRON; NOT FOUND; CPR 2 MG x 30; E3S
68721; ALGE.AC+ENA.EST.MG ; ALGE AC ENA EST; NOT FOUND; A.IM 1 ML x 1; E3S
54812; ALGIFLEX ; ALGIFLEX; NOT FOUND; CPR 200 MG x 20; E3S
85770; ALKAGEL ; ALKAGEL; NOT FOUND; SUSP MENTA 240 ML x 1; E3S
85771; ALKAGEL ; ALKAGEL; NOT FOUND; SUSP MORANGO 240 ML x 1; E3S
66528; ALLEXOFEDRIN ; ALLEXOFEDRIN; NOT FOUND; CPR REVEST 120 MG x 10; E3S
66529; ALLEXOFEDRIN ; ALLEXOFEDRIN; NOT FOUND; CPR REVEST 180 MG x 10; E3S
69801; ALLEXOFEDRIN D ; ALLEXOFEDRIN D; NOT FOUND; CPR REVEST 60 MG x 10 (/120); E3S
64442; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 0.25 MG x 20; E3S
69726; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 0.25 MG x 30; E3S
64441; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 0.50 MG x 20; E3S
69730; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 0.50 MG x 30; E3S
64440; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 1 MG x 20; E3S
69728; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 1 MG x 30; E3S
69727; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 2 MG x 20; E3S
69729; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 2 MG x 30; E3S
59443; AMOX-EMS ; AMOX EMS; NOT FOUND; CPR 500 MG x 21; E3S
53199; AMOX-EMS ; AMOX EMS; NOT FOUND; SUSP 250 MG 150 ML x 1 (/5ML); E3S
