59843; DAFORIN ; DAFORIN; NOT FOUND; CAPS 10 MG x 20; E3S
48674; DAFORIN ; DAFORIN; NOT FOUND; CAPS 20 MG x 20; E3S
51636; DAFORIN ; DAFORIN; NOT FOUND; CAPS 20 MG x 30; E3S
53978; DAFORIN ; DAFORIN; NOT FOUND; CPR 20 MG x 20; E3S
62226; DAFORIN ; DAFORIN; NOT FOUND; CPR REVEST 20 MG x 30; E3S
106508; DAFORIN ; DAFORIN; NOT FOUND; CPR REVEST 20 MG x 60; E3S
52968; DAFORIN ; DAFORIN; NOT FOUND; GOTAS 20 MG 20 ML x 1 (/ML); E3S
86647; DALYNE ; DALYNE; NOT FOUND; CPR REV . 3 MG x 21 (/.03); E3S
131036; DALYNE ; DALYNE; NOT FOUND; CPR REV . 3 MG x 63 (/.03); E3S
44886; DASC ; DASC; NOT FOUND; DRAG x 20; E3S
64318; DEFLAIMMUN ; DEFLAIMMUN; NOT FOUND; CPR 30 MG x 10; E3S
64316; DEFLAIMMUN ; DEFLAIMMUN; NOT FOUND; CPR 6 MG x 20; E3S
64317; DEFLAIMMUN ; DEFLAIMMUN; NOT FOUND; CPR 7.50 MG x 20; E3S
64315; DEFLAIMMUN ; DEFLAIMMUN; NOT FOUND; GOTAS 22.7 MG 13 ML x 1 (/ML); E3S
67459; DEFLAZACORTE MG ; DEFLAZACORTE; DEFLAZACORTE; CPR 30 MG x 10; E3S
71459; DEFLAZACORTE MG ; DEFLAZACORTE; DEFLAZACORTE; CPR 30 MG x 90; E3S
66705; DEFLAZACORTE MG ; DEFLAZACORTE; DEFLAZACORTE; CPR 6 MG x 20; E3S
70764; DEFLAZACORTE MG ; DEFLAZACORTE; DEFLAZACORTE; CPR 6 MG x 90; E3S
52739; DEPOSTERON ; DEPOSTERON; NOT FOUND; A.IM 200 MG 2 ML x 3; E3S
47510; DERMAMINA ; DERMAMINA; NOT FOUND; LOC. 100 ML x 1; E3S
62404; DERMATISAN ; DERMATISAN; NOT FOUND; CREME 20 G x 1; E3S
57975; DERMATISAN ; DERMATISAN; NOT FOUND; POM. 20 G x 1; E3S
140505; DERMOCERYL ; DERMOCERYL; NOT FOUND; ESMALTE 5 % 2.50 ML x 1; E3S
67815; DERMOCORTE ; DERMOCORTE; NOT FOUND; CREME 30 G x 1; E3S
67814; DERMOCORTE ; DERMOCORTE; NOT FOUND; POM. 30 G x 1; E3S
77679; DERMORUTEX B ; DERMORUTEX B; NOT FOUND; CREME DERM 15 G x 1; E3S
77154; DESLORATADINA MG ; DESLORATADINA; DESLORATADINA; CPR REVEST 5 MG x 10; E3S
