67993; HALOPERIDOL MG ; HALOPERIDOL; HALOPERIDOL; GOTAS 2 MG 20 ML x 1 (/ML); E3S
87509; HE RIVASTIGMINA MG ; HE RIVASTIGMINA; NOT FOUND; CAPS 1.50 MG x 30; E3S
87507; HE RIVASTIGMINA MG ; HE RIVASTIGMINA; NOT FOUND; CAPS 3 MG x 30; E3S
87504; HE RIVASTIGMINA MG ; HE RIVASTIGMINA; NOT FOUND; CAPS 4.50 MG x 30; E3S
87508; HE RIVASTIGMINA MG ; HE RIVASTIGMINA; NOT FOUND; CAPS 6 MG x 30; E3S
58412; HELICOPAC ; HELICOPAC; NOT FOUND; KIT 6X7 x 42; E3S
60525; HELICOPAC IBP ; HELICOPAC IBP; NOT FOUND; KIT 6X7 x 42; E3S
94894; HEM ZOLPIDEM MG ; HEM ZOLPIDEM; NOT FOUND; CPR REVEST 10 MG x 10; E3S
94892; HEM ZOLPIDEM MG ; HEM ZOLPIDEM; NOT FOUND; CPR REVEST 10 MG x 20; E3S
64510; HEMOBLOCK ; HEMOBLOCK; NOT FOUND; AMP. 250 MG 5 ML x 5 (/5ML); E3S
63657; HEMOBLOCK ; HEMOBLOCK; NOT FOUND; CPR 250 MG x 24; E3S
63658; HEMOBLOCK ; HEMOBLOCK; NOT FOUND; CPR 500 MG x 12; E3S
77435; HIDR+TRE+AC FLU MG ; HIDR TRE AC FLU; NOT FOUND; CREME DERMAT 15 G x 1; E3S
77434; HIDR+TRE+AC FLU MG ; HIDR TRE AC FLU; NOT FOUND; CREME DERMAT 30 G x 1; E3S
76785; HIDROALERG ; HIDROALERG; NOT FOUND; SOLN ORAL 2 MG 120 ML x 1 (/ML); E3S
69614; HIDROCLOROTIAZI.MG ; HIDROCLOROTIAZI; NOT FOUND; CPR 25 MG x 30; E3S
69615; HIDROCLOROTIAZI.MG ; HIDROCLOROTIAZI; NOT FOUND; CPR 50 MG x 20; E3S
69774; HIDROCORTISONA MG ; HIDROCORTISONA; HIDROCORTISONA; POM. 10 MG 30 G x 1 (/G); E3S
69773; HIDROCORTISONA MG ; HIDROCORTISONA; HIDROCORTISONA; SOLN CAPIL 10 MG 60 ML x 1 (/ML); E3S
77801; HIDROPEEK ; HIDROPEEK; NOT FOUND; CREME. 30 G x 1; E3S
136040; HIDROPEEK ; HIDROPEEK; NOT FOUND; GEL 30 G x 1; E3S
78660; HIDROQUINONA MG ; HIDROQUINONA; HIDROQUINONA; CREME 40 MG 30 G x 1 (/G); E3S
58015; HIDROX.ALUMINIO MG ; HIDROX ALUMINIO; NOT FOUND; SUSP 310 MG 240 ML x 1 (/5ML); E3S
78186; HIGIDERM ; HIGIDERM; NOT FOUND; SAB LIQ FEM 200 ML x 1; E3S
78185; HIGIDERM ; HIGIDERM; NOT FOUND; SAB LIQ TEEN 200 ML x 1; E3S
71713; HIPNAZOLAM ; HIPNAZOLAM; NOT FOUND; CPR REVEST 15 MG x 10; E3S
71644; HIPNAZOLAM ; HIPNAZOLAM; NOT FOUND; CPR REVEST 15 MG x 30; E3S
71643; HIPNAZOLAM ; HIPNAZOLAM; NOT FOUND; CPR REVEST 7.50 MG x 30; E3S
50529; HIPOFAGIN S ; HIPOFAGIN S; NOT FOUND; CPR RETARD 75 MG x 20; E3S
76940; HIXILERG ; HIXILERG; NOT FOUND; SOLN ORAL 120 ML x 1; E3S
