112354, IBULIV , IBULIV, NOT FOUND, CAPS 400 MG x 8, E3S
113076, IBULIV , IBULIV, NOT FOUND, CAPS GELATIN 400 MG x 40, E3S
86648, IBULIV , IBULIV, NOT FOUND, CPR REV . 400 MG x 10, E3S
86649, IBULIV , IBULIV, NOT FOUND, SUSP ORAL 100 MG 20 ML x 1 (/ML), E3S
68384, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, CPR REVEST 200 MG x 20, E3S
95689, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, CPR REVEST 300 MG x 20, E3S
76332, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, GOTAS 50 MG 30 ML x 1 (/ML), E3S
86908, INDAPAMIDA MG , INDAPAMIDA, INDAPAMIDA, CPR REV . 1.50 MG x 30, E3S
64376, INDUX , INDUX, NOT FOUND, CPR 50 MG x 10, E3S
58018, INFLAGEL , INFLAGEL, NOT FOUND, CPR 20 MG x 10, E3S
93699, INFRALAX , INFRALAX, NOT FOUND, CPR FRAC x 100, E3S
93700, INFRALAX , INFRALAX, NOT FOUND, CPR FRAC x 200, E3S
74912, INFRALAX , INFRALAX, NOT FOUND, CPR x 15, E3S
66542, INFRALAX , INFRALAX, NOT FOUND, CPR x 200, E3S
61715, INFRALAX , INFRALAX, NOT FOUND, CPR x 30, E3S
77637, INLACT , INLACT, NOT FOUND, XAROPE AMEIX 667 MG 120 ML x 1, E3S
5690, IODEX , IODEX, NOT FOUND, POM. 28 G x 1, E3S
5692, IODEX SALIC ETIL , IODEX SALIC ETIL, NOT FOUND, POM. 28 G x 1, E3S
42138, ISORDIL , ISORDIL, NOT FOUND, CAPS AP 40 MG x 30, E3S
51490, ISORDIL , ISORDIL, NOT FOUND, CPR ORAL 10 MG x 30, E3S
51489, ISORDIL , ISORDIL, NOT FOUND, CPR ORAL 5 MG x 30, E3S
51488, ISORDIL , ISORDIL, NOT FOUND, CPR LING 2.50 MG x 30, E3S
51491, ISORDIL , ISORDIL, NOT FOUND, CPR LING 5 MG x 30, E3S
109754, ISOTRETINOINA MG , ISOTRETINOINA, ISOTRETINOINA, CAPS 20 MG x 30, E3S
59595, ITRACONOL , ITRACONOL, NOT FOUND, CAPS 100 MG x 15, E3S
59594, ITRACONOL , ITRACONOL, NOT FOUND, CAPS 100 MG x 4, E3S
77802, ITRALEX , ITRALEX, NOT FOUND, CAPS 100 MG x 15, E3S
68736, ITRALEX , ITRALEX, NOT FOUND, CAPS 100 MG x 4, E3S
59498, ITRASPOR , ITRASPOR, NOT FOUND, CAPS GELATIN 100 MG x 15, E3S
59497, ITRASPOR , ITRASPOR, NOT FOUND, CAPS GELATIN 100 MG x 4, E3S
