77685, TAR METOPROLOL MG , TAR METOPROLOL, NOT FOUND, CPR REVEST 100 MG x 20, E3S
77686, TAR METOPROLOL MG , TAR METOPROLOL, NOT FOUND, CPR REVEST 100 MG x 30, E3S
75163, TAVAFLOX , TAVAFLOX, NOT FOUND, CPR REVEST 500 MG x 7, E3S
75162, TAVAFLOX , TAVAFLOX, NOT FOUND, CPR REVEST 500 MG x 10, E3S
100140, TELMISARTANA MG , TELMISARTANA, TELMISARTANA, CPR 40 MG x 30, E3S
100141, TELMISARTANA MG , TELMISARTANA, TELMISARTANA, CPR 80 MG x 30, E3S
51524, TENADREN , TENADREN, NOT FOUND, CPR 25 MG x 30 (/40), E3S
51525, TENADREN , TENADREN, NOT FOUND, CPR 25 MG x 30 (/80), E3S
66554, TENADREN , TENADREN, NOT FOUND, CPR 12.5 MG x 30 (/40), E3S
66555, TENADREN , TENADREN, NOT FOUND, CPR 12.5 MG x 30 (/80), E3S
71293, TENADREN , TENADREN, NOT FOUND, CPR 12.5 MG x 100 (/40), E3S
71294, TENADREN , TENADREN, NOT FOUND, CPR 25 MG x 100 (/40), E3S
57202, TENOXICAM MG , TENOXICAM, TENOXICAM, CPR REVEST 20 MG x 10, E3S
71592, TENOXICAM MG , TENOXICAM, TENOXICAM, CPR REVEST 20 MG x 60, E3S
77694, TERCONAN , TERCONAN, NOT FOUND, CR.VAG.5 APL 8 MG 30 G x 1 (/G), E3S
78277, TERCONAZOL MG , TERCONAZOL, TERCONAZOL, CR.VAG.5 APL 8 MG 30 G x 1 (/G), E3S
10180, TETRAMICIN , TETRAMICIN, NOT FOUND, CAPS 500 MG x 100, E3S
67593, TIABENDAZOL MG , TIABENDAZOL, TIABENDAZOL, CPR 500 MG x 6, E3S
69790, TIABENDAZOL POM MG , TIABENDAZOL POM, NOT FOUND, POM. 50 MG 45 G x 1 (/G), E3S
101630, TIBOCLIN , TIBOCLIN, NOT FOUND, CPR x 30, E3S
103078, TIBOLONA MG , TIBOLONA, TIBOLONA, CPR 2.50 MG x 30, E3S
66115, TINID+NIT.MICON.MG , TINID NIT MICON, NOT FOUND, CR.VAG.7 APL 45 G x 1, E3S
73529, TINIDAZOL MG , TINIDAZOL, TINIDAZOL, CPR REVEST 500 MG x 4, E3S
73528, TINIDAZOL MG , TINIDAZOL, TINIDAZOL, CPR REVEST 500 MG x 8, E3S
61968, TIOCO+TINIDAZOL MG , TIOCO TINIDAZOL, NOT FOUND, CR.VAG.7 APL 35 G x 1, E3S
63815, TIOCONAZOL MG , TIOCONAZOL, TIOCONAZOL, CREME 1 % 30 G x 1, E3S
63786, TIOCONAZOL MG , TIOCONAZOL, TIOCONAZOL, LOC. 10 MG 30 G x 1 (/G), E3S
64419, TIOCONAZOL MG , TIOCONAZOL, TIOCONAZOL, PO 10 MG 30 G x 1 (/G), E3S
62580, TIOTRAX , TIOTRAX, NOT FOUND, CR.VAG.7 APL 35 G x 1, E3S
76812, TOBRALOX , TOBRALOX, NOT FOUND, SOLN OFTAL 3 MG 5 ML x 1 (/ML), E3S
68306, TOPIRAMATO MG , TOPIRAMATO, TOPIRAMATO, CPR REVEST 25 MG x 60, E3S
68307, TOPIRAMATO MG , TOPIRAMATO, TOPIRAMATO, CPR REVEST 50 MG x 60, E3S
68304, TOPIRAMATO MG , TOPIRAMATO, TOPIRAMATO, CPR REVEST 100 MG x 60, E3S
68022, TORAGESIC , TORAGESIC, NOT FOUND, GOTAS 20 MG 10 ML x 1 (/ML), E3S
61790, TORAGESIC , TORAGESIC, NOT FOUND, CPR SUBLING. 10 MG x 10, E3S
134422, TORAGESIC , TORAGESIC, NOT FOUND, CPR SUBLING. 10 MG x 20, E3S
64670, TORAGESIC , TORAGESIC, NOT FOUND, AMP. 30 MG 1 ML x 3 (/ML), E3S
64671, TORAGESIC , TORAGESIC, NOT FOUND, AMP. 60 MG 2 ML x 3 (/ML), E3S
84732, TRAVOPROSTA MG , TRAVOPROSTA, TRAVOPROSTA, SOL OFTAL 0.04 MG 2.50 ML x 1, E3S
67594, TRENTAFILINA , TRENTAFILINA, NOT FOUND, CPR REVEST 400 MG x 20, E3S
70628, TRENTAFILINA , TRENTAFILINA, NOT FOUND, CPR REVEST 400 MG x 30, E3S
70629, TRENTAFILINA , TRENTAFILINA, NOT FOUND, CPR REVEST 600 MG x 20, E3S
60383, TRICOCILIN B , TRICOCILIN B, NOT FOUND, CR.VAG.10APL 45 G x 1, E3S
77831, TRINULOX , TRINULOX, NOT FOUND, CREME. 15 G x 1, E3S
61717, TRISCON NF , TRISCON NF, NOT FOUND, CPR x 200, E3S
46640, TROPINAL , TROPINAL, NOT FOUND, CPR x 20, E3S
46641, TROPINAL , TROPINAL, NOT FOUND, SOLN 15 ML x 1, E3S
