72146, GABANEURIN , GABANEURIN, NOT FOUND, CAPS GELATIN 300 MG x 30, E3S
72147, GABANEURIN , GABANEURIN, NOT FOUND, CAPS GELATIN 400 MG x 30, E3S
80178, GABANEURIN , GABANEURIN, NOT FOUND, CPR REVEST 600 MG x 27, E3S
71612, GABAPENTINA MG , GABAPENTINA, GABAPENTINA, CAPS 300 MG x 30, E3S
71613, GABAPENTINA MG , GABAPENTINA, GABAPENTINA, CAPS 400 MG x 30, E3S
77171, GABAPENTINA MG , GABAPENTINA, GABAPENTINA, CPR REVEST 600 MG x 27, E3S
78921, GASTROBENE NF , GASTROBENE NF, NOT FOUND, CAPS 10 MG x 20, E3S
50284, GELMAX , GELMAX, NOT FOUND, CPR MASC x 120, E3S
49196, GELMAX , GELMAX, NOT FOUND, CPR MASC x 24, E3S
55745, GELMAX , GELMAX, NOT FOUND, CPR PAP.&.CA x 120, E3S
55744, GELMAX , GELMAX, NOT FOUND, CPR PAP.&.CA x 24, E3S
57620, GELMAX , GELMAX, NOT FOUND, SAC.EF.LIMAO 5 G x 100, E3S
57619, GELMAX , GELMAX, NOT FOUND, SAC.EF.LIMAO 5 G x 20, E3S
55381, GELMAX , GELMAX, NOT FOUND, SACH.EF.ABAC 5 G x 100, E3S
54422, GELMAX , GELMAX, NOT FOUND, SACH.EF.ABAC 5 G x 20, E3S
33695, GELMAX , GELMAX, NOT FOUND, SUSP 240 ML x 1, E3S
55746, GELMAX , GELMAX, NOT FOUND, SUSP PAP/CAS 240 ML x 1, E3S
72559, GELMAX DIM , GELMAX DIM, NOT FOUND, SUSP ORAL 240 ML x 1, E3S
64729, GENFIBROZILA MG , GENFIBROZILA, GENFIBROZILA, CPR REVEST 600 MG x 24, E3S
69681, GENFIBROZILA MG , GENFIBROZILA, GENFIBROZILA, CPR REVEST 600 MG x 60, E3S
64730, GENFIBROZILA MG , GENFIBROZILA, GENFIBROZILA, CPR REVEST 900 MG x 12, E3S
69682, GENFIBROZILA MG , GENFIBROZILA, GENFIBROZILA, CPR REVEST 900 MG x 60, E3S
54423, GEROVITAL , GEROVITAL, NOT FOUND, CAPS x 60, E3S
95602, GEROVITAL PHYTUS , GEROVITAL PHYTUS, NOT FOUND, CAPS x 60, E3S
64575, GLIBENCLAMIDA MG , GLIBENCLAMIDA, GLIBENCLAMIDA, CPR 5 MG x 30, E3S
67717, GLIBENDIAB , GLIBENDIAB, NOT FOUND, CPR 5 MG x 30, E3S
32666, GLICERIN , GLICERIN, NOT FOUND, SUP AD x 6, E3S
32665, GLICERIN , GLICERIN, NOT FOUND, SUP INF x 6, E3S
61748, GLICLAZIDA MG , GLICLAZIDA, GLICLAZIDA, CPR 80 MG x 30, E3S
140507, GLIMATIN , GLIMATIN, NOT FOUND, CPR REVEST 400 MG x 30, E3S
78673, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 1 MG x 30, E3S
78674, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 2 MG x 30, E3S
95684, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 2 MG x 60, E3S
77304, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 4 MG x 30, E3S
77303, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 4 MG x 60, E3S
63621, GLOSSALIV , GLOSSALIV, NOT FOUND, POM. 45 G x 1, E3S
80384, GLYCOPIRIDA , GLYCOPIRIDA, NOT FOUND, CPR 1 MG x 30, E3S
80380, GLYCOPIRIDA , GLYCOPIRIDA, NOT FOUND, CPR 2 MG x 30, E3S
80383, GLYCOPIRIDA , GLYCOPIRIDA, NOT FOUND, CPR 4 MG x 30, E3S
71904, GRIPEN , GRIPEN, NOT FOUND, CAPS F x 20, E3S
57523, GRIPEN , GRIPEN, NOT FOUND, CPR F x 12, E3S
92354, GRIPEN DIA , GRIPEN DIA, NOT FOUND, CPR x 100, E3S
92352, GRIPEN DIA , GRIPEN DIA, NOT FOUND, CPR x 24, E3S
92356, GRIPEN NOITE , GRIPEN NOITE, NOT FOUND, CPR x 100, E3S
92355, GRIPEN NOITE , GRIPEN NOITE, NOT FOUND, CPR x 24, E3S
66030, GUAIFENESINA MG , GUAIFENESINA, GUAIFENESINA, XAR. 13.3 MG 120 ML x 1 (/ML), E3S
68107, GUAIFENESINA MG , GUAIFENESINA, GUAIFENESINA, XAROPE MEL 13.3 MG 120 ML x 1 (/ML, E3S
61768, GYNAZOLE-1 , GYNAZOLE 1, NOT FOUND, CR.VAG. 1APL 2 % 5 G x 1, E3S
