1050400380015; METADEX; METADEX; NOT FOUND; 1 MG/G CREM CT BG AL X 10 G; OOM
1050400380023; METADEX; METADEX; NOT FOUND; 0.5 MG COMP CT C/ 2 BL C/ 10 COMP; OOM
1050400360030; MICOTRAT; MICOTRAT; NOT FOUND; 20 MG/G CREME CT BG C/ 30 G; OOM
1050400360022; MICOTRAT; MICOTRAT; NOT FOUND; 200.0 MG COMP CT C/ 2 BL C/ 10 COMP; OOM
1050400360014; MICOTRAT; MICOTRAT; NOT FOUND; 200.0 MG COMP CT C/ BL C/ 10 COMP; OOM
1050400080024; MULTIELMIN; MULTIELMIN; NOT FOUND; 20 MG/ML SUS OR CT FR VD AMB X 30 ML; OOM
1050400080046; MULTIELMIN; MULTIELMIN; NOT FOUND; 20 MG/ML SUS OR CX 50 FR VD AMB X 30 ML (EMB HOSP); OOM
1050400080016; MULTIELMIN; MULTIELMIN; NOT FOUND; 100 MG COM CT ENV X 6; OOM
1050400080038; MULTIELMIN; MULTIELMIN; NOT FOUND; 100 MG COM DISPLAY 50 ENV X 6 (EMB MULT); OOM
1050400080097; MULTIELMIN; MULTIELMIN; NOT FOUND; 100 MG COM CX BL AL PVC X 300 (EMB HOSP); OOM
1050400080089; MULTIELMIN; MULTIELMIN; NOT FOUND; 100 MG COM CT BL AL PVC X 6; OOM
