1050400100017; PÍLULAS IMESCARD; PILULAS IMESCARD; NOT FOUND; DRG CT BL AL PVC X 36; OOM
1050400120018; PÍLULAS DE-LUSSEN; PILULAS LUSSEN; NOT FOUND; DRG CT BL AL X 36; OOM
1050400190011; PULMOFORTE; PULMOFORTE; NOT FOUND; XAROPE VD C/ 150 ML; OOM
1050400110018; POMADA IMESCARD; POMADA IMESCARD; NOT FOUND; POM RET CT BG AL X 25 G + APLIC; OOM
1050400340031; PULMOSAN; PULMOSAN; NOT FOUND; ADULTO - 30 MG/5ML XPE FR C/ 120 ML; OOM
1050400340021; PULMOSAN; PULMOSAN; NOT FOUND; INFANTIL - 15 MG/5ML XPE FR C/ 120 ML; OOM
1050400330018; PROPRANOLOM; PROPRANOLOM; NOT FOUND; 40 MG COM CT 2 BL AL PVC X 20; OOM
1050400330026; PROPRANOLOM; PROPRANOLOM; NOT FOUND; 80.0 MG COMP BL C/ 20 COMP; OOM
1050400330034; PROPRANOLOM; PROPRANOLOM; NOT FOUND; 40 MG COM CX 300 BL AL PVC X 20 (EMB HOSP); OOM
1050400330042; PROPRANOLOM; PROPRANOLOM; NOT FOUND; 80 MG COM CX 100 BL AL PVC INC X 20 (EMB HOSP); OOM
1050400490015; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; OOM
1050400490023; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ML SOL OR CX 50 FR PLAS OPC GOT X 15 ML (EMB HOSP); OOM
1050400500029; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS LAR X 200 (EMB MULT); OOM
1050400500010; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS LAR X 20; OOM
