532800701119415, SICOTRAT, SICOTRAT, NOT FOUND, 100 MG CAIXA C/ 2 BLISTER DE 10 CAPSULAS, TPQ
532800801156215, SINAXIAL, SINAXIAL, NOT FOUND, 10 MG SOL INJ CX 5 AMP VD AMB X 2 ML, TPQ
532800802152213, SINAXIAL, SINAXIAL, NOT FOUND, 100 MG SOL INJ CX AMP X 2 ML, TPQ
532800803159211, SINAXIAL, SINAXIAL, NOT FOUND, 100 MG SOL INJ CX FA VD AMB X 4 ML, TPQ
532800804155211, SINAXIAL, SINAXIAL, NOT FOUND, 20 MG SOL INJ CX 5 AMP VD AMB X 2 ML, TPQ
532800805151218, SINAXIAL, SINAXIAL, NOT FOUND, 40 MG SOL INJ CX 5 AMP VD AMB X 2 ML, TPQ
532800901150219, SYGEN, SYGEN, NOT FOUND, 100 MG C/ FR X 5 ML, TPQ
532800902157217, SYGEN, SYGEN, NOT FOUND, 100 MG CX C/ 1 AMP X 5 ML, TPQ
532800903153215, SYGEN, SYGEN, NOT FOUND, 20 MG C/ 5 AMP X 2 ML, TPQ
532800701119415, SICOTRAT, SICOTRAT, NOT FOUND, 100 MG CAIXA C/ 2 BLISTER DE 10 CAPSULAS, TPQ
532800801156215, SINAXIAL, SINAXIAL, NOT FOUND, 10 MG SOL INJ CX 5 AMP VD AMB X 2 ML, TPQ
532800802152213, SINAXIAL, SINAXIAL, NOT FOUND, 100 MG SOL INJ CX AMP X 2 ML, TPQ
532800803159211, SINAXIAL, SINAXIAL, NOT FOUND, 100 MG SOL INJ CX FA VD AMB X 4 ML, TPQ
532800804155211, SINAXIAL, SINAXIAL, NOT FOUND, 20 MG SOL INJ CX 5 AMP VD AMB X 2 ML, TPQ
532800805151218, SINAXIAL, SINAXIAL, NOT FOUND, 40 MG SOL INJ CX 5 AMP VD AMB X 2 ML, TPQ
532800901150219, SYGEN, SYGEN, NOT FOUND, 100 MG C/ FR X 5 ML, TPQ
532800902157217, SYGEN, SYGEN, NOT FOUND, 100 MG CX C/ 1 AMP X 5 ML, TPQ
532800903153215, SYGEN, SYGEN, NOT FOUND, 20 MG C/ 5 AMP X 2 ML, TPQ
