530205401116412, DICLOTON, DICLOTON, NOT FOUND, 50 MG DRG CT BL AL PLAS INC X 10, ROY
530205402112410, DICLOTON, DICLOTON, NOT FOUND, 50 MG DRG CX 50 BL AL PLAS INC X 10, ROY
530201901114416, DIFENAN, DIFENAN, NOT FOUND, 50 MG - CX. C/ 20 COMP.REV, ROY
530201902110414, DIFENAN, DIFENAN, NOT FOUND, 50 MG - CX. C/ 500 COMP.REV, ROY
530201903151416, DIFENAN, DIFENAN, NOT FOUND, 75 MG - INJ. CX. C/ 5 AMP, ROY
530201904156411, DIFENAN, DIFENAN, NOT FOUND, 75 MG - INJ. CX. C/ 50 AMP, ROY
530202101111410, DIURETIC, DIURETIC, NOT FOUND, 25 MG - CX. C/ 20 COMP, ROY
530202104110415, DIURETIC, DIURETIC, NOT FOUND, 25 MG COM CX 50 BL AL PLAS INC X 10, ROY
530202102118419, DIURETIC, DIURETIC, NOT FOUND, 50 MG - CX. C/ 20 COMP, ROY
530202103114417, DIURETIC, DIURETIC, NOT FOUND, 50 MG COM CX 50 BL AL PLAS INC X 10, ROY
530202201132411, DROFAXIL, DROFAXIL, NOT FOUND, 250 MG - SUSP. FR X 80 ML, ROY
530202202112412, DROFAXIL, DROFAXIL, NOT FOUND, 500 MG - CX. C/ 8 CAPS., ROY
530205401116412, DICLOTON, DICLOTON, NOT FOUND, 50 MG DRG CT BL AL PLAS INC X 10, ROY
530205402112410, DICLOTON, DICLOTON, NOT FOUND, 50 MG DRG CX 50 BL AL PLAS INC X 10, ROY
530201901114416, DIFENAN, DIFENAN, NOT FOUND, 50 MG - CX. C/ 20 COMP.REV, ROY
530201902110414, DIFENAN, DIFENAN, NOT FOUND, 50 MG - CX. C/ 500 COMP.REV, ROY
530201903151416, DIFENAN, DIFENAN, NOT FOUND, 75 MG - INJ. CX. C/ 5 AMP, ROY
530201904156411, DIFENAN, DIFENAN, NOT FOUND, 75 MG - INJ. CX. C/ 50 AMP, ROY
530202101111410, DIURETIC, DIURETIC, NOT FOUND, 25 MG - CX. C/ 20 COMP, ROY
530202104110415, DIURETIC, DIURETIC, NOT FOUND, 25 MG COM CX 50 BL AL PLAS INC X 10, ROY
530202102118419, DIURETIC, DIURETIC, NOT FOUND, 50 MG - CX. C/ 20 COMP, ROY
530202103114417, DIURETIC, DIURETIC, NOT FOUND, 50 MG COM CX 50 BL AL PLAS INC X 10, ROY
530202201132411, DROFAXIL, DROFAXIL, NOT FOUND, 250 MG - SUSP. FR X 80 ML, ROY
