530202801113416; LODIPEN; LODIPEN; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 20; ROY
530202802111417; LODIPEN; LODIPEN; NOT FOUND; 5 MG COM CX 25 BL AL PLAS INC X 20; ROY
530205201117415; LANZOPRAN; LANZOPRAN; NOT FOUND; 30 MG CAP GEL DURA DESINT GRAD CT 2 BL AL PLAS X 7; ROY
530205202113413; LANZOPRAN; LANZOPRAN; NOT FOUND; 30 MG CAP GEL DURA DESINT GRAD CT BL AL PLAS X 7; ROY
530204703119416; LOSAPRIN; LOSAPRIN; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 14; ROY
530204704115414; LOSAPRIN; LOSAPRIN; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 28; ROY
530212070016903; LOSAPRIN; LOSAPRIN; NOT FOUND; 50 MG COM REV CT BL AL PLAS TRANS X 30; ROY
530204705111412; LOSAPRIN; LOSAPRIN; NOT FOUND; 50 MG COM REV CX BL AL PLAS INC X 700 (EMB HOSP); ROY
530202901118411; LOVATON; LOVATON; NOT FOUND; 20 MG COM CT BL AL PLAS INC X 10; ROY
530202902114418; LOVATON; LOVATON; NOT FOUND; 20 MG COM CT 3 BL AL PLAS INC X 10; ROY
530202903110416; LOVATON; LOVATON; NOT FOUND; 20 MG COM CX 50 BL AL PLAS INC X 10; ROY
