530201301117414; CAPTON; CAPTON; NOT FOUND; 12.5 MG - CX. C/ 15 COMP.; ROY
530201302113412; CAPTON; CAPTON; NOT FOUND; 12.5 MG - CX. C/ 30 COMP.; ROY
530201303111413; CAPTON; CAPTON; NOT FOUND; 12.5 MG COM CX BL AL PLAS INC X 750 (EMB HOSP); ROY
530201304116419; CAPTON; CAPTON; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 16; ROY
530201305112417; CAPTON; CAPTON; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 28; ROY
530201306119415; CAPTON; CAPTON; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 16; ROY
530201307115413; CAPTON; CAPTON; NOT FOUND; 50 MG - CX. C/ 28 COMP.; ROY
530200202174411; CETOZAN; CETOZAN; NOT FOUND; 20 MG/G SHAMP CT FR PLAS OPC X 100 ML; ROY
530200207176412; CETOZAN; CETOZAN; NOT FOUND; 20 MG/G SHAMP CX 50 FR PLAS OPC X 100 ML; ROY
530200205165413; CETOZAN; CETOZAN; NOT FOUND; 20 MG/G CREM DERM CT BG AL X 30; ROY
530200206161411; CETOZAN; CETOZAN; NOT FOUND; 20 MG/G CREM DERM CT 50 BG AL X 30 G; ROY
530200203111413; CETOZAN; CETOZAN; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 20; ROY
530200204118411; CETOZAN; CETOZAN; NOT FOUND; 200 MG COM CX 50 BL AL PLAS INC X 10 (EMB HOSP); ROY
530204201113411; CIMEDAX; CIMEDAX; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 20; ROY
530204202111412; CIMEDAX; CIMEDAX; NOT FOUND; 200 MG COM CX BL AL PLAS INC X 500 (EMB HOSP); ROY
530201601110415; CINARIX; CINARIX; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; ROY
530201604111412; CINARIX; CINARIX; NOT FOUND; 25 MG COM CT 50 BL AL PLAS INC X 10; ROY
530201602117413; CINARIX; CINARIX; NOT FOUND; 75 MG COM CT BL AL PLAS INC X 30; ROY
530201603113411; CINARIX; CINARIX; NOT FOUND; 75 MG COM CT 50 BL AL PLAS INC X 10; ROY
530201701115419; CIPROXAN; CIPROXAN; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 14; ROY
530201703118415; CIPROXAN; CIPROXAN; NOT FOUND; 500 MG COM REV CX 50 BL AL PLAS INC X 6 (EMB HOSP); ROY
530201702111417; CIPROXAN; CIPROXAN; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 6; ROY
530204601111416; COLZURIC; COLZURIC; NOT FOUND; 0.5 MG COM CT BL AL PLAS INC X 20 ; ROY
530204602118414; COLZURIC; COLZURIC; NOT FOUND; 0.5 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); ROY
530201401111418; CARDIODOPA; CARDIODOPA; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 30; ROY
530212070017003; CARDIODOPA; CARDIODOPA; NOT FOUND; 250 MG COM REV CX BL AL PLAS TRANS X 500 (EMB HOSP); ROY
530201402118416; CARDIODOPA; CARDIODOPA; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 30; ROY
530212070017103; CARDIODOPA; CARDIODOPA; NOT FOUND; 500 MG COM REV CX BL AL PLAS TRANS X 500 (EMB HOSP); ROY
