530203402131419, MUCOCLEAN, MUCOCLEAN, NOT FOUND, 3 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, ROY
530203403138417, MUCOCLEAN, MUCOCLEAN, NOT FOUND, 3 MG/ ML XPE CX 50 FR VD AMB X 120 ML + CP MED (EMB HOSP), ROY
530203401135410, MUCOCLEAN, MUCOCLEAN, NOT FOUND, 6 MG/ML XPE CT FR VD AMB X 120 ML + CP MEDIDA, ROY
530203404134415, MUCOCLEAN, MUCOCLEAN, NOT FOUND, 6 MG/ML XPE CX 50 FR VD AMB X 120 ML+ CP MED (EMB HOSP), ROY
530203002117419, MEBENTAL, MEBENTAL, NOT FOUND, 100 MG COM CT 50 ENV KRAFT X 6, ROY
530203001110410, MEBENTAL, MEBENTAL, NOT FOUND, 100 MG COM CT ENV KRAFT X 6, ROY
530203003131415, MEBENTAL, MEBENTAL, NOT FOUND, 20 MG/ML SUS OR CT FR VD AMB X 30 ML, ROY
530203004136410, MEBENTAL, MEBENTAL, NOT FOUND, 20 MG/ML SUS OR CX 100 FR VD AMB X 30 ML, ROY
530205601115411, MENOXITON, MENOXITON, NOT FOUND, 15 MG COM CT BL AL PLAS INC X 10 , ROY
530205602111418, MENOXITON, MENOXITON, NOT FOUND, 15 MG COM CX BL AL PLAS INC X 500 (EMB. HOSP.) , ROY
530205603118416, MENOXITON, MENOXITON, NOT FOUND, 7.5 MG COM CT BL AL PLAS INC X 10 , ROY
530205604114414, MENOXITON, MENOXITON, NOT FOUND, 7.5 MG COM CX BL AL INC X 500 (EMB. HOSP.) , ROY
530203201111410, MESOPRAN, MESOPRAN, NOT FOUND, 10 MG - CX. C/ 14 CAPS., ROY
530203204119412, MESOPRAN, MESOPRAN, NOT FOUND, 10 MG CAP GEL DURA CX 50 FR PLAS OPC X 14, ROY
530203202116416, MESOPRAN, MESOPRAN, NOT FOUND, 20 MG - CX. C/ 14 CAPS., ROY
530203203112414, MESOPRAN, MESOPRAN, NOT FOUND, 20 MG CAP GEL CX 50 FR PLAS OPC X 14, ROY
530203101115414, MEFENAN, MEFENAN, NOT FOUND, 500 MG COM CT 2 BL AL PLAS INC X 10, ROY
