1572100080299; NICORETTE; NICORETTE; NOT FOUND; 8.3 MG ADS TRANSD CT X 7 ENV AL; J_J
1572100080302; NICORETTE; NICORETTE; NOT FOUND; 16.6 MG ADS TRANSD CT X 7 ENV AL; J_J
1572100080310; NICORETTE; NICORETTE; NOT FOUND; 24.9 MG ADS TRANSD CT X 7 ENV AL; J_J
1572100080574; NICORETTE; NICORETTE; NOT FOUND; 4 MG GOMA MAST CT DISPLAY BL AL PLAS INC X 210 - MENTA; J_J
1572100080175; NICORETTE; NICORETTE; NOT FOUND; 4 MG GOMA MAST CT BL AL PLAS INC X 30 - MENTA; J_J
1572100080191; NICORETTE; NICORETTE; NOT FOUND; 4 MG GOMA MAST CT BL AL PLAS INC X 60 - MENTA; J_J
1572100080337; NICORETTE FRESHFRUIT; NICORETTE FRESHFRUIT; NOT FOUND; 2 MG TABLE MAST CT BL AL PLAS INC X 30; J_J
1572100080371; NICORETTE FRESHFRUIT; NICORETTE FRESHFRUIT; NOT FOUND; 4 MG TABLE MAST CT BL AL PLAS INC X 30; J_J
1572100080264; NICORETTE FRESHMINT; NICORETTE FRESHMINT; NOT FOUND; 4 MG TABLE MAST CT BL AL PLAS INC X 30; J_J
1572100080450; NICORETTE; NICORETTE; NOT FOUND; 4 MG TABLE MAST CT BL AL PLAS INC X 30; J_J
1572100080418; NICORETTE; NICORETTE; NOT FOUND; 2 MG TABLE MAST CT BL AL PLAS INC X 30; J_J
