65341; CARDIONATO ; CARDIONATO; NOT FOUND; CPR 10 MG x 30; L3B
65342; CARDIONATO ; CARDIONATO; NOT FOUND; CPR 20 MG x 30; L3B
65344; CARDIONATO H ; CARDIONATO H; NOT FOUND; CPR 12.5 MG x 30 (/20); L3B
65343; CARDIONATO H ; CARDIONATO H; NOT FOUND; CPR 25 MG x 30 (/10); L3B
65345; CARDVITA ; CARDVITA; NOT FOUND; CPR REVEST 25 MG x 28; L3B
132734; CARDVITA ; CARDVITA; NOT FOUND; CPR REVEST 25 MG x 500; L3B
65346; CARDVITA ; CARDVITA; NOT FOUND; CPR REVEST 50 MG x 14; L3B
65347; CARDVITA ; CARDVITA; NOT FOUND; CPR REVEST 50 MG x 28; L3B
99507; CARDVITA ; CARDVITA; NOT FOUND; CPR REVEST 50 MG x 30; L3B
65348; CARDVITA H ; CARDVITA H; NOT FOUND; CPR REVEST 12.5 MG x 14 (/50); L3B
65349; CARDVITA H ; CARDVITA H; NOT FOUND; CPR REVEST 12.5 MG x 28 (/50); L3B
65350; CARDVITA H ; CARDVITA H; NOT FOUND; CPR REVEST 25 MG x 30 (/100); L3B
