73635; CELSENTRI ; CELSENTRI; NOT FOUND; CPR REVEST 150 MG x 60; GSK
73634; CELSENTRI ; CELSENTRI; NOT FOUND; CPR REVEST 300 MG x 60; GSK
47317; CLAVULIN ; CLAVULIN; NOT FOUND; CPR 500 MG x 12 (/125); GSK
47318; CLAVULIN ; CLAVULIN; NOT FOUND; CPR 500 MG x 18 (/125); GSK
77458; CLAVULIN ; CLAVULIN; NOT FOUND; CPR 500 MG x 21 (/125); GSK
77457; CLAVULIN ; CLAVULIN; NOT FOUND; CPR 500 MG x 30 (/125); GSK
77372; CLAVULIN ; CLAVULIN; NOT FOUND; SUSP 125 MG 100 ML x 1 (/31); GSK
48616; CLAVULIN ; CLAVULIN; NOT FOUND; SUSP 125 MG 75 ML x 1 (/31M); GSK
77373; CLAVULIN ; CLAVULIN; NOT FOUND; SUSP 250 MG 100 ML x 1 (/62); GSK
48617; CLAVULIN ; CLAVULIN; NOT FOUND; SUSP 250 MG 75 ML x 1 (/62M); GSK
59802; CLAVULIN BD ; CLAVULIN BD; NOT FOUND; CPR 875 MG x 14; GSK
59803; CLAVULIN BD ; CLAVULIN BD; NOT FOUND; CPR 875 MG x 20; GSK
54738; CLAVULIN BD ; CLAVULIN BD; NOT FOUND; SUSP ORAL 200 MG 70 ML x 1 (/5ML); GSK
97436; CLAVULIN BD ; CLAVULIN BD; NOT FOUND; SUSP ORAL 400 MG 140 ML x 1 (/5ML); GSK
54739; CLAVULIN BD ; CLAVULIN BD; NOT FOUND; SUSP ORAL 400 MG 70 ML x 1 (/5ML); GSK
64426; CLAVULIN ES ; CLAVULIN ES; NOT FOUND; SUSP ORAL 600 MG 100 ML x 1 (/5ML); GSK
64425; CLAVULIN ES ; CLAVULIN ES; NOT FOUND; SUSP ORAL 600 MG 50 ML x 1 (/5ML); GSK
49529; CLAVULIN IV ; CLAVULIN IV; NOT FOUND; F.IV LIOF 1 G 20 ML x 1 (/200); GSK
56403; CLAVULIN IV ; CLAVULIN IV; NOT FOUND; F.IV LIOF 1 G 20 ML x 10 (/200); GSK
49528; CLAVULIN IV ; CLAVULIN IV; NOT FOUND; F.IV LIOF 500 MG 10 ML x 1 (/100); GSK
64568; CLAVULIN IV ; CLAVULIN IV; NOT FOUND; F.IV LIOF 500 MG 10 ML x 10; GSK
73542; CLOPIVIX ; CLOPIVIX; NOT FOUND; CPR REVEST 75 MG x 14; GSK
73543; CLOPIVIX ; CLOPIVIX; NOT FOUND; CPR REVEST 75 MG x 28; GSK
97407; COMBODART ; COMBODART; NOT FOUND; CAPS x 30; GSK
97400; COMBODART ; COMBODART; NOT FOUND; CAPS x 7; GSK
152688; COMBODART ; COMBODART; NOT FOUND; CAPS x 90; GSK
