145946; BACTROBAN ; BACTROBAN; NOT FOUND; POMADA 2 % 10 G x 1; GSK
47734; BACTROBAN ; BACTROBAN; NOT FOUND; POMADA 2 % 15 G x 1; GSK
48949; BARALGIN-M ; BARALGIN M; NOT FOUND; CPR 500 MG x 20; GSK
48665; BARALGIN-M ; BARALGIN M; NOT FOUND; GOTAS 500 MG 10 ML x 1 (/ML); GSK
49139; BARALGIN-M ; BARALGIN M; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); GSK
29721; BECLOSOL ; BECLOSOL; NOT FOUND; SPR.NAS.DOSE 50 Y x 200 (/DOS); GSK
49578; BECLOSOL AQUOSO ; BECLOSOL AQUOSO; NOT FOUND; SPR.NAS.DOSE 50 Y x 200 (/DOS); GSK
112686; BENLYSTA ; BENLYSTA; NOT FOUND; F.AMP LIOF 120 MG x 1; GSK
112687; BENLYSTA ; BENLYSTA; NOT FOUND; F.AMP LIOF 400 MG x 1; GSK
53083; BIOVIR ; BIOVIR; NOT FOUND; CPR REVEST x 60; GSK
47985; BRONCO AMOXIL ; BRONCO AMOXIL; NOT FOUND; XAR. 250 MG 80 ML x 1 (/5ML); GSK
