532412070008203; FONTICAL; FONTICAL; NOT FOUND; 1250 MG COM  MAST CT BL AL PLAS TRANS X 1020 (EMB HOSP); SPI
532413010009403; FONTICAL; FONTICAL; NOT FOUND; 1250 MG COM  MAST CT BL AL PLAS INC X 30 ; SPI
532412070008103; FONTICAL; FONTICAL; NOT FOUND; 1250 MG COM  MAST CT BL AL PLAS TRANS X 510 (EMB HOSP); SPI
532400602113413; FONTICAL; FONTICAL; NOT FOUND; 1250 MG COM  MAST FR PLAS OPC X 60; SPI
532412070007414; FENDROP; FENDROP; NOT FOUND; 78.60 MCG/ML SOL INJ CX 1 AMP VD INC X 10ML; SPI
532412070007514; FENDROP; FENDROP; NOT FOUND; 78.60 MCG/ML SOL INJ CX 5 AMP VD INC X 10ML ; SPI
532412070007614; FENDROP; FENDROP; NOT FOUND; 78.60 MCG/ML SOL INJ CX 25 AMP VD INC X 10ML ; SPI
532412070007114; FENDROP; FENDROP; NOT FOUND; 78.60 MCG/ML SOL INJ CX 1 AMP VD INC X 2ML ; SPI
532412070007214; FENDROP; FENDROP; NOT FOUND; 78.60 MCG/ML SOL INJ CX 5 AMP VD INC X 2ML; SPI
532412070007314; FENDROP; FENDROP; NOT FOUND; 78.60 MCG/ML SOL INJ CX  50 AMP VD INC X 2ML ; SPI
532412060005203; FONTI B1; FONTI B1; NOT FOUND; 300 MG COM REV CT BL AL PLAS INC X 1000; SPI
532412060005003; FONTI B1; FONTI B1; NOT FOUND; 300 MG COM REV CT BL AL PLAS INC X 200; SPI
532401301117418; FONTI B1; FONTI B1; NOT FOUND; 300 MG COM REV CT BL AL PLAS INC X 30; SPI
532412060005103; FONTI B1; FONTI B1; NOT FOUND; 300 MG COM REV CT BL AL PLAS INC X 500; SPI
532400401118418; FINAPÉCIA; FINAPECIA; NOT FOUND; 1 MG COM REV CT BL AL PLAS INC X 30; SPI
532400504111416; FOLANTINE; FOLANTINE; NOT FOUND; 5 MG COM CT BL AL  PLAS INC X 1005; SPI
532400501112411; FOLANTINE; FOLANTINE; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 30; SPI
532400506114412; FOLANTINE; FOLANTINE; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 500; SPI
