64164, CALCIMED , CALCIMED, NOT FOUND, SUSP 150 ML x 1, MDQ
76292, CARBOCISTEINA MG , CARBOCISTEINA, CARBOCISTEINA, XAR. AD 250 MG 100 ML x 1 (/5ML), MDQ
76291, CARBOCISTEINA MG , CARBOCISTEINA, CARBOCISTEINA, XAR. INF 100 MG 100 ML x 1 (/5ML), MDQ
73410, CEFALINA , CEFALINA, NOT FOUND, CPR REVEST x 100, MDQ
64202, CEFALINA , CEFALINA, NOT FOUND, CPR REVEST x 20, MDQ
142030, CLO HIDROXIZINA MG , CLO HIDROXIZINA, NOT FOUND, LIQ 2 MG 100 ML x 1 (/ML), MDQ
76115, CLOR.RANITIDINA MG , CLOR RANITIDINA, CLORIDRATO RANITIDINA, CPR REVEST 150 MG x 10, MDQ
76116, CLOR.RANITIDINA MG , CLOR RANITIDINA, CLORIDRATO RANITIDINA, CPR REVEST 150 MG x 20, MDQ
76117, CLOR.RANITIDINA MG , CLOR RANITIDINA, CLORIDRATO RANITIDINA, CPR REVEST 150 MG x 60, MDQ
74946, CLOR.TETRACICLI.MG , CLOR TETRACICLI, CLORIDRATO TETRACICLINA, CAPS 500 MG x 8, MDQ
74947, CLOR.TETRACICLI.MG , CLOR TETRACICLI, CLORIDRATO TETRACICLINA, CAPS 500 MG x 80, MDQ
62278, CLORAMED , CLORAMED, NOT FOUND, CAPS GELATIN 250 MG x 12, MDQ
45173, CLORAMED , CLORAMED, NOT FOUND, XAR. 60 ML x 1, MDQ
78031, COMPLEXO B , COMPLEXO B, COMPLEXO PROTROMBINICO HUMANO LIOFILIZADO, DRAG x 100, MDQ
48042, COMPLEXO B , COMPLEXO B, COMPLEXO PROTROMBINICO HUMANO LIOFILIZADO, DRAG x 20, MDQ
77750, COMPLEXO B , COMPLEXO B, COMPLEXO PROTROMBINICO HUMANO LIOFILIZADO, DRAG x 50, MDQ
47520, COMPLEXO B , COMPLEXO B, COMPLEXO PROTROMBINICO HUMANO LIOFILIZADO, XAR. 100 ML x 1, MDQ
