77604, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, CPR REVEST 200 MG x 20, MDQ
77606, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, CPR REVEST 400 MG x 100, MDQ
78854, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, CPR REVEST 400 MG x 20, MDQ
77601, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, GOTAS 100 MG 20 ML x 1 (/ML), MDQ
77607, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, GOTAS 50 MG 30 ML x 1 (/ML), MDQ
125013, IBUPROMED , IBUPROMED, NOT FOUND, CPR REVEST 400 MG x 100, MDQ
125014, IBUPROMED , IBUPROMED, NOT FOUND, CPR REVEST 400 MG x 30, MDQ
125012, IBUPROMED , IBUPROMED, NOT FOUND, GOTAS 100 MG 20 ML x 1 (/ML), MDQ
125011, IBUPROMED , IBUPROMED, NOT FOUND, GOTAS 50 MG 30 ML x 1 (/ML), MDQ
64214, INFLAMEX , INFLAMEX, NOT FOUND, CPR REVEST 50 MG x 20, MDQ
47603, IODOFLUX , IODOFLUX, NOT FOUND, XAROPE 100 MG 100 ML x 1 (/5ML), MDQ
