63110, PANTONAX , PANTONAX, NOT FOUND, CPR GASTROR 40 MG x 14, MDQ
77820, PANTONAX , PANTONAX, NOT FOUND, CPR GASTROR 40 MG x 30, MDQ
63109, PANTONAX , PANTONAX, NOT FOUND, CPR GASTROR 40 MG x 7, MDQ
156856, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 500 MG x 200, MDQ
150186, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 750 MG x 20, MDQ
75689, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 750 MG x 200, MDQ
75688, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, GOTAS 200 MG 15 ML x 1, MDQ
59370, PRESSOFLUX , PRESSOFLUX, NOT FOUND, CPR 40 MG x 40, MDQ
59371, PRESSOFLUX , PRESSOFLUX, NOT FOUND, CPR 80 MG x 20, MDQ
62967, PRESSOMED , PRESSOMED, NOT FOUND, CPR 10 MG x 30, MDQ
62968, PRESSOMED , PRESSOMED, NOT FOUND, CPR 20 MG x 30, MDQ
62966, PRESSOMED , PRESSOMED, NOT FOUND, CPR 5 MG x 30, MDQ
65691, PRESSTOPRIL , PRESSTOPRIL, NOT FOUND, CPR 25 MG x 28, MDQ
75314, PRESSTOPRIL , PRESSTOPRIL, NOT FOUND, CPR 25 MG x 30, MDQ
137024, PRESSTOPRIL , PRESSTOPRIL, NOT FOUND, CPR 25 MG x 500, MDQ
96347, PROCTOBEM , PROCTOBEM, NOT FOUND, POM 5APLIC 25 G x 1, MDQ
